"gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","gameClock_mod","timeCategory","estadio","diferencia","yardlineSide_mod","truth","estimate","probabilidades"
2022102000,4,1,10,15,25,14.3666666666667,"0-3 min","local",18,"ARI",0,1,0.656854951574184
2022103005,3,1,5,19,91,0.266666666666667,"12-15 min","visitante",-5,"rival",0,1,0.953692645207648
2022101609,1,1,10,25,85,6.68333333333333,"6-9 min","visitante",0,"ARI",0,0,0.577122903022978
2022091110,2,1,10,35,45,15,"0-3 min","local",-14,"rival",1,0,0.487403523345298
2022101609,3,4,2,27,37,9.31666666666667,"3-6 min","visitante",-6,"rival",1,1,0.655801257218358
2022102000,3,2,13,12,98,6.31666666666667,"6-9 min","local",11,"ARI",1,1,0.754757610030292
2022103005,4,1,10,13,23,14.05,"0-3 min","visitante",-5,"rival",1,0,0.581168843887032
2022100203,4,3,2,23,87,7.73333333333333,"6-9 min","visitante",10,"rival",1,1,0.660035357024234
2022110608,2,1,10,46,56,0.9,"12-15 min","local",-3,"rival",1,1,0.792107312945203
2022092510,2,1,10,47,63,6.45,"6-9 min","local",-13,"rival",1,0,0.213011306113083
2022100911,1,1,10,26,36,5.33333333333333,"9-12 min","local",-7,"ARI",1,0,0.36583765814338
2022092510,3,1,10,43,67,9.1,"3-6 min","local",-7,"ARI",0,0,0.472272728640523
2022100911,4,1,10,25,85,1.75,"12-15 min","local",-3,"ARI",0,1,0.900222045394333
2022102000,2,1,10,25,85,10.4833333333333,"3-6 min","local",-8,"ARI",0,1,0.767853239812858
2022100203,3,2,10,38,72,4.21666666666667,"9-12 min","visitante",0,"ARI",0,1,0.754079582184501
2022100203,3,2,15,6,104,12.2166666666667,"0-3 min","visitante",-7,"ARI",1,1,0.75300953918473
2022091811,2,1,10,10,20,6.88333333333333,"6-9 min","visitante",-17,"ARI",1,0,0.31421153279447
2022102000,1,1,10,18,92,0.85,"12-15 min","local",-4,"rival",0,1,0.700969103681955
2022091110,2,1,10,42,52,0.966666666666667,"12-15 min","local",-13,"rival",1,0,0.598610897941001
2022092510,4,1,10,47,57,13.9,"0-3 min","local",-11,"ARI",1,0,0.275639196961569
2022100203,2,3,6,37,47,9.55,"3-6 min","visitante",-7,"ARI",1,1,0.918316212220066
2022100911,2,3,7,28,82,9.58333333333333,"3-6 min","local",-14,"ARI",1,1,0.968960544814929
2022092510,2,3,5,5,105,1.95,"12-15 min","local",-13,"rival",1,1,0.944853991100694
2022091110,4,1,10,21,31,1.76666666666667,"12-15 min","local",-23,"ARI",0,1,0.770683725479116
2022091811,4,4,1,11,21,12.6166666666667,"0-3 min","visitante",-16,"rival",1,0,0.468963026824324
2022092510,2,3,11,29,39,9.86666666666667,"3-6 min","local",-13,"ARI",1,1,0.984229039139519
2022100911,2,3,3,25,35,5.55,"9-12 min","local",-14,"rival",1,1,0.805450194711177
2022110608,3,2,10,30,80,2.13333333333333,"12-15 min","local",-3,"ARI",0,1,0.938795800848493
2022092510,3,1,10,44,54,7.71666666666667,"6-9 min","local",-7,"rival",1,0,0.566834590953501
2022110608,4,1,10,26,36,2.15,"12-15 min","local",-10,"ARI",1,1,0.787970609296058
2022100203,3,2,5,44,54,2.7,"12-15 min","visitante",0,"rival",1,1,0.752902179774558
2022091110,1,2,10,38,48,2.03333333333333,"12-15 min","local",-14,"ARI",1,0,0.592335945749821
2022092510,3,3,3,50,60,8.38333333333333,"6-9 min","local",-7,"centro",0,1,0.856695537086501
2022092510,1,2,8,27,83,9.2,"3-6 min","local",-3,"ARI",1,1,0.937503850439998
2022100203,2,2,3,34,44,13.1333333333333,"0-3 min","visitante",0,"ARI",0,0,0.21693350680784
2022102000,2,2,7,48,58,8.5,"6-9 min","local",-8,"rival",1,1,0.655887859031814
2022100203,3,2,7,48,62,10.1166666666667,"3-6 min","visitante",-7,"ARI",1,0,0.305747090009224
2022091110,2,1,10,48,58,2,"12-15 min","local",-13,"rival",0,0,0.320598819396839
2022091811,4,1,10,27,83,4.71666666666667,"9-12 min","visitante",-8,"ARI",1,1,0.893840968664545
2022102000,2,1,10,49,61,9.06666666666667,"3-6 min","local",-8,"ARI",0,0,0.24267511780898
2022101609,1,2,8,27,83,6.16666666666667,"6-9 min","visitante",0,"ARI",1,1,0.882655479500173
2022100203,2,1,10,21,89,5,"9-12 min","visitante",-7,"rival",0,1,0.750978240597327
2022103005,2,2,8,39,71,2,"12-15 min","visitante",-11,"rival",1,1,0.934942262774598
2022100203,3,1,15,46,64,3.33333333333333,"9-12 min","visitante",0,"ARI",0,1,0.786010970231434
2022100911,4,2,1,30,80,13.6333333333333,"0-3 min","local",-7,"ARI",0,0,0.221984506581616
2022102000,3,3,14,21,89,8.96666666666667,"6-9 min","local",11,"ARI",1,1,0.969564492120186
2022102000,4,2,9,16,26,13.65,"0-3 min","local",18,"ARI",1,1,0.918287079519923
2022091811,3,1,15,16,26,11.0833333333333,"3-6 min","visitante",-20,"ARI",1,1,0.659556643759915
2022103005,4,3,4,19,91,1.43333333333333,"12-15 min","visitante",-8,"ARI",1,1,0.924710268926007
2022103005,3,2,24,11,21,13.5166666666667,"0-3 min","visitante",-4,"ARI",0,1,0.83238945685793
2022092510,4,2,7,29,81,12.35,"0-3 min","local",-11,"rival",1,1,0.886148629743403
2022100203,1,2,5,34,44,10.2833333333333,"3-6 min","visitante",0,"rival",0,0,0.422917787084352
2022091110,1,1,10,38,48,2.1,"12-15 min","local",-14,"ARI",1,0,0.332128832927068
2022110608,1,2,6,24,34,4.35,"9-12 min","local",4,"ARI",1,0,0.572103758639283
2022092510,1,1,10,25,85,4,"9-12 min","local",-10,"ARI",1,1,0.753992572466451
2022110608,2,1,10,3,107,2.85,"12-15 min","local",-3,"ARI",0,0,0.246044174379029
2022102000,4,1,10,22,88,9.33333333333333,"3-6 min","local",11,"rival",0,1,0.690333322676742
2022103005,3,2,5,38,72,2.61666666666667,"12-15 min","visitante",-11,"rival",1,1,0.92107229948608
2022091811,4,1,10,48,62,3.46666666666667,"9-12 min","visitante",-8,"ARI",1,0,0.429600509364441
2022091811,4,1,10,42,52,11.4333333333333,"3-6 min","visitante",-16,"rival",1,1,0.634420227728013
2022102000,2,1,10,30,40,7.86666666666667,"6-9 min","local",-8,"rival",0,0,0.581390522027584
2022091110,4,1,10,11,99,5.86666666666667,"9-12 min","local",-29,"rival",1,0,0.251754339844514
2022092510,3,2,8,30,40,6.06666666666667,"6-9 min","local",-7,"rival",0,1,0.834475530718977
2022110608,2,4,4,40,50,0.416666666666667,"12-15 min","local",-3,"rival",1,1,0.981157927420808
2022091110,4,3,6,6,104,13.0166666666667,"0-3 min","local",-30,"rival",1,1,0.90439217537996
2022100911,2,2,1,44,66,1.46666666666667,"12-15 min","local",-7,"ARI",1,0,0.259725170673821
2022110608,3,1,10,31,79,11.25,"3-6 min","local",-3,"ARI",1,0,0.50085537686405
2022101609,4,1,10,20,30,5.83333333333333,"9-12 min","visitante",-10,"ARI",1,1,0.755901452637691
2022100203,1,2,5,14,24,8.9,"6-9 min","visitante",0,"rival",0,1,0.66104155972952
2022091811,2,3,21,24,34,9.46666666666667,"3-6 min","visitante",-10,"ARI",1,1,0.982370742466119
2022091811,4,3,3,3,13,0.133333333333333,"12-15 min","visitante",-8,"rival",1,1,0.980575229478138
2022102000,2,2,10,25,85,9.93333333333333,"3-6 min","local",-8,"ARI",1,1,0.769185527463622
2022110608,4,2,10,16,94,4.28333333333333,"9-12 min","local",-10,"rival",1,1,0.893991322872798
2022092510,2,2,18,22,32,10.3666666666667,"3-6 min","local",-13,"ARI",1,1,0.910489061791027
2022092510,4,2,10,43,67,13.3333333333333,"0-3 min","local",-11,"rival",1,1,0.750859819648934
2022100203,2,1,10,18,28,1.08333333333333,"12-15 min","visitante",-4,"ARI",1,0,0.474551076722334
2022101609,3,1,10,43,53,3.78333333333333,"9-12 min","visitante",-9,"rival",0,1,0.797911040499808
2022091811,3,2,2,34,76,8.95,"6-9 min","visitante",-20,"rival",0,1,0.713603889987994
2022103005,1,1,10,45,55,9.03333333333333,"3-6 min","visitante",-7,"rival",1,0,0.542731659782283
2022103005,4,1,10,36,74,7.98333333333333,"6-9 min","visitante",-8,"ARI",1,1,0.854325061706815
2022092510,1,1,10,25,85,15,"0-3 min","local",0,"ARI",1,1,0.621364458033986
2022092510,2,1,10,28,38,0.8,"12-15 min","local",-10,"ARI",1,1,0.744665561419517
2022101609,4,2,19,8,18,8.05,"6-9 min","visitante",-10,"ARI",1,1,0.818982250567043
2022101609,4,3,13,27,37,0.4,"12-15 min","visitante",-10,"ARI",1,1,0.994721925459534
2022110608,1,2,8,45,55,8.55,"6-9 min","local",-3,"ARI",1,1,0.918709567262423
2022091811,4,4,1,43,53,2.46666666666667,"12-15 min","visitante",-8,"rival",1,0,0.486563838842028
2022091811,3,2,6,26,84,7.71666666666667,"6-9 min","visitante",-20,"rival",1,1,0.879290542785363
2022110608,2,2,10,40,70,6.6,"6-9 min","local",-3,"ARI",0,1,0.867971664314844
2022103005,2,2,10,14,96,0.983333333333333,"12-15 min","visitante",-11,"rival",1,1,0.808489649912874
2022101609,1,1,10,26,36,1.41666666666667,"12-15 min","visitante",0,"rival",0,0,0.25784890409153
2022092510,2,3,1,5,105,3.3,"9-12 min","local",-13,"rival",0,0,0.176120699144199
2022103005,4,2,10,36,74,7.91666666666667,"6-9 min","visitante",-8,"ARI",1,1,0.915590906416597
2022100911,4,1,10,21,89,14.0666666666667,"0-3 min","local",-7,"ARI",1,1,0.719487257420338
2022092510,2,1,20,20,30,10.9833333333333,"3-6 min","local",-13,"ARI",1,1,0.775629732193015
2022102000,2,4,1,4,14,3.2,"9-12 min","local",-8,"rival",0,0,0.223329350752417
2022103005,4,3,1,15,25,14.45,"0-3 min","visitante",-5,"rival",0,0,0.377815480582681
2022110608,3,3,4,32,78,13.65,"0-3 min","local",-3,"ARI",1,1,0.916780496970995
2022091110,2,2,6,31,41,14.45,"0-3 min","local",-14,"rival",0,1,0.700638769274112
2022091110,3,2,10,32,42,0.466666666666667,"12-15 min","local",-30,"rival",1,1,0.949628345031566
2022101609,2,3,22,24,34,1.1,"12-15 min","visitante",-3,"ARI",1,1,0.980912922073842
2022101609,2,1,10,25,35,5.98333333333333,"9-12 min","visitante",-3,"ARI",1,0,0.369859670202264
2022091811,3,1,10,10,100,6.95,"6-9 min","visitante",-20,"rival",0,0,0.492066729806071
