"","gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormation","receiverAlignment","gameClock_mod","timeCategory","estadio","nflId_41232","nflId_41712","nflId_42345","nflId_45550","nflId_46992","nflId_47797","nflId_47814","nflId_48374","nflId_52489","nflId_53433","nflId_53543","nflId_39975","nflId_48723","nflId_45355","nflId_54473","nflId_41808","nflId_53612","nflId_46282","nflId_54616","nflId_54042","nflId_55168","nflId_53616","nflId_54038","nflId_42899","nflId_42486","nflId_52486","diferencia","yardlineSide_mod","isDropback"
"1",2022092511,2,2,7,38,72,"PISTOL","2x1",9.68333333333333,"3-6 min","visitante",1,0,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"rival",TRUE
"2",2022102302,2,3,1,1,11,"I_FORM","2x1",4.81666666666667,"9-12 min","visitante",1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,-21,"rival",FALSE
"3",2022103001,1,2,6,42,68,"SHOTGUN","3x1",3.25,"9-12 min","local",1,0,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,-3,"ATL",TRUE
"4",2022101600,1,3,1,20,30,"SHOTGUN","3x1",11.7833333333333,"3-6 min","local",1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"rival",FALSE
"5",2022110600,3,1,10,47,57,"PISTOL","2x1",8.45,"6-9 min","local",1,0,1,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,-4,"ATL",FALSE
"6",2022100908,3,3,11,17,27,"EMPTY","3x2",13.5833333333333,"0-3 min","visitante",1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,-13,"ATL",TRUE
"7",2022092511,3,3,11,29,81,"EMPTY","4x1",10.9166666666667,"3-6 min","visitante",1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-3,"rival",TRUE
"8",2022103001,3,3,17,18,28,"SHOTGUN","2x2",10.2333333333333,"3-6 min","local",1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,"ATL",TRUE
"9",2022091807,2,3,1,13,97,"SINGLEBACK","2x2",6.16666666666667,"6-9 min","visitante",1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,-14,"rival",FALSE
"10",2022102302,4,2,2,28,38,"SHOTGUN","2x2",13.3666666666667,"0-3 min","visitante",1,0,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,-18,"ATL",FALSE
"11",2022101600,2,1,10,30,40,"PISTOL","2x1",7.03333333333333,"6-9 min","local",1,0,1,1,0,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,"ATL",FALSE
"12",2022110600,1,2,1,34,76,"PISTOL","2x1",14.3833333333333,"0-3 min","local",1,0,1,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,"ATL",FALSE
"13",2022103001,5,1,10,27,37,"PISTOL","3x1",8.7,"6-9 min","local",1,0,1,1,0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,"ATL",FALSE
"14",2022100201,1,1,10,31,79,"I_FORM","2x1",2.86666666666667,"12-15 min","local",1,0,1,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,3,"rival",FALSE
"15",2022101600,1,2,7,12,22,"PISTOL","2x1",10.5333333333333,"3-6 min","local",1,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,"rival",FALSE
"16",2022100908,1,3,17,41,51,"SHOTGUN","2x2",0.4,"12-15 min","visitante",1,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,"ATL",TRUE
"17",2022091807,4,2,6,11,99,"SHOTGUN","2x2",8.35,"6-9 min","visitante",1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-21,"rival",TRUE
"18",2022100201,2,1,10,25,85,"PISTOL","3x1",7.58333333333333,"6-9 min","local",1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,3,"ATL",FALSE
"19",2022100201,3,1,10,14,96,"PISTOL","2x2",9.53333333333333,"3-6 min","local",1,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"ATL",FALSE
"20",2022092511,4,2,7,34,44,"SHOTGUN","2x2",5.26666666666667,"9-12 min","visitante",1,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,4,"rival",FALSE
"21",2022101600,3,1,10,38,72,"SINGLEBACK","3x1",11.6,"3-6 min","local",1,0,1,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,7,"rival",FALSE
"22",2022091100,4,3,6,29,81,"PISTOL","2x1",10.4333333333333,"3-6 min","local",1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8,"ATL",TRUE
