"","gameId2022091109","gameId2022091803","gameId2022092509","gameId2022100209","gameId2022100903","gameId2022101603","gameId2022102304","gameId2022103000","gameId2022110604","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormationEMPTY","offenseFormationI_FORM","offenseFormationJUMBO","offenseFormationPISTOL","offenseFormationSHOTGUN","offenseFormationSINGLEBACK","offenseFormationWILDCAT","receiverAlignment1x0","receiverAlignment1x1","receiverAlignment2x1","receiverAlignment2x2","receiverAlignment3x0","receiverAlignment3x1","receiverAlignment3x2","receiverAlignment4x2","gameClock_mod","timeCategory0.3.min","timeCategory12.15.min","timeCategory3.6.min","timeCategory6.9.min","timeCategory9.12.min","estadiolocal","estadiovisitante","nflId_38696","nflId_42348","nflId_44835","nflId_44846","nflId_44849","nflId_46116","nflId_47818","nflId_52524","nflId_52733","nflId_53430","nflId_54530","nflId_42302","nflId_52708","nflId_53454","nflId_45785","nflId_44978","nflId_53643","nflId_53574","nflId_53707","nflId_53474","nflId_41665","nflId_44916","nflId_54619","diferencia","yardlineSide_modcentro","yardlineSide_modJAX","yardlineSide_modrival","isDropback"
"1",1,0,0,0,0,0,0,0,0,0.666666666666667,0.333333333333333,0.0740740740740741,0.0408163265306122,0.0204081632653061,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.592427616926503,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0.146341463414634,0,0,1,1
"2",0,0,1,0,0,0,0,0,0,0.666666666666667,0,0.148148148148148,0.877551020408163,0.438775510204082,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.555679287305123,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.731707317073171,0,0,1,0
"3",0,0,0,1,0,0,0,0,0,0.333333333333333,0.666666666666667,0,0.673469387755102,0.336734693877551,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.209354120267261,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0.414634146341463,0,1,0,0
"4",0,0,0,0,1,0,0,0,0,0,0,0.333333333333333,0.36734693877551,0.816326530612245,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.221603563474388,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.414634146341463,0,0,1,1
"5",0,0,0,0,1,0,0,0,0,0.333333333333333,1,0.111111111111111,0.73469387755102,0.36734693877551,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.543429844097996,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.414634146341463,0,0,1,1
"6",1,0,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0.0740740740740741,0.63265306122449,0.683673469387755,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0489977728285078,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.146341463414634,0,0,1,1
"7",0,0,1,0,0,0,0,0,0,1,0.666666666666667,0.37037037037037,0.204081632653061,0.897959183673469,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.330734966592428,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.926829268292683,0,0,1,1
"8",0,0,0,0,1,0,0,0,0,0.333333333333333,0.666666666666667,0.222222222222222,0.795918367346939,0.397959183673469,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.587973273942094,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.414634146341463,0,0,1,0
"9",0,0,0,0,0,0,1,0,0,0.666666666666667,0,0.703703703703704,0.530612244897959,0.73469387755102,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0044543429844098,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0.51219512195122,0,1,0,1
"10",0,0,0,0,0,0,0,0,1,0,0.666666666666667,0.148148148148148,0.510204081632653,0.744897959183674,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.689309576837416,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0.414634146341463,0,0,1,0
"11",0,0,0,1,0,0,0,0,0,0,0.666666666666667,0.148148148148148,0.551020408163265,0.724489795918367,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.94988864142539,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0.414634146341463,0,1,0,1
"12",0,0,0,0,1,0,0,0,0,0.666666666666667,0,0.333333333333333,0.489795918367347,0.244897959183673,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0.414634146341463,0,1,0,0
"13",0,1,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0.37037037037037,0.285714285714286,0.857142857142857,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.959910913140312,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.585365853658537,0,1,0,0
"14",0,1,0,0,0,0,0,0,0,1,0.333333333333333,0.37037037037037,0.693877551020408,0.653061224489796,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.131403118040089,0,1,0,0,0,1,0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
"15",0,0,0,0,0,0,0,0,1,1,0.333333333333333,0.37037037037037,0.142857142857143,0.0714285714285714,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.621380846325167,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0.51219512195122,0,1,0,1
"16",0,0,0,0,1,0,0,0,0,0.333333333333333,0.333333333333333,0.148148148148148,0.306122448979592,0.153061224489796,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0267260579064588,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0.341463414634146,0,0,1,1
"17",0,0,0,0,0,0,1,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0.26530612244898,0.13265306122449,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.942093541202673,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0.439024390243902,0,0,1,1
"18",0,0,0,1,0,0,0,0,0,0.666666666666667,0.333333333333333,0.259259259259259,0.897959183673469,0.551020408163265,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.522271714922049,0,0,0,1,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.268292682926829,0,1,0,1
"19",0,0,0,0,0,0,1,0,0,1,0,0.333333333333333,0.571428571428571,0.714285714285714,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.923162583518931,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0.51219512195122,0,0,1,0
"20",1,0,0,0,0,0,0,0,0,0.333333333333333,0,0.296296296296296,0.163265306122449,0.918367346938776,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.387527839643653,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.146341463414634,0,0,1,1
"21",0,0,0,0,0,0,1,0,0,0.333333333333333,0,0.518518518518518,0.530612244897959,0.73469387755102,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.409799554565702,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0.439024390243902,0,1,0,1
"22",0,0,0,0,0,0,0,1,0,0.666666666666667,0.666666666666667,1,0.816326530612245,0.408163265306122,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.681514476614699,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0.48780487804878,0,1,0,0
"23",0,0,0,0,1,0,0,0,0,0,0.333333333333333,0.333333333333333,0.387755102040816,0.193877551020408,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.89086859688196,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.414634146341463,0,1,0,1
"24",0,0,0,0,0,1,0,0,0,0.333333333333333,0,0.333333333333333,0.591836734693878,0.295918367346939,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.855233853006682,1,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0.51219512195122,0,1,0,1
"25",0,0,0,1,0,0,0,0,0,1,0,0.259259259259259,0.142857142857143,0.928571428571429,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.494432071269488,0,0,0,1,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0.0487804878048781,0,0,1,1
"26",1,0,0,0,0,0,0,0,0,0.333333333333333,0,0.333333333333333,1,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.525612472160356,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0.146341463414634,1,0,0,1
"27",0,0,0,0,0,0,1,0,0,0.666666666666667,0,0.333333333333333,0.204081632653061,0.102040816326531,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.922048997772829,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0.365853658536585,0,0,1,0
"28",1,0,0,0,0,0,0,0,0,0.333333333333333,0,0.333333333333333,0.469387755102041,0.76530612244898,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.044543429844098,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.146341463414634,0,0,1,1
"29",0,0,0,0,0,0,1,0,0,0,0,0.333333333333333,0.714285714285714,0.642857142857143,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.195991091314031,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0.439024390243902,0,0,1,0
"30",0,0,0,0,1,0,0,0,0,1,0,0.333333333333333,0.938775510204082,0.469387755102041,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.926503340757238,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0.414634146341463,0,0,1,1
"31",0,0,0,0,0,1,0,0,0,1,0,0.333333333333333,0.285714285714286,0.142857142857143,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.278396436525612,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0.292682926829268,0,0,1,0
"32",0,0,0,0,1,0,0,0,0,1,0,0.333333333333333,0.938775510204082,0.530612244897959,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.00111358574610245,0,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0.24390243902439,0,1,0,1
"33",0,0,0,0,0,0,1,0,0,0.333333333333333,0.666666666666667,0.333333333333333,0.26530612244898,0.13265306122449,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.93652561247216,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0.439024390243902,0,0,1,1
"34",0,0,0,0,0,1,0,0,0,0.666666666666667,0.666666666666667,0,0.63265306122449,0.683673469387755,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.0857461024498886,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0.463414634146341,0,0,1,1
"35",0,0,0,0,0,0,0,0,1,0.666666666666667,0.333333333333333,0.185185185185185,0.448979591836735,0.224489795918367,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.181514476614699,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0.341463414634146,0,0,1,0
"36",0,0,0,0,0,0,0,1,0,1,0.666666666666667,0.740740740740741,0.551020408163265,0.724489795918367,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0.317073170731707,0,1,0,1
"37",0,0,0,0,0,0,0,1,0,0.666666666666667,0.333333333333333,0.296296296296296,0.489795918367347,0.244897959183673,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.955456570155902,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0.48780487804878,0,1,0,1
"38",0,0,0,0,0,0,0,1,0,1,0,0.333333333333333,0.877551020408163,0.438775510204082,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.635857461024499,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0.317073170731707,0,0,1,0
"39",0,0,0,0,0,0,0,1,0,0.333333333333333,0,0.333333333333333,0.653061224489796,0.326530612244898,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.174832962138085,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0.48780487804878,0,1,0,1
"40",0,0,0,0,0,0,0,1,0,0,0,0.333333333333333,0.510204081632653,0.255102040816327,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.608017817371938,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0.414634146341463,0,0,1,0
"41",0,0,0,0,0,1,0,0,0,1,0,0.333333333333333,0.795918367346939,0.397959183673469,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.341870824053452,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0.292682926829268,0,0,1,0
