"","gameId2022090800","gameId2022091900","gameId2022092503","gameId2022100202","gameId2022100901","gameId2022101610","gameId2022103012","gameId2022110606","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormationEMPTY","offenseFormationI_FORM","offenseFormationJUMBO","offenseFormationPISTOL","offenseFormationSHOTGUN","offenseFormationSINGLEBACK","offenseFormationWILDCAT","receiverAlignment1x1","receiverAlignment2x0","receiverAlignment2x1","receiverAlignment2x2","receiverAlignment3x1","receiverAlignment3x2","receiverAlignment4x1","gameClock_mod","timeCategory0.3.min","timeCategory12.15.min","timeCategory3.6.min","timeCategory6.9.min","timeCategory9.12.min","estadiolocal","estadiovisitante","nflId_35472","nflId_42392","nflId_42489","nflId_44875","nflId_44985","nflId_46076","nflId_47857","nflId_47879","nflId_48512","nflId_52536","nflId_53522","nflId_42818","nflId_53079","nflId_52494","nflId_48011","nflId_42448","nflId_54528","nflId_42569","nflId_39684","nflId_53855","nflId_54613","nflId_38937","nflId_40124","nflId_53590","nflId_42954","nflId_52615","nflId_45507","nflId_46173","diferencia","yardlineSide_modBUF","yardlineSide_modcentro","yardlineSide_modrival","isDropback"
"1",0,0,0,0,0,0,1,0,0.666666666666667,0.333333333333333,0.36,0.714285714285714,0.642857142857143,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.604236343366778,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.596153846153846,0,0,1,1
"2",0,0,1,0,0,0,0,0,1,0.666666666666667,0.32,0.489795918367347,0.244897959183673,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.995540691192865,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0.384615384615385,0,0,1,1
"3",0,0,0,0,0,0,0,1,0,0.333333333333333,0.36,0.244897959183673,0.877551020408163,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.9520624303233,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0.326923076923077,0,0,1,1
"4",0,0,0,1,0,0,0,0,0,0,0.36,0.428571428571429,0.785714285714286,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0680044593088071,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115384615384615,1,0,0,1
"5",0,0,1,0,0,0,0,0,0.666666666666667,0,0.4,0.204081632653061,0.897959183673469,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.265328874024526,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0.326923076923077,0,0,1,1
"6",0,0,0,0,0,0,0,1,0,0,0.36,0.938775510204082,0.469387755102041,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.74247491638796,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.326923076923077,1,0,0,1
"7",0,0,0,1,0,0,0,0,0.666666666666667,0,0.36,0.857142857142857,0.571428571428571,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.377926421404682,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.192307692307692,0,0,1,0
"8",0,0,0,0,0,1,0,0,0.333333333333333,0,0.36,0.183673469387755,0.908163265306122,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.494983277591973,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,1,0
"9",1,0,0,0,0,0,0,0,0,0,0.36,0.63265306122449,0.316326530612245,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0914158305462653,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.461538461538462,0,0,1,1
"10",0,0,1,0,0,0,0,0,0.666666666666667,0.333333333333333,0.44,0.36734693877551,0.816326530612245,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.367892976588629,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0.326923076923077,0,0,1,1
"11",0,0,0,0,0,0,1,0,1,0,0.36,0.63265306122449,0.683673469387755,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.929765886287625,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.653846153846154,1,0,0,0
"12",0,0,0,0,0,1,0,0,0.333333333333333,0,0.36,0.73469387755102,0.36734693877551,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.651059085841694,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,1
"13",0,0,0,0,0,0,0,1,0.333333333333333,0,0.36,0.795918367346939,0.602040816326531,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0222965440356745,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.403846153846154,1,0,0,1
"14",0,0,0,0,0,1,0,0,1,0,0.36,0.693877551020408,0.653061224489796,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.613154960981048,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.269230769230769,1,0,0,0
"15",0,0,0,1,0,0,0,0,0.333333333333333,0.333333333333333,0.36,0.26530612244898,0.86734693877551,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0167224080267559,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"16",0,0,0,0,0,0,0,1,0.666666666666667,0.666666666666667,0,0.938775510204082,0.469387755102041,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0981047937569677,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.269230769230769,1,0,0,0
"17",0,1,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0.56,0.346938775510204,0.173469387755102,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.301003344481605,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.384615384615385,1,0,0,1
"18",0,0,1,0,0,0,0,0,0.666666666666667,0.666666666666667,0.4,0.204081632653061,0.897959183673469,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.253065774804905,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0.326923076923077,0,0,1,1
"19",0,0,1,0,0,0,0,0,0.666666666666667,0,0.36,0.612244897959184,0.306122448979592,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.722408026755853,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0.326923076923077,1,0,0,1
"20",0,0,0,0,1,0,0,0,1,0,0.36,0.918367346938776,0.459183673469388,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.494983277591973,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0,0,1
"21",0,0,1,0,0,0,0,0,0,0,0.36,0.224489795918367,0.112244897959184,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.439241917502787,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.461538461538462,1,0,0,0
"22",0,0,1,0,0,0,0,0,1,0.333333333333333,0.44,0.857142857142857,0.428571428571429,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.439241917502787,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0.25,0,0,1,1
"23",0,0,0,0,0,1,0,0,0.333333333333333,0.333333333333333,0.08,0.0408163265306122,0.979591836734694,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.448160535117057,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,1,1
"24",1,0,0,0,0,0,0,0,0.666666666666667,0,0.56,0.102040816326531,0.948979591836735,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.343366778149387,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.461538461538462,1,0,0,1
"25",0,0,0,0,0,0,1,0,1,0.666666666666667,0.08,0.0408163265306122,0.0204081632653061,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.678929765886288,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.653846153846154,0,0,1,1
"26",0,0,1,0,0,0,0,0,0.666666666666667,0,0.36,0.387755102040816,0.193877551020408,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.130434782608696,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0.384615384615385,1,0,0,0
"27",0,0,0,0,0,0,0,1,0.333333333333333,0,0.36,0.408163265306122,0.795918367346939,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.595317725752508,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.403846153846154,1,0,0,1
"28",1,0,0,0,0,0,0,0,1,0.666666666666667,0.24,0.938775510204082,0.469387755102041,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.461538461538462,1,0,0,1
"29",0,0,0,0,0,1,0,0,0.666666666666667,0,0.36,0.489795918367347,0.244897959183673,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.17948717948718,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.326923076923077,1,0,0,1
"30",0,0,1,0,0,0,0,0,0.333333333333333,0,0.32,0.163265306122449,0.0816326530612245,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.862876254180602,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.326923076923077,0,0,1,1
"31",0,0,0,0,0,1,0,0,1,0.333333333333333,0.04,0.63265306122449,0.683673469387755,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.321070234113712,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.269230769230769,1,0,0,0
"32",0,0,1,0,0,0,0,0,1,0.333333333333333,0,0.102040816326531,0.0510204081632653,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.212931995540691,0,0,0,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.25,0,0,1,0
"33",0,0,1,0,0,0,0,0,0.666666666666667,0,0.36,0.0204081632653061,0.0102040816326531,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.868450390189521,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0.326923076923077,1,0,0,1
"34",1,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0.28,0.673469387755102,0.336734693877551,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.906354515050167,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.461538461538462,1,0,0,0
"35",0,0,0,0,0,1,0,0,1,0.666666666666667,0.36,0.693877551020408,0.653061224489796,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.565217391304348,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.269230769230769,1,0,0,1
