"","gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormation","receiverAlignment","gameClock_mod","timeCategory","estadio","nflId_38632","nflId_40488","nflId_44853","nflId_45094","nflId_46131","nflId_47801","nflId_52430","nflId_52466","nflId_52584","nflId_53452","nflId_54524","nflId_47833","nflId_52725","nflId_43971","nflId_47885","nflId_52611","nflId_52429","nflId_54656","nflId_47976","nflId_45281","nflId_47791","nflId_46370","diferencia","yardlineSide_mod","isDropback"
"1",2022103005,1,3,1,34,44,"I_FORM","2x1",13.8166666666667,"0-3 min","local",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"MIN",FALSE
"2",2022103005,2,1,10,17,93,"SINGLEBACK","2x2",14.9,"0-3 min","local",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4,"MIN",FALSE
"3",2022103005,1,1,5,30,40,"SINGLEBACK","2x2",15,"0-3 min","local",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"MIN",FALSE
"4",2022092504,2,1,10,20,90,"SHOTGUN","2x2",10.4,"3-6 min","local",1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-14,"rival",FALSE
"5",2022100904,1,3,3,41,51,"SHOTGUN","2x2",11.3166666666667,"3-6 min","local",1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"rival",TRUE
"6",2022092504,3,3,8,28,82,"SHOTGUN","3x1",14.25,"0-3 min","local",1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"MIN",TRUE
"7",2022100904,3,2,10,33,43,"SHOTGUN","3x1",7.78333333333333,"6-9 min","local",1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,5,"rival",TRUE
"8",2022101604,2,1,10,39,49,"I_FORM","2x1",5.71666666666667,"9-12 min","visitante",1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,-3,"MIN",TRUE
"9",2022101604,2,2,7,19,29,"SINGLEBACK","2x2",13.2333333333333,"0-3 min","visitante",1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,"MIN",TRUE
"10",2022100904,4,1,10,42,68,"I_FORM","2x1",12.9,"0-3 min","local",1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,"rival",TRUE
"11",2022110607,4,1,10,40,70,"SHOTGUN","2x2",5.11666666666667,"9-12 min","visitante",1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,"rival",TRUE
"12",2022100904,1,2,4,29,39,"SINGLEBACK","3x1",10.15,"3-6 min","local",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"rival",TRUE
"14",2022100200,2,3,15,25,35,"SHOTGUN","3x1",0.266666666666667,"12-15 min","visitante",1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,3,"rival",TRUE
"15",2022100200,3,3,9,16,26,"SHOTGUN","3x1",12.25,"0-3 min","visitante",1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,6,"MIN",TRUE
"16",2022103005,2,1,10,16,94,"SINGLEBACK","3x1",4.61666666666667,"9-12 min","local",1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,11,"MIN",TRUE
"17",2022100904,3,1,10,34,76,"SINGLEBACK","2x2",0.966666666666667,"12-15 min","local",1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,"MIN",FALSE
"18",2022091112,4,3,13,46,56,"SINGLEBACK","2x2",1.25,"12-15 min","local",1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,16,"MIN",FALSE
"19",2022091112,3,2,5,30,80,"SHOTGUN","2x2",4.43333333333333,"9-12 min","local",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,13,"MIN",FALSE
"20",2022103005,2,1,10,47,63,"SHOTGUN","3x1",13.5166666666667,"0-3 min","local",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4,"MIN",FALSE
"21",2022103005,3,1,10,25,85,"SINGLEBACK","2x2",9.01666666666667,"3-6 min","local",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-3,"MIN",TRUE
"22",2022110607,4,1,10,38,48,"SINGLEBACK","2x2",13.5666666666667,"0-3 min","visitante",1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,-10,"MIN",TRUE
"23",2022091901,3,1,15,39,49,"SHOTGUN","3x1",13.1333333333333,"0-3 min","visitante",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-17,"MIN",TRUE
"24",2022091112,2,2,7,30,80,"SINGLEBACK","3x1",15,"0-3 min","local",1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,7,"MIN",FALSE
"25",2022092504,4,1,10,26,84,"SINGLEBACK","2x2",9.56666666666667,"3-6 min","local",1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,-10,"rival",FALSE
"26",2022103005,3,1,10,30,40,"I_FORM","2x1",7.3,"6-9 min","local",1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,-3,"rival",FALSE
"27",2022100200,1,1,5,5,105,"SHOTGUN","2x2",9.13333333333333,"3-6 min","visitante",1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,"rival",FALSE
"28",2022092504,4,1,10,28,82,"SHOTGUN","3x1",0.833333333333333,"12-15 min","local",1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,-3,"rival",TRUE
"29",2022110607,1,1,10,22,32,"SINGLEBACK","2x2",14.9333333333333,"0-3 min","visitante",1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,"MIN",FALSE
"30",2022101604,3,1,10,49,59,"SINGLEBACK","3x1",7.33333333333333,"6-9 min","visitante",1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,7,"rival",TRUE
