"","gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormation","receiverAlignment","gameClock_mod","timeCategory","estadio","nflId_42357","nflId_42587","nflId_42883","nflId_43324","nflId_44912","nflId_46092","nflId_47870","nflId_48097","nflId_52590","nflId_53444","nflId_54494","nflId_42363","nflId_53549","nflId_42437","nflId_41069","nflId_48541","nflId_47884","nflId_45185","nflId_33234","nflId_54592","nflId_34843","nflId_37213","nflId_54602","nflId_54515","nflId_48580","nflId_54648","nflId_53000","nflId_52488","diferencia","yardlineSide_mod","isDropback"
"1",2022092505,4,3,6,33,77,"SHOTGUN","2x2",5.75,"9-12 min","local",1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-5,"NE",TRUE
"2",2022091806,1,1,10,31,79,"SHOTGUN","2x2",9.51666666666667,"3-6 min","visitante",1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"rival",FALSE
"3",2022103007,3,2,4,41,51,"SHOTGUN","3x1",9.08333333333333,"3-6 min","visitante",0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,3,"NE",FALSE
"4",2022100211,3,2,5,45,65,"SINGLEBACK","3x1",7.5,"6-9 min","visitante",1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,-4,"rival",FALSE
"5",2022101601,3,2,9,26,36,"SHOTGUN","2x2",14.35,"0-3 min","visitante",1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,"NE",TRUE
"6",2022091806,1,1,10,17,93,"SHOTGUN","2x2",8.23333333333333,"6-9 min","visitante",1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rival",TRUE
"7",2022103007,3,1,10,27,83,"SHOTGUN","2x2",14.2666666666667,"0-3 min","visitante",0,1,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,-4,"rival",TRUE
"8",2022092505,3,2,6,25,35,"SHOTGUN","3x1",8.05,"6-9 min","local",1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,"NE",TRUE
"9",2022100905,3,2,6,36,46,"SHOTGUN","3x1",13,"0-3 min","local",0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,16,"rival",TRUE
"10",2022101601,4,1,10,12,22,"SINGLEBACK","2x1",9.91666666666667,"3-6 min","visitante",0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,15,"rival",FALSE
