"","gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormation","receiverAlignment","gameClock_mod","timeCategory","estadio","nflId_41264","nflId_42347","nflId_43380","nflId_44841","nflId_44870","nflId_44898","nflId_46104","nflId_46235","nflId_52418","nflId_52595","nflId_53539","nflId_54564","nflId_52523","nflId_53640","nflId_53520","nflId_45798","nflId_42503","nflId_43444","nflId_43297","nflId_53897","nflId_47901","nflId_45339","nflId_54667","nflId_47605","diferencia","yardlineSide_mod","isDropback"
"1",2022101601,3,1,10,36,74,"SINGLEBACK","2x2",10.2166666666667,"3-6 min","local",1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,-11,"CLE",FALSE
"2",2022103100,3,3,1,34,44,"SINGLEBACK","3x1",14.0166666666667,"0-3 min","local",1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,11,"CLE",FALSE
"3",2022101601,2,2,1,29,81,"SHOTGUN","2x2",0.7,"12-15 min","local",1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,-7,"rival",TRUE
"5",2022100201,1,1,15,33,77,"SINGLEBACK","3x1",14.0666666666667,"0-3 min","visitante",1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"CLE",TRUE
"6",2022100902,2,1,10,37,73,"SHOTGUN","3x1",0.933333333333333,"12-15 min","local",1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,4,"rival",FALSE
"7",2022100201,4,2,7,43,67,"SINGLEBACK","3x1",11.35,"3-6 min","visitante",1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-4,"CLE",TRUE
"8",2022102300,4,3,7,23,87,"SHOTGUN","3x1",0.116666666666667,"12-15 min","visitante",1,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,-3,"CLE",TRUE
"9",2022101601,3,1,10,37,47,"SHOTGUN","3x1",0.733333333333333,"12-15 min","local",1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,-18,"rival",TRUE
"10",2022091101,2,2,8,46,56,"EMPTY","3x2",14.1666666666667,"0-3 min","visitante",1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,"CLE",TRUE
"11",2022100902,4,2,10,35,75,"SHOTGUN","2x2",0.433333333333333,"12-15 min","local",1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-2,"rival",TRUE
"12",2022100902,4,2,13,15,95,"SHOTGUN","3x1",3.55,"9-12 min","local",1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-2,"rival",TRUE
"13",2022100902,1,1,10,23,33,"JUMBO","2x1",5.9,"9-12 min","local",1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,7,"rival",FALSE
"14",2022103100,2,1,10,22,32,"SINGLEBACK","2x1",10.8166666666667,"3-6 min","local",1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,"CLE",FALSE
"15",2022103100,4,2,5,40,50,"SINGLEBACK","2x1",5.95,"9-12 min","local",1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,19,"rival",FALSE
"16",2022091101,2,1,10,38,48,"SHOTGUN","3x1",7.08333333333333,"6-9 min","visitante",1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,7,"CLE",FALSE
"17",2022091101,2,1,10,24,86,"SINGLEBACK","2x2",1.11666666666667,"12-15 min","visitante",1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,"rival",FALSE
"18",2022102300,1,1,10,20,90,"SINGLEBACK","2x2",2.81666666666667,"12-15 min","visitante",1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,4,"rival",FALSE
"19",2022100201,3,2,8,41,69,"I_FORM","2x1",6.21666666666667,"6-9 min","visitante",1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,"rival",FALSE
"20",2022100201,1,3,1,2,12,"SINGLEBACK","2x2",11.2666666666667,"3-6 min","visitante",1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"rival",FALSE
"22",2022091101,2,1,10,42,68,"PISTOL","2x1",12.4333333333333,"0-3 min","visitante",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rival",TRUE
"23",2022091101,4,1,10,36,74,"SINGLEBACK","3x1",3.45,"9-12 min","visitante",1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,"CLE",FALSE
"24",2022100902,2,2,2,36,46,"SHOTGUN","2x2",1.48333333333333,"12-15 min","local",1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,"CLE",TRUE
"25",2022092200,2,3,8,37,73,"SHOTGUN","3x1",0.833333333333333,"12-15 min","local",1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,"rival",TRUE
"27",2022100201,2,2,8,22,32,"EMPTY","3x2",5.9,"9-12 min","visitante",1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,-3,"CLE",TRUE
"28",2022103100,4,1,10,45,55,"SINGLEBACK","2x1",6.66666666666667,"6-9 min","local",1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,19,"rival",FALSE
"29",2022091801,4,1,10,12,22,"SINGLEBACK","2x1",2.03333333333333,"12-15 min","local",1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,7,"rival",FALSE
"30",2022091101,3,2,11,16,94,"SINGLEBACK","3x1",8.55,"6-9 min","visitante",1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10,"rival",FALSE
"31",2022092200,4,3,1,14,96,"I_FORM","2x0",12.2166666666667,"0-3 min","local",1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,"rival",FALSE
"32",2022102300,1,2,15,25,85,"SHOTGUN","3x1",1.83333333333333,"12-15 min","visitante",1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,4,"rival",TRUE
"33",2022103100,2,2,10,32,78,"SHOTGUN","2x1",6.96666666666667,"6-9 min","local",1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,"rival",TRUE
"34",2022091101,2,1,10,40,50,"SINGLEBACK","2x2",1.95,"12-15 min","visitante",1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,"CLE",TRUE
"35",2022101601,3,1,10,25,85,"SINGLEBACK","3x1",11.3666666666667,"3-6 min","local",1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,-11,"CLE",FALSE
"36",2022100902,1,2,8,50,60,"SINGLEBACK","2x2",7.6,"6-9 min","local",1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,7,"centro",FALSE
"37",2022091101,2,3,9,23,33,"EMPTY","4x1",7.81666666666667,"6-9 min","visitante",1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,"CLE",TRUE
"38",2022100201,3,1,10,32,78,"SINGLEBACK","2x2",4.73333333333333,"9-12 min","visitante",1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"rival",TRUE
"39",2022100201,2,1,10,48,62,"SINGLEBACK","2x2",13.8666666666667,"0-3 min","visitante",1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-10,"rival",FALSE
"40",2022103100,4,2,9,35,45,"SINGLEBACK","3x0",3.31666666666667,"9-12 min","local",1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,19,"rival",FALSE
"41",2022102300,4,1,10,16,94,"SHOTGUN","3x1",3.2,"9-12 min","visitante",1,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,-3,"CLE",TRUE
"42",2022102300,1,4,1,9,101,"SINGLEBACK","2x2",10,"3-6 min","visitante",1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,"rival",FALSE
"43",2022100201,4,1,10,25,85,"SHOTGUN","3x1",2.46666666666667,"12-15 min","visitante",1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-3,"CLE",TRUE
"44",2022102300,1,1,10,40,70,"EMPTY","3x2",12.5333333333333,"0-3 min","visitante",1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,"rival",TRUE
"45",2022101601,3,3,10,26,84,"EMPTY","4x1",5.35,"9-12 min","local",1,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,-18,"CLE",TRUE
"46",2022100902,2,2,6,36,46,"SINGLEBACK","2x1",12.7666666666667,"0-3 min","local",1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,4,"CLE",FALSE
"47",2022103100,3,2,5,30,40,"SINGLEBACK","3x1",14.5666666666667,"0-3 min","local",1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,11,"CLE",FALSE
"48",2022103100,1,1,10,44,66,"SINGLEBACK","3x1",1.63333333333333,"12-15 min","local",1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,"CLE",TRUE
"49",2022092200,2,3,3,13,97,"SHOTGUN","3x1",9.73333333333333,"3-6 min","local",1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"rival",FALSE
"50",2022103100,1,2,4,22,88,"SHOTGUN","2x1",10.1,"3-6 min","local",1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,"CLE",TRUE
"51",2022103100,3,1,10,25,35,"SINGLEBACK","3x1",15,"0-3 min","local",1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,11,"CLE",FALSE
"52",2022101601,1,2,8,25,35,"EMPTY","3x2",4.41666666666667,"9-12 min","local",1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,-3,"rival",TRUE
"53",2022091801,3,2,4,4,106,"SHOTGUN","3x1",10.2,"3-6 min","local",1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"rival",TRUE
"54",2022092200,3,3,3,38,48,"SHOTGUN","2x2",5.43333333333333,"9-12 min","local",1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,"rival",FALSE
"55",2022092200,4,1,10,46,64,"SINGLEBACK","2x1",1.76666666666667,"12-15 min","local",1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,6,"rival",FALSE
"56",2022100201,4,1,10,25,85,"SINGLEBACK","3x1",7.31666666666667,"6-9 min","visitante",1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"CLE",TRUE
"57",2022100201,4,2,7,41,69,"SINGLEBACK","3x1",5.38333333333333,"9-12 min","visitante",1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"CLE",TRUE
"58",2022092200,2,2,4,27,37,"EMPTY","3x2",14.4666666666667,"0-3 min","local",1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"CLE",TRUE
"59",2022091101,1,2,8,48,62,"SHOTGUN","3x1",12.05,"0-3 min","visitante",1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"CLE",FALSE
"60",2022091801,2,3,3,46,56,"SHOTGUN","2x2",11.6333333333333,"3-6 min","local",1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"CLE",TRUE
"61",2022100902,4,2,10,44,66,"SHOTGUN","2x2",6.03333333333333,"6-9 min","local",1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,-2,"rival",FALSE
"62",2022103100,2,3,7,28,38,"SHOTGUN","3x1",12.5833333333333,"0-3 min","local",1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,"CLE",TRUE
"63",2022091801,3,2,10,20,30,"SHOTGUN","3x1",4.8,"9-12 min","local",1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,"CLE",TRUE
"64",2022102300,3,2,9,36,74,"SHOTGUN","2x2",5.48333333333333,"9-12 min","visitante",1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,-10,"rival",TRUE
"65",2022092200,4,3,1,37,73,"SINGLEBACK","2x1",0.9,"12-15 min","local",1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,6,"rival",FALSE
"66",2022100902,2,1,10,25,35,"SINGLEBACK","2x2",5.85,"9-12 min","local",1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-3,"CLE",TRUE
"67",2022091101,1,3,4,49,59,"SHOTGUN","3x1",3.65,"9-12 min","visitante",1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"rival",FALSE
"68",2022100902,2,3,4,38,48,"SHOTGUN","3x1",12.0833333333333,"0-3 min","local",1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,"CLE",TRUE
"69",2022103100,2,2,12,36,74,"SHOTGUN","3x1",2,"12-15 min","local",1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,8,"rival",TRUE
"70",2022103100,2,2,11,24,34,"SHOTGUN","3x1",13.3,"0-3 min","local",1,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,"CLE",TRUE
"71",2022102300,4,1,10,20,90,"SHOTGUN","3x1",0.266666666666667,"12-15 min","visitante",1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,-3,"CLE",TRUE
