"","gameId2022091109","gameId2022091802","gameId2022092508","gameId2022100204","gameId2022100909","gameId2022101300","gameId2022102306","gameId2022103009","gameId2022110607","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormationEMPTY","offenseFormationI_FORM","offenseFormationJUMBO","offenseFormationPISTOL","offenseFormationSHOTGUN","offenseFormationSINGLEBACK","offenseFormationWILDCAT","receiverAlignment1x0","receiverAlignment1x1","receiverAlignment2x1","receiverAlignment2x2","receiverAlignment3x1","receiverAlignment3x2","receiverAlignment4x1","gameClock_mod","timeCategory0.3.min","timeCategory12.15.min","timeCategory3.6.min","timeCategory6.9.min","timeCategory9.12.min","estadiolocal","estadiovisitante","nflId_41349","nflId_41475","nflId_41939","nflId_43291","nflId_43484","nflId_45012","nflId_47859","nflId_52474","nflId_53480","nflId_53553","nflId_54481","nflId_43722","nflId_44852","nflId_54846","nflId_43445","nflId_53687","nflId_46362","nflId_53511","nflId_41321","nflId_52516","nflId_41563","nflId_47914","nflId_43339","nflId_54614","nflId_54563","nflId_41707","nflId_42831","nflId_54850","nflId_45005","diferencia","yardlineSide_modcentro","yardlineSide_modrival","yardlineSide_modWAS","isDropback"
"1",0,0,0,0,0,0,0,0,1,1,0.333333333333333,0.230769230769231,0.551020408163265,0.724489795918367,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.663687150837989,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0.885714285714286,0,0,1,1
"2",1,0,0,0,0,0,0,0,0,1,0.333333333333333,0.230769230769231,0.489795918367347,0.755102040816326,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.736312849162011,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.457142857142857,0,0,1,1
"3",1,0,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0.346153846153846,0.428571428571429,0.214285714285714,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.850279329608939,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,1,0,1
"4",0,1,0,0,0,0,0,0,0,1,0,0.346153846153846,0.244897959183673,0.877551020408163,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.251396648044693,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.257142857142857,0,1,0,1
"5",1,0,0,0,0,0,0,0,0,0.333333333333333,0.666666666666667,0,0.714285714285714,0.642857142857143,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.128491620111732,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
"6",0,0,0,0,0,0,0,1,0,0.666666666666667,0,0.346153846153846,0.836734693877551,0.418367346938776,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.913966480446927,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0.8,0,0,1,0
"7",1,0,0,0,0,0,0,0,0,1,0.666666666666667,0.269230769230769,0.469387755102041,0.76530612244898,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.684916201117318,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.457142857142857,0,0,1,1
"8",0,0,1,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0.346153846153846,0.387755102040816,0.193877551020408,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.440223463687151,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.4,0,0,1,1
"9",0,0,0,1,0,0,0,0,0,1,0,0.346153846153846,0.204081632653061,0.102040816326531,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.633519553072626,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0.342857142857143,0,1,0,0
"10",0,0,0,0,0,1,0,0,0,0.333333333333333,0,0.346153846153846,0.326530612244898,0.836734693877551,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.397765363128492,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0.685714285714286,0,0,1,1
"11",1,0,0,0,0,0,0,0,0,0,0.666666666666667,0.153846153846154,0.612244897959184,0.306122448979592,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.732960893854749,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,1,1
"12",0,0,0,1,0,0,0,0,0,0,0.333333333333333,0.192307692307692,0.571428571428571,0.285714285714286,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.728491620111732,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.6,0,0,1,0
"13",0,0,0,0,0,0,0,0,1,1,0.666666666666667,0.192307692307692,0.571428571428571,0.714285714285714,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.462569832402235,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0.685714285714286,0,0,1,1
"14",0,0,1,0,0,0,0,0,0,1,0.333333333333333,0.346153846153846,0.938775510204082,0.469387755102041,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.868156424581006,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0571428571428571,0,1,0,1
"15",0,0,0,1,0,0,0,0,0,0.666666666666667,0,0.346153846153846,0.775510204081633,0.387755102040816,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.643575418994413,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.542857142857143,0,0,1,1
"16",0,0,0,0,0,0,0,1,0,0.666666666666667,0.333333333333333,0.115384615384615,0.612244897959184,0.306122448979592,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.955307262569832,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0.8,0,0,1,0
"17",0,0,0,0,0,0,0,0,1,0,0.333333333333333,0.192307692307692,0.836734693877551,0.581632653061224,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.506145251396648,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0.485714285714286,0,0,1,1
