"","gameId2022091200","gameId2022091810","gameId2022092513","gameId2022100212","gameId2022100600","gameId2022101700","gameId2022102307","gameId2022103000","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormationEMPTY","offenseFormationI_FORM","offenseFormationJUMBO","offenseFormationPISTOL","offenseFormationSHOTGUN","offenseFormationSINGLEBACK","offenseFormationWILDCAT","receiverAlignment2x0","receiverAlignment2x1","receiverAlignment2x2","receiverAlignment3x1","receiverAlignment3x2","receiverAlignment4x1","gameClock_mod","timeCategory0.3.min","timeCategory12.15.min","timeCategory3.6.min","timeCategory6.9.min","timeCategory9.12.min","estadiolocal","estadiovisitante","nflId_38605","nflId_41369","nflId_42721","nflId_44832","nflId_46109","nflId_47824","nflId_48096","nflId_52423","nflId_52491","nflId_53464","nflId_53527","nflId_44987","nflId_52454","nflId_52660","nflId_52526","nflId_42358","nflId_46461","nflId_43384","nflId_52766","nflId_54627","nflId_48094","nflId_48318","nflId_54545","nflId_40129","nflId_41296","nflId_48090","nflId_54636","diferencia","yardlineSide_modcentro","yardlineSide_modDEN","yardlineSide_modrival","isDropback"
"1",0,0,0,0,1,0,0,0,0.5,0,0.375,0.693877551020408,0.653061224489796,0,0,0,0,1,0,0,0,0,1,0,0,0,0.956521739130435,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.764705882352941,0,1,0,1
"2",0,1,0,0,0,0,0,0,0.75,0,0.375,0.26530612244898,0.13265306122449,0,0,0,0,0,1,0,0,0,1,0,0,0,0.652173913043478,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.823529411764706,0,1,0,0
"3",0,0,0,0,0,0,1,0,0.75,0,0.375,0.489795918367347,0.244897959183673,0,0,0,0,1,0,0,0,0,1,0,0,0,0.853957636566332,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0.352941176470588,0,1,0,0
"4",0,1,0,0,0,0,0,0,0.75,0.666666666666667,0.625,0.63265306122449,0.316326530612245,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0.411764705882353,0,1,0,1
"5",0,0,0,0,0,0,0,1,0.25,0.666666666666667,0.666666666666667,0.897959183673469,0.551020408163265,0,0,0,0,1,0,0,0,0,0,1,0,0,0.00780379041248606,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0.411764705882353,0,1,0,1
"6",0,1,0,0,0,0,0,0,0.25,0,0.375,0.979591836734694,0.489795918367347,0,0,0,0,0,1,0,0,0,1,0,0,0,0.956521739130435,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.588235294117647,0,0,1,1
"7",0,0,0,0,0,1,0,0,0.75,0.666666666666667,0.208333333333333,0.510204081632653,0.744897959183674,0,0,0,0,1,0,0,0,0,0,1,0,0,0.603121516164994,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0.588235294117647,0,0,1,1
"8",0,0,0,0,0,0,1,0,0.75,0,0.375,0.387755102040816,0.193877551020408,0,0,0,0,1,0,0,0,0,1,0,0,0,0.096989966555184,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0.176470588235294,0,1,0,1
"9",1,0,0,0,0,0,0,0,0.75,0.333333333333333,0.166666666666667,0.530612244897959,0.73469387755102,0,0,0,0,1,0,0,0,0,1,0,0,0,0.225195094760312,0,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0.529411764705882,0,1,0,1
"10",0,0,1,0,0,0,0,0,0.75,0.666666666666667,0.375,0.653061224489796,0.673469387755102,0,0,0,0,1,0,0,0,0,0,1,0,0,0.549609810479376,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0.294117647058824,0,1,0,1
