"","gameId2022091110","gameId2022091811","gameId2022092510","gameId2022100203","gameId2022100911","gameId2022101609","gameId2022102000","gameId2022103005","gameId2022110608","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormationEMPTY","offenseFormationI_FORM","offenseFormationPISTOL","offenseFormationSHOTGUN","offenseFormationSINGLEBACK","offenseFormationWILDCAT","receiverAlignment1x1","receiverAlignment2x1","receiverAlignment2x2","receiverAlignment3x1","receiverAlignment3x2","receiverAlignment4x1","gameClock_mod","timeCategory0.3.min","timeCategory12.15.min","timeCategory3.6.min","timeCategory6.9.min","timeCategory9.12.min","estadiolocal","estadiovisitante","nflId_37077","nflId_37130","nflId_38779","nflId_39983","nflId_42367","nflId_44917","nflId_44949","nflId_46103","nflId_47784","nflId_47808","nflId_48646","nflId_42398","nflId_43845","nflId_52630","nflId_47845","nflId_42476","nflId_47980","nflId_52480","nflId_52778","nflId_54680","nflId_39965","nflId_46526","nflId_54520","nflId_53478","nflId_54666","nflId_46293","nflId_39973","nflId_46090","nflId_43808","nflId_47821","diferencia","yardlineSide_modARI","yardlineSide_modcentro","yardlineSide_modrival","isDropback"
"1",0,0,1,0,0,0,0,0,0,0.5,0,0.346153846153846,0.204081632653061,0.916666666666667,1,0,0,0,0,0,0,0,0,0,1,0,0.862876254180602,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.479166666666667,1,0,0,1
"2",0,1,0,0,0,0,0,0,0,0.75,0.333333333333333,0.0769230769230769,0.0408163265306122,0.0208333333333333,0,0,0,1,0,0,0,0,0,1,0,0,0.00891861761426979,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.458333333333333,0,0,1,1
"3",1,0,0,0,0,0,0,0,0,0,0,0.346153846153846,0.489795918367347,0.25,0,0,0,1,0,0,0,1,0,0,0,0,0.219620958751394,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,1,0,0,0
"4",0,0,1,0,0,0,0,0,0,0.5,0.333333333333333,0.153846153846154,0.306122448979592,0.864583333333333,0,0,0,1,0,0,0,0,0,1,0,0,0.830546265328874,1,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.479166666666667,1,0,0,1
"5",0,0,0,0,1,0,0,0,0,0.75,0,0.346153846153846,0.938775510204082,0.479166666666667,0,0,0,1,0,0,0,0,1,0,0,0,0.0590858416945373,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.5625,0,0,1,1
"6",0,0,0,1,0,0,0,0,0,0.75,0,0.346153846153846,0.183673469387755,0.927083333333333,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.625,0,0,1,0
"7",0,1,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.550724637681159,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.291666666666667,0,0,1,0
"8",0,0,0,0,0,0,1,0,0,0.75,0,0.346153846153846,0.285714285714286,0.145833333333333,0,0,0,1,0,0,0,0,0,1,0,0,0.957636566332218,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0
"9",0,0,0,0,1,0,0,0,0,0.25,0,0.346153846153846,0.489795918367347,0.770833333333333,0,0,0,1,0,0,0,1,0,0,0,0,0.677814938684504,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.333333333333333,1,0,0,1
"10",0,0,1,0,0,0,0,0,0,0.25,1,0,0.775510204081633,0.395833333333333,0,0,0,1,0,0,0,0,0,1,0,0,0.61092530657748,0,0,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.354166666666667,1,0,0,0
"11",0,0,0,0,0,0,0,1,0,0.5,0,0.153846153846154,0.36734693877551,0.833333333333333,0,0,1,0,0,0,0,1,0,0,0,0,0.0144927536231884,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0.520833333333333,0,0,1,0
"12",1,0,0,0,0,0,0,0,0,0.25,0,0.346153846153846,0.448979591836735,0.229166666666667,0,0,0,1,0,0,0,0,0,1,0,0,0.924191750278707,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,1,0
"13",0,0,0,1,0,0,0,0,0,0.25,0,0.346153846153846,0.877551020408163,0.572916666666667,0,0,0,1,0,0,0,0,0,1,0,0,0.432552954292085,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.479166666666667,0,0,1,0
"14",0,0,0,0,1,0,0,0,0,0.75,0.333333333333333,0.153846153846154,0.836734693877551,0.427083333333333,0,0,0,1,0,0,0,0,0,1,0,0,0.0546265328874025,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.5625,0,0,1,1
"15",0,0,0,0,0,0,0,1,0,0,0.333333333333333,0.346153846153846,0.979591836734694,0.5,0,0,0,1,0,0,1,0,0,0,0,0,0.084726867335563,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0.541666666666667,0,0,1,1
"16",0,0,0,1,0,0,0,0,0,0.75,0,0.346153846153846,0.73469387755102,0.645833333333333,0,0,0,0,1,0,0,0,1,0,0,0,0.212931995540691,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.833333333333333,0,0,1,0
"17",0,1,0,0,0,0,0,0,0,0.5,0.666666666666667,0.153846153846154,0.0816326530612245,0.979166666666667,0,0,0,1,0,0,0,0,0,1,0,0,0.406911928651059,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.208333333333333,0,0,1,1
"18",0,0,0,0,0,0,0,1,0,0.25,0.333333333333333,0.0769230769230769,0.36734693877551,0.833333333333333,0,0,0,1,0,0,0,1,0,0,0,0,0.0735785953177257,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0.395833333333333,0,0,1,0
"19",0,0,0,0,0,1,0,0,0,0,0,0.346153846153846,0.489795918367347,0.770833333333333,0,0,0,0,1,0,0,0,0,1,0,0,0.443701226309922,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.625,1,0,0,0
"20",0,0,0,0,0,0,0,0,1,0.25,0,0.346153846153846,0.795918367346939,0.614583333333333,0,1,0,0,0,0,0,1,0,0,0,0,0.443701226309922,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0.5625,1,0,0,1
"21",0,0,0,1,0,0,0,0,0,0,0.666666666666667,0.115384615384615,0.591836734693878,0.71875,0,0,0,1,0,0,0,0,0,1,0,0,0.885172798216276,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.625,1,0,0,1
"22",0,1,0,0,0,0,0,0,0,1,0,0.346153846153846,0.489795918367347,0.770833333333333,0,0,0,1,0,0,0,0,0,1,0,0,0.665551839464883,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.625,1,0,0,1
"23",0,0,0,0,1,0,0,0,0,0.75,0.333333333333333,0,0.36734693877551,0.833333333333333,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0.479166666666667,1,0,0,0
"24",0,0,0,1,0,0,0,0,0,0.5,0,0.346153846153846,0.755102040816326,0.635416666666667,0,0,0,0,1,0,0,0,0,1,0,0,0.326644370122631,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.625,1,0,0,0
"25",1,0,0,0,0,0,0,0,0,0.25,0,0.346153846153846,0.693877551020408,0.354166666666667,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,1,1
"26",0,0,1,0,0,0,0,0,0,0.25,0,0.346153846153846,0.489795918367347,0.25,0,0,0,1,0,0,0,0,1,0,0,0,0.891861761426979,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.354166666666667,1,0,0,1
"27",0,0,0,0,0,0,0,0,1,0.75,0,0.115384615384615,0.0612244897959184,0.989583333333333,0,0,0,0,1,0,0,0,0,1,0,0,0.256410256410256,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0.416666666666667,0,0,1,0
"28",0,0,0,0,0,0,0,1,0,0.75,0.666666666666667,0.615384615384615,0.877551020408163,0.447916666666667,0,0,0,1,0,0,0,0,1,0,0,0,0.00780379041248606,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0.458333333333333,0,0,1,1
