"","gameId2022091105","gameId2022091803","gameId2022092502","gameId2022100207","gameId2022100600","gameId2022101603","gameId2022102305","gameId2022103009","gameId2022110605","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormationEMPTY","offenseFormationI_FORM","offenseFormationJUMBO","offenseFormationPISTOL","offenseFormationSHOTGUN","offenseFormationSINGLEBACK","offenseFormationWILDCAT","receiverAlignment1x1","receiverAlignment2x1","receiverAlignment2x2","receiverAlignment3x1","receiverAlignment3x2","receiverAlignment4x1","gameClock_mod","timeCategory0.3.min","timeCategory12.15.min","timeCategory3.6.min","timeCategory6.9.min","timeCategory9.12.min","estadiolocal","estadiovisitante","nflId_33084","nflId_43307","nflId_44792","nflId_46075","nflId_46106","nflId_46275","nflId_47842","nflId_52442","nflId_52449","nflId_52557","nflId_54518","nflId_48118","nflId_53556","nflId_54538","nflId_46173","nflId_53658","nflId_54542","nflId_52620","nflId_38618","nflId_53703","nflId_53677","nflId_46367","nflId_38683","nflId_54979","nflId_53647","nflId_46238","nflId_46172","diferencia","yardlineSide_modcentro","yardlineSide_modIND","yardlineSide_modrival","isDropback"
"1",0,0,0,0,0,0,0,0,1,0.75,0,0.243243243243243,0.795918367346939,0.385416666666667,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0300668151447661,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0.032258064516129,0,1,0,0
"2",0,1,0,0,0,0,0,0,0,0.25,0.666666666666667,0.135135135135135,0.510204081632653,0.239583333333333,0,0,0,0,1,0,0,0,0,0,1,0,0,0.402004454342984,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.32258064516129,0,1,0,1
"3",0,0,0,0,0,0,0,1,0,0,0,0.243243243243243,0.142857142857143,0.927083333333333,0,0,0,0,0,1,0,0,0,0,1,0,0,0.350779510022272,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.774193548387097,0,1,0,0
"4",0,0,1,0,0,0,0,0,0,0,0,0.243243243243243,0.673469387755102,0.322916666666667,0,0,0,0,1,0,0,0,0,1,0,0,0,0.99109131403118,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.774193548387097,0,1,0,1
"5",1,0,0,0,0,0,0,0,0,0.75,0,0.243243243243243,0.571428571428571,0.708333333333333,0,0,0,0,0,1,0,0,0,0,1,0,0,0.145879732739421,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.548387096774194,0,0,1,0
"6",0,0,0,0,0,0,0,1,0,0.75,0,0.243243243243243,0.489795918367347,0.229166666666667,0,0,0,0,1,0,0,0,0,0,1,0,0,0.022271714922049,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.741935483870968,0,1,0,1
"7",0,1,0,0,0,0,0,0,0,0.75,0,0.243243243243243,0.877551020408163,0.552083333333333,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"8",0,0,0,1,0,0,0,0,0,0.75,0,0.243243243243243,0.673469387755102,0.322916666666667,0,0,0,0,1,0,0,0,0,0,1,0,0,0.316258351893096,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.548387096774194,0,1,0,1
"9",1,0,0,0,0,0,0,0,0,0,0.333333333333333,0.243243243243243,0.591836734693878,0.697916666666667,0,0,0,0,1,0,0,0,0,1,0,0,0,0.244988864142539,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.870967741935484,0,1,0,1
"10",0,0,0,0,0,0,0,1,0,0.5,0,0.243243243243243,0.673469387755102,0.322916666666667,0,0,0,0,1,0,0,0,0,1,0,0,0,0.276169265033408,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0.741935483870968,0,0,1,0
