"","gameId2022091112","gameId2022091901","gameId2022092504","gameId2022100200","gameId2022100904","gameId2022101604","gameId2022103005","gameId2022110607","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormationEMPTY","offenseFormationI_FORM","offenseFormationPISTOL","offenseFormationSHOTGUN","offenseFormationSINGLEBACK","receiverAlignment1x1","receiverAlignment2x1","receiverAlignment2x2","receiverAlignment3x1","receiverAlignment3x2","receiverAlignment4x1","gameClock_mod","timeCategory0.3.min","timeCategory12.15.min","timeCategory3.6.min","timeCategory6.9.min","timeCategory9.12.min","estadiolocal","estadiovisitante","nflId_38632","nflId_40488","nflId_44853","nflId_45094","nflId_46131","nflId_47801","nflId_52430","nflId_52466","nflId_52584","nflId_53452","nflId_54524","nflId_47833","nflId_52725","nflId_43971","nflId_47885","nflId_52611","nflId_52429","nflId_54656","nflId_47976","nflId_45281","nflId_47791","nflId_46370","diferencia","yardlineSide_modcentro","yardlineSide_modMIN","yardlineSide_modrival","isDropback"
"1",0,0,0,0,0,0,1,0,0,0.666666666666667,0,0.673469387755102,0.336734693877551,0,1,0,0,0,0,1,0,0,0,0,0.920492721164614,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.485714285714286,0,1,0,0
"2",0,0,0,0,0,0,1,0,0.333333333333333,0,0.375,0.326530612244898,0.836734693877551,0,0,0,0,1,0,0,1,0,0,0,0.993281075027996,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.6,0,1,0,0
"3",0,0,0,0,0,0,1,0,0,0,0.166666666666667,0.591836734693878,0.295918367346939,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.485714285714286,0,1,0,0
"4",0,0,1,0,0,0,0,0,0.333333333333333,0,0.375,0.387755102040816,0.806122448979592,0,0,0,1,0,0,0,1,0,0,0,0.690929451287794,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0857142857142857,0,0,1,0
"5",0,0,0,0,1,0,0,0,0,0.666666666666667,0.0833333333333333,0.816326530612245,0.408163265306122,0,0,0,1,0,0,0,1,0,0,0,0.752519596864502,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.485714285714286,0,0,1,1
"6",0,0,1,0,0,0,0,0,0.666666666666667,0.666666666666667,0.291666666666667,0.551020408163265,0.724489795918367,0,0,0,1,0,0,0,0,1,0,0,0.949608062709966,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.485714285714286,0,1,0,1
"7",0,0,0,0,1,0,0,0,0.666666666666667,0.333333333333333,0.375,0.653061224489796,0.326530612244898,0,0,0,1,0,0,0,0,1,0,0,0.51511758118701,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0.628571428571429,0,0,1,1
"8",0,0,0,0,0,1,0,0,0.333333333333333,0,0.375,0.775510204081633,0.387755102040816,0,1,0,0,0,0,1,0,0,0,0,0.376259798432251,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0.4,0,1,0,1
"9",0,0,0,0,0,1,0,0,0.333333333333333,0.333333333333333,0.25,0.36734693877551,0.183673469387755,0,0,0,0,1,0,0,1,0,0,0,0.881298992161254,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0.485714285714286,0,1,0,1
"10",0,0,0,0,1,0,0,0,1,0,0.375,0.836734693877551,0.581632653061224,0,1,0,0,0,0,1,0,0,0,0,0.858902575587906,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0.542857142857143,0,0,1,1
