"","gameId2022091107","gameId2022091800","gameId2022092505","gameId2022100202","gameId2022100913","gameId2022101606","gameId2022102300","gameId2022102700","gameId2022110700","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormationEMPTY","offenseFormationI_FORM","offenseFormationJUMBO","offenseFormationPISTOL","offenseFormationSHOTGUN","offenseFormationSINGLEBACK","offenseFormationWILDCAT","receiverAlignment1x1","receiverAlignment2x1","receiverAlignment2x2","receiverAlignment3x1","receiverAlignment3x2","receiverAlignment4x1","gameClock_mod","timeCategory0.3.min","timeCategory12.15.min","timeCategory3.6.min","timeCategory6.9.min","timeCategory9.12.min","estadiolocal","estadiovisitante","nflId_38557","nflId_41245","nflId_41295","nflId_43362","nflId_45268","nflId_46101","nflId_46155","nflId_47906","nflId_52500","nflId_53456","nflId_54490","nflId_54604","nflId_47852","nflId_43415","nflId_52609","nflId_42469","nflId_47896","nflId_48220","nflId_53560","nflId_54575","nflId_52463","nflId_42514","nflId_43295","nflId_52894","nflId_46437","nflId_33130","nflId_52721","diferencia","yardlineSide_modBAL","yardlineSide_modcentro","yardlineSide_modrival","isDropback"
"1",0,0,0,0,0,0,0,1,0,0.666666666666667,0.333333333333333,0.2,0.530612244897959,0.26530612244898,0,0,0,1,0,0,0,0,0,0,1,0,0,0.147321428571429,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0.25,0,0,1,0
"2",0,0,0,1,0,0,0,0,0,1,0.333333333333333,0.342857142857143,0.571428571428571,0.285714285714286,0,0,0,0,1,0,0,0,0,1,0,0,0,0.746651785714286,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0.25,1,0,0,1
"3",0,0,0,0,1,0,0,0,0,0,0,0.257142857142857,0.571428571428571,0.714285714285714,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0368303571428571,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0.357142857142857,0,0,1,1
"4",1,0,0,0,0,0,0,0,0,0,0.666666666666667,0.0285714285714286,0.714285714285714,0.357142857142857,1,0,0,0,0,0,0,0,0,0,0,1,0,0.844866071428571,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0
"5",0,0,0,0,0,0,0,1,0,0.333333333333333,0.333333333333333,0.0857142857142857,0.938775510204082,0.530612244897959,0,0,0,0,1,0,0,0,0,1,0,0,0,0.577008928571429,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"6",0,0,0,0,1,0,0,0,0,1,0.333333333333333,0.142857142857143,0.63265306122449,0.316326530612245,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0535714285714286,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.214285714285714,0,0,1,0
"7",0,0,1,0,0,0,0,0,0,0.666666666666667,0.666666666666667,0.114285714285714,0.755102040816326,0.377551020408163,0,0,0,0,1,0,0,0,0,0,1,0,0,0.177455357142857,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.535714285714286,0,0,1,1
"8",0,1,0,0,0,0,0,0,0,1,0.666666666666667,0.314285714285714,0.551020408163265,0.724489795918367,0,0,0,0,1,0,0,0,0,0,1,0,0,0.466517857142857,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.5,1,0,0,1
"9",0,0,0,0,0,0,0,1,0,0.666666666666667,0,0.257142857142857,0.387755102040816,0.806122448979592,0,0,0,0,1,0,0,0,0,1,0,0,0,0.4609375,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0.25,1,0,0,0
"10",0,0,0,0,0,1,0,0,0,1,0.333333333333333,0.257142857142857,0.489795918367347,0.755102040816326,0,0,0,0,1,0,0,0,0,1,0,0,0,0.107142857142857,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0.107142857142857,1,0,0,1
