"","gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormation","receiverAlignment","gameClock_mod","timeCategory","estadio","nflId_42654","nflId_43510","nflId_44860","nflId_46094","nflId_46163","nflId_47794","nflId_47835","nflId_52409","nflId_52441","nflId_53434","nflId_54601","nflId_43344","nflId_44927","nflId_44990","nflId_43495","nflId_52588","nflId_52673","nflId_48530","nflId_53631","nflId_53568","nflId_52499","nflId_48471","nflId_43490","nflId_47838","nflId_53619","diferencia","yardlineSide_mod","isDropback"
"1",2022102302,3,1,10,21,31,"EMPTY","3x2",1.9,"12-15 min","local",1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,"CIN",TRUE
"2",2022091809,4,1,10,8,18,"EMPTY","3x2",2.21666666666667,"12-15 min","visitante",1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CIN",TRUE
"3",2022100913,3,3,6,20,30,"SHOTGUN","3x1",6.13333333333333,"6-9 min","visitante",1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,-3,"rival",TRUE
"4",2022092506,2,1,4,4,106,"SINGLEBACK","3x1",8.68333333333333,"6-9 min","visitante",1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,8,"rival",TRUE
"5",2022092506,1,2,15,33,43,"SHOTGUN","3x1",11.9833333333333,"3-6 min","visitante",1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rival",TRUE
"6",2022092506,1,2,6,29,81,"SHOTGUN","2x2",4.51666666666667,"9-12 min","visitante",1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,"CIN",TRUE
"7",2022092900,3,1,10,49,61,"SINGLEBACK","3x1",7.35,"6-9 min","local",1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,"rival",FALSE
"8",2022100913,4,3,1,31,79,"SINGLEBACK","2x2",5.36666666666667,"9-12 min","visitante",1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-6,"rival",TRUE
"9",2022102302,3,1,10,38,48,"EMPTY","3x2",9.06666666666667,"3-6 min","local",1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,"CIN",TRUE
"10",2022102302,4,1,10,12,22,"SINGLEBACK","2x2",2.33333333333333,"12-15 min","local",1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,18,"rival",FALSE
