"","gameId2022091102","gameId2022091812","gameId2022092501","gameId2022100208","gameId2022100904","gameId2022101300","gameId2022102400","gameId2022103002","gameId2022110601","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormationEMPTY","offenseFormationI_FORM","offenseFormationJUMBO","offenseFormationPISTOL","offenseFormationSHOTGUN","offenseFormationSINGLEBACK","offenseFormationWILDCAT","receiverAlignment1x1","receiverAlignment2x1","receiverAlignment2x2","receiverAlignment3x1","receiverAlignment3x2","receiverAlignment4x1","gameClock_mod","timeCategory0.3.min","timeCategory12.15.min","timeCategory3.6.min","timeCategory6.9.min","timeCategory9.12.min","estadiolocal","estadiovisitante","nflId_43345","nflId_46113","nflId_46276","nflId_47856","nflId_48159","nflId_52451","nflId_52581","nflId_53440","nflId_53468","nflId_53580","nflId_54633","nflId_46522","nflId_40149","nflId_54784","nflId_54668","nflId_48207","nflId_44068","nflId_53646","nflId_53586","nflId_47904","nflId_38553","nflId_54536","nflId_41324","nflId_47815","nflId_53085","nflId_42593","nflId_52457","diferencia","yardlineSide_modcentro","yardlineSide_modCHI","yardlineSide_modrival","isDropback"
"1",0,0,0,0,1,0,0,0,0,1,0.333333333333333,0.0416666666666667,0.653061224489796,0.673469387755102,0,0,0,0,1,0,0,0,0,1,0,0,0,0.151616499442586,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.35,0,1,0,1
"2",0,1,0,0,0,0,0,0,0,1,0.666666666666667,0.208333333333333,0.102040816326531,0.948979591836735,0,0,0,0,1,0,0,0,0,1,0,0,0,0.568561872909699,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.175,0,0,1,1
"3",0,0,0,0,0,0,1,0,0,0.333333333333333,0.666666666666667,0.625,0.530612244897959,0.73469387755102,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0178372352285396,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.6,0,0,1,1
"4",0,1,0,0,0,0,0,0,0,0.333333333333333,0.666666666666667,0.583333333333333,0.183673469387755,0.908163265306122,0,0,0,0,1,0,0,0,0,1,0,0,0,0.249721293199554,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.275,0,1,0,1
"5",1,0,0,0,0,0,0,0,0,1,0,0.375,0.897959183673469,0.448979591836735,0,0,0,0,1,0,0,0,0,1,0,0,0,0.239687848383501,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,1,0
"6",0,0,0,0,0,0,0,1,0,0.333333333333333,0.333333333333333,0.208333333333333,0.816326530612245,0.408163265306122,0,0,0,0,1,0,0,0,0,1,0,0,0,0.322185061315496,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0
"7",0,0,0,0,0,0,1,0,0,0.666666666666667,0.333333333333333,0.541666666666667,0.469387755102041,0.23469387755102,0,0,0,0,0,1,0,0,0,1,0,0,0,0.706800445930881,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0.675,0,0,1,0
"8",0,0,0,0,0,1,0,0,0,0,0.333333333333333,0.166666666666667,0.0816326530612245,0.0408163265306122,0,0,0,0,1,0,0,0,0,0,1,0,0,0.160535117056856,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.525,0,0,1,1
"9",1,0,0,0,0,0,0,0,0,0.666666666666667,0.333333333333333,0.25,0.612244897959184,0.306122448979592,0,0,0,0,1,0,0,0,0,0,1,0,0,0.507246376811594,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.275,0,1,0,1
"10",0,0,0,0,0,0,1,0,0,0.666666666666667,0.666666666666667,0.208333333333333,0.551020408163265,0.724489795918367,0,0,0,0,1,0,0,0,0,0,1,0,0,0.947603121516165,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0.675,0,1,0,0
