"","gameId2022091113","gameId2022091804","gameId2022092512","gameId2022100213","gameId2022100908","gameId2022101607","gameId2022102301","gameId2022102700","gameId2022110609","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormationEMPTY","offenseFormationI_FORM","offenseFormationJUMBO","offenseFormationPISTOL","offenseFormationSHOTGUN","offenseFormationSINGLEBACK","receiverAlignment1x1","receiverAlignment2x0","receiverAlignment2x1","receiverAlignment2x2","receiverAlignment3x1","receiverAlignment3x2","receiverAlignment4x1","gameClock_mod","timeCategory0.3.min","timeCategory12.15.min","timeCategory3.6.min","timeCategory6.9.min","timeCategory9.12.min","estadiolocal","estadiovisitante","nflId_25511","nflId_37079","nflId_41233","nflId_42033","nflId_42377","nflId_42474","nflId_44816","nflId_44896","nflId_52421","nflId_53524","nflId_54522","nflId_54571","nflId_42369","nflId_54683","nflId_46263","nflId_54556","nflId_41667","nflId_53558","nflId_47991","nflId_53027","nflId_55071","nflId_37118","nflId_38947","nflId_48085","nflId_53009","nflId_52484","diferencia","yardlineSide_modcentro","yardlineSide_modrival","yardlineSide_modTB","isDropback"
"1",0,0,0,0,0,0,0,1,0,0,0.333333333333333,0,0.612244897959184,0.306122448979592,0,0,0,0,0,1,0,0,0,1,0,0,0,0.21850613154961,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0.595238095238095,0,1,0,0
"2",0,0,0,0,1,0,0,0,0,0,0.333333333333333,0.0689655172413793,0.326530612244898,0.163265306122449,0,0,0,0,1,0,0,0,0,1,0,0,0,0.363433667781494,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0.5,0,1,0,1
"3",0,0,0,0,1,0,0,0,0,0.666666666666667,0.666666666666667,0,0.857142857142857,0.428571428571429,0,0,0,0,0,1,0,0,0,0,1,0,0,0.490523968784838,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.80952380952381,0,1,0,0
"4",0,1,0,0,0,0,0,0,0,1,0.666666666666667,0,0.36734693877551,0.816326530612245,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,1,0
"5",0,0,1,0,0,0,0,0,0,1,0.666666666666667,1,0.591836734693878,0.295918367346939,0,0,0,0,1,0,0,0,0,1,0,0,0,0.453734671125975,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0.30952380952381,0,0,1,1
"6",0,0,1,0,0,0,0,0,0,0.666666666666667,0,0.310344827586207,0.448979591836735,0.775510204081633,0,0,0,0,1,0,0,0,0,0,1,0,0,0.167224080267559,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0.30952380952381,0,0,1,1
"7",0,0,0,0,0,0,0,1,0,0.666666666666667,0.333333333333333,0.0344827586206897,0.938775510204082,0.530612244897959,0,0,0,0,0,1,0,0,0,1,0,0,0,0.525083612040134,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0.5,0,1,0,0
"8",0,1,0,0,0,0,0,0,0,1,0.666666666666667,0.344827586206897,0.653061224489796,0.673469387755102,0,0,0,0,0,1,0,0,0,0,1,0,0,0.130434782608696,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0.738095238095238,0,0,1,0
"9",1,0,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0.310344827586207,0.571428571428571,0.285714285714286,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0289855072463768,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0.642857142857143,0,1,0,1
"10",0,0,0,0,0,1,0,0,0,0,0,0.310344827586207,0.551020408163265,0.724489795918367,0,1,0,0,0,0,0,0,1,0,0,0,0,0.500557413600892,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,1,0
"11",0,0,0,0,0,0,0,0,1,1,0,0.206896551724138,0.122448979591837,0.938775510204082,0,0,0,0,0,1,0,0,0,0,1,0,0,0.186176142697882,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0.404761904761905,0,1,0,0
"12",0,0,0,1,0,0,0,0,0,1,0.333333333333333,0.275862068965517,0.877551020408163,0.438775510204082,0,0,0,0,1,0,0,0,0,1,0,0,0,0.642140468227425,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0952380952380952,0,0,1,1
"13",0,1,0,0,0,0,0,0,0,0,0.666666666666667,0,0.510204081632653,0.744897959183674,0,0,0,0,0,1,0,0,0,1,0,0,0,0.293199554069119,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0.428571428571429,0,1,0,0
"14",0,0,0,0,0,1,0,0,0,0,0.666666666666667,0.0344827586206897,0.612244897959184,0.306122448979592,0,0,0,0,1,0,0,0,0,0,1,0,0,0.329988851727982,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,1,0,1
"15",0,0,0,1,0,0,0,0,0,0.666666666666667,0,0.310344827586207,0.489795918367347,0.755102040816326,0,0,0,0,1,0,0,0,0,0,1,0,0,0.377926421404682,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"16",0,0,0,0,0,0,1,0,0,0.666666666666667,1,0,0.489795918367347,0.755102040816326,0,0,0,0,0,1,0,0,0,0,1,0,0,0.424749163879599,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,1,0,0
"17",0,0,0,0,1,0,0,0,0,0.666666666666667,0.666666666666667,0.517241379310345,0.122448979591837,0.938775510204082,0,0,0,0,1,0,0,0,0,0,1,0,0,0.176142697881828,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
"18",0,0,0,0,0,0,0,1,0,0.666666666666667,0,0.310344827586207,0.897959183673469,0.448979591836735,0,0,0,0,0,1,0,0,0,0,1,0,0,0.566332218506132,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.5,0,0,1,0
"19",0,0,0,0,1,0,0,0,0,1,0.333333333333333,0.310344827586207,0.63265306122449,0.683673469387755,0,0,0,0,0,1,0,0,0,1,0,0,0,0.189520624303233,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.642857142857143,0,1,0,0
"20",0,1,0,0,0,0,0,0,0,0.666666666666667,0,0.310344827586207,0.693877551020408,0.653061224489796,0,0,0,0,0,1,0,0,0,0,1,0,0,0.547380156075808,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0.428571428571429,0,1,0,0
"21",0,0,0,0,0,0,1,0,0,0.666666666666667,0.333333333333333,0.310344827586207,0.326530612244898,0.163265306122449,0,1,0,0,0,0,0,0,1,0,0,0,0,0.326644370122631,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0.333333333333333,0,0,1,1
"22",1,0,0,0,0,0,0,0,0,1,0.666666666666667,0.103448275862069,0.959183673469388,0.520408163265306,0,0,0,0,0,1,0,0,0,0,1,0,0,0.201783723522854,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0.880952380952381,0,0,1,0
"23",0,0,0,1,0,0,0,0,0,0,0.666666666666667,0.103448275862069,0.551020408163265,0.724489795918367,0,0,0,0,1,0,0,0,0,0,1,0,0,0.735785953177258,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,1,0,1
"24",1,0,0,0,0,0,0,0,0,0.666666666666667,0.333333333333333,0,0.816326530612245,0.408163265306122,0,0,0,0,0,1,0,0,0,1,0,0,0,0.457079152731327,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0.714285714285714,0,0,1,0
