"","gameId2022091104","gameId2022091901","gameId2022092508","gameId2022100209","gameId2022100911","gameId2022101611","gameId2022103008","gameId2022110300","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormationEMPTY","offenseFormationI_FORM","offenseFormationJUMBO","offenseFormationPISTOL","offenseFormationSHOTGUN","offenseFormationSINGLEBACK","receiverAlignment1x1","receiverAlignment2x1","receiverAlignment2x2","receiverAlignment3x1","receiverAlignment3x2","receiverAlignment4x1","gameClock_mod","timeCategory0.3.min","timeCategory12.15.min","timeCategory3.6.min","timeCategory6.9.min","timeCategory9.12.min","estadiolocal","estadiovisitante","nflId_37266","nflId_39950","nflId_43368","nflId_46118","nflId_46302","nflId_47834","nflId_47836","nflId_52461","nflId_53439","nflId_53466","nflId_53946","nflId_45102","nflId_52608","nflId_53579","nflId_52907","nflId_46270","nflId_54663","nflId_48514","nflId_53517","nflId_52553","nflId_54516","nflId_47805","nflId_47961","nflId_54810","diferencia","yardlineSide_modcentro","yardlineSide_modPHI","yardlineSide_modrival","isDropback"
"1",1,0,0,0,0,0,0,0,1,0.666666666666667,0.478260869565217,0.693877551020408,0.346938775510204,0,0,0,0,1,0,0,0,0,1,0,0,0.85650723025584,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.631578947368421,0,1,0,1
"2",0,0,0,0,0,0,0,1,0.333333333333333,0,0.391304347826087,0.673469387755102,0.336734693877551,0,0,0,0,0,1,0,0,1,0,0,0,0.630700778642937,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.368421052631579,0,1,0,0
"3",1,0,0,0,0,0,0,0,1,1,0,0.795918367346939,0.602040816326531,0,1,0,0,0,0,0,1,0,0,0,0,0.0723025583982203,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0.447368421052632,0,0,1,0
"4",0,0,0,1,0,0,0,0,0.333333333333333,0.666666666666667,0.652173913043478,0.306122448979592,0.153061224489796,0,0,0,0,1,0,0,0,1,0,0,0,0.670745272525028,0,0,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"5",0,0,0,0,0,1,0,0,0.333333333333333,0,0.173913043478261,0.0816326530612245,0.0408163265306122,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.368421052631579,0,0,1,0
"6",0,0,1,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0278086763070078,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0.815789473684211,0,0,1,1
"7",0,0,0,0,0,1,0,0,0.666666666666667,0.333333333333333,0.347826086956522,0.795918367346939,0.602040816326531,0,0,0,0,1,0,0,0,1,0,0,0,0.903225806451613,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.815789473684211,0,1,0,1
"8",0,0,0,1,0,0,0,0,0.666666666666667,0.333333333333333,0.130434782608696,0.551020408163265,0.275510204081633,0,0,0,1,0,0,0,0,1,0,0,0,0.703003337041157,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0.526315789473684,0,1,0,0
"9",0,1,0,0,0,0,0,0,1,0.666666666666667,0.565217391304348,0.714285714285714,0.357142857142857,0,0,0,0,1,0,0,0,1,0,0,0,0.845383759733037,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.815789473684211,0,1,0,1
"10",0,0,1,0,0,0,0,0,0.333333333333333,0.333333333333333,0.347826086956522,0.306122448979592,0.153061224489796,1,0,0,0,0,0,0,0,0,0,1,0,0.549499443826474,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.631578947368421,0,0,1,0
"11",0,0,0,0,0,0,1,0,0.333333333333333,0.333333333333333,0.391304347826087,0.918367346938776,0.540816326530612,1,0,0,0,0,0,0,0,0,0,1,0,0.991101223581758,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368421052631579,0,1,0,1
"12",1,0,0,0,0,0,0,0,1,0.333333333333333,0.347826086956522,0.959183673469388,0.520408163265306,0,0,0,0,1,0,0,0,0,1,0,0,0.126807563959956,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.447368421052632,0,0,1,0
"13",0,1,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0.304347826086957,0.938775510204082,0.530612244897959,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0.552631578947368,0,1,0,1
