"","gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormation","receiverAlignment","gameClock_mod","timeCategory","estadio","nflId_44814","nflId_46108","nflId_46161","nflId_46166","nflId_47849","nflId_52457","nflId_52543","nflId_53453","nflId_53484","nflId_53557","nflId_54517","nflId_47924","nflId_47876","nflId_48988","nflId_43487","nflId_46755","nflId_54905","nflId_46404","nflId_54673","nflId_54485","nflId_48051","diferencia","yardlineSide_mod","isDropback"
"1",2022092200,4,3,3,13,97,"SHOTGUN","2x2",5.06666666666667,"9-12 min","visitante",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-9,"PIT",TRUE
"2",2022091806,2,1,10,48,58,"SINGLEBACK","2x2",14.4166666666667,"0-3 min","local",1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,-3,"PIT",FALSE
"3",2022101607,4,2,1,29,39,"SINGLEBACK","2x2",2,"12-15 min","local",1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,2,"rival",FALSE
"4",2022103008,1,1,10,42,52,"SINGLEBACK","2x2",5.21666666666667,"9-12 min","visitante",0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,-7,"rival",TRUE
"5",2022103008,2,1,10,22,32,"SHOTGUN","3x1",0.416666666666667,"12-15 min","visitante",0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,-11,"PIT",TRUE
"6",2022100901,2,1,10,27,83,"SHOTGUN","3x1",0.933333333333333,"12-15 min","visitante",0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,-28,"PIT",TRUE
"7",2022092200,2,2,6,44,54,"SINGLEBACK","3x1",6.51666666666667,"6-9 min","visitante",1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,-6,"rival",FALSE
"8",2022091103,5,3,3,32,42,"SHOTGUN","3x1",8.61666666666667,"6-9 min","visitante",1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,"PIT",TRUE
"9",2022102311,3,1,10,27,83,"SHOTGUN","2x2",14.8833333333333,"0-3 min","visitante",0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,-6,"PIT",FALSE
"10",2022091806,2,1,15,24,86,"EMPTY","3x2",10.0333333333333,"3-6 min","local",1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,-3,"rival",TRUE
