"","gameId2022091111","gameId2022091500","gameId2022092509","gameId2022100206","gameId2022100902","gameId2022101700","gameId2022102309","gameId2022110600","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormationEMPTY","offenseFormationI_FORM","offenseFormationJUMBO","offenseFormationPISTOL","offenseFormationSHOTGUN","offenseFormationSINGLEBACK","receiverAlignment1x1","receiverAlignment2x0","receiverAlignment2x1","receiverAlignment2x2","receiverAlignment3x1","receiverAlignment3x2","receiverAlignment4x1","gameClock_mod","timeCategory0.3.min","timeCategory12.15.min","timeCategory3.6.min","timeCategory6.9.min","timeCategory9.12.min","estadiolocal","estadiovisitante","nflId_40024","nflId_41390","nflId_41959","nflId_44819","nflId_44856","nflId_45573","nflId_47874","nflId_52414","nflId_53442","nflId_53506","nflId_54482","nflId_53526","nflId_54725","nflId_52520","nflId_48556","nflId_46100","nflId_41327","nflId_42794","nflId_45630","nflId_46314","nflId_34754","nflId_54660","nflId_53244","nflId_48576","nflId_48456","nflId_53588","nflId_54588","diferencia","yardlineSide_modcentro","yardlineSide_modLAC","yardlineSide_modrival","isDropback"
"1",1,0,0,0,0,0,0,0,0.25,0,0.375,0.938775510204082,0.530612244897959,0,0,0,0,0,1,0,0,0,1,0,0,0,0.798665183537264,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.583333333333333,0,1,0,1
"2",0,0,0,0,0,1,0,0,0.75,0.333333333333333,0.375,0.489795918367347,0.755102040816326,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0956618464961068,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0.583333333333333,0,1,0,1
"3",0,1,0,0,0,0,0,0,0.5,0.333333333333333,0.291666666666667,0.530612244897959,0.26530612244898,0,0,0,0,1,0,0,0,0,1,0,0,0,0.46496106785317,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.645833333333333,0,1,0,1
"4",0,0,1,0,0,0,0,0,0.25,0.333333333333333,0.416666666666667,0.714285714285714,0.642857142857143,0,0,0,0,1,0,0,0,0,0,1,0,0,0.032258064516129,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.395833333333333,0,1,0,1
"5",0,0,0,0,0,0,1,0,0.75,0,0.375,0.755102040816326,0.622448979591837,0,0,0,0,1,0,0,0,0,1,0,0,0,0.441601779755284,0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0.145833333333333,0,1,0,1
"6",0,1,0,0,0,0,0,0,0,0.666666666666667,0.5,0.469387755102041,0.76530612244898,0,0,0,0,1,0,0,0,0,0,1,0,0,0.451612903225806,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.583333333333333,0,0,1,1
"7",0,0,0,0,0,0,1,0,0.25,0,0.375,0.489795918367347,0.755102040816326,0,0,0,0,1,0,0,0,0,0,1,0,0,0.110122358175751,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0.375,0,1,0,1
"8",0,0,0,0,1,0,0,0,0,0,0.375,0.326530612244898,0.163265306122449,0,0,0,0,1,0,0,0,0,0,1,0,0,0.796440489432703,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.4375,0,1,0,1
"9",0,0,0,0,0,1,0,0,0.25,0.666666666666667,0,0.408163265306122,0.204081632653061,0,1,0,0,0,0,0,0,1,0,0,0,0,0.426028921023359,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0.520833333333333,0,1,0,0
"10",0,0,0,0,0,0,1,0,0.75,0,0.375,0.530612244897959,0.26530612244898,1,0,0,0,0,0,0,0,0,0,0,1,0,0.39265850945495,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0.145833333333333,0,0,1,1
"11",0,0,0,0,0,0,1,0,0,0,0.375,0.489795918367347,0.244897959183673,0,0,0,0,0,1,0,0,0,0,1,0,0,0.28476084538376,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0.291666666666667,0,1,0,0
"12",0,1,0,0,0,0,0,0,0.5,0,0.375,0.530612244897959,0.73469387755102,0,0,0,0,1,0,0,0,0,1,0,0,0,0.826473859844271,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0.645833333333333,0,0,1,0
"13",0,1,0,0,0,0,0,0,0,0,0.375,0.714285714285714,0.642857142857143,0,0,0,0,0,1,0,0,0,1,0,0,0,0.560622914349277,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.583333333333333,0,0,1,0
"14",1,0,0,0,0,0,0,0,0.25,0.333333333333333,0.25,0.224489795918367,0.887755102040816,0,0,0,0,1,0,0,0,0,1,0,0,0,0.430478309232481,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729166666666667,0,1,0,1
"15",0,0,0,0,0,0,0,1,0.75,0,0.375,0.408163265306122,0.795918367346939,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0233592880978865,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0.583333333333333,0,0,1,0
"16",0,1,0,0,0,0,0,0,0.75,1,0.25,0.122448979591837,0.0612244897959184,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0823136818687431,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.375,0,0,1,1
"17",0,0,1,0,0,0,0,0,0.5,0.666666666666667,0.25,0.551020408163265,0.275510204081633,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0311457174638487,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0.145833333333333,0,1,0,1
"18",0,0,0,0,0,0,0,1,0.5,0.666666666666667,0.375,0.73469387755102,0.63265306122449,1,0,0,0,0,0,0,0,0,0,0,1,0,0.154616240266963,0,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0.520833333333333,0,1,0,1
"19",0,0,0,0,0,0,0,1,0.75,0,0.375,0.551020408163265,0.724489795918367,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0634037819799778,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0.583333333333333,0,0,1,0
"20",0,0,1,0,0,0,0,0,0.5,0,0.25,0.122448979591837,0.938775510204082,0,0,1,0,0,0,0,0,0,1,0,0,0,0.812013348164627,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.395833333333333,0,0,1,1
