"","gameId2022091101","gameId2022091805","gameId2022092500","gameId2022100203","gameId2022100910","gameId2022101608","gameId2022102301","gameId2022103001","gameId2022110602","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormationEMPTY","offenseFormationI_FORM","offenseFormationJUMBO","offenseFormationPISTOL","offenseFormationSHOTGUN","offenseFormationSINGLEBACK","offenseFormationWILDCAT","receiverAlignment1x1","receiverAlignment2x1","receiverAlignment2x2","receiverAlignment3x1","receiverAlignment3x2","receiverAlignment4x1","gameClock_mod","timeCategory0.3.min","timeCategory12.15.min","timeCategory3.6.min","timeCategory6.9.min","timeCategory9.12.min","estadiolocal","estadiovisitante","nflId_43808","nflId_44820","nflId_44876","nflId_44882","nflId_46070","nflId_46093","nflId_46102","nflId_46170","nflId_53499","nflId_53633","nflId_54471","nflId_53512","nflId_53555","nflId_44901","nflId_52858","nflId_52659","nflId_53488","nflId_52450","nflId_43461","nflId_45159","nflId_52530","nflId_46284","nflId_55014","nflId_53746","nflId_42362","diferencia","yardlineSide_modCAR","yardlineSide_modcentro","yardlineSide_modrival","isDropback"
"1",0,0,0,0,0,0,0,1,0,0.75,0,0.375,0.755102040816326,0.377551020408163,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0201117318435754,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0.547169811320755,1,0,0,1
"2",0,0,0,0,1,0,0,0,0,0.75,0,0.375,0.183673469387755,0.908163265306122,0,0,0,0,1,0,0,0,0,1,0,0,0,0.294972067039106,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.377358490566038,1,0,0,1
"3",1,0,0,0,0,0,0,0,0,0.75,0.333333333333333,0.416666666666667,0.285714285714286,0.857142857142857,0,0,0,0,0,1,0,0,0,1,0,0,0,0.088268156424581,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.622641509433962,0,0,1,0
"4",1,0,0,0,0,0,0,0,0,0,0,0.375,0.428571428571429,0.214285714285714,0,0,0,0,0,1,0,0,0,0,1,0,0,0.995530726256983,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.660377358490566,1,0,0,1
"5",0,0,0,0,0,0,1,0,0,0.25,0.333333333333333,0.208333333333333,0.612244897959184,0.693877551020408,0,0,0,0,1,0,0,0,0,1,0,0,0,0.064804469273743,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0.660377358490566,0,0,1,1
"6",0,0,0,0,0,0,0,1,0,0.5,0.333333333333333,0.375,0.469387755102041,0.23469387755102,0,0,0,0,1,0,0,0,0,0,1,0,0,0.784357541899441,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0.584905660377358,0,0,1,1
"7",0,0,1,0,0,0,0,0,0,0,0.333333333333333,0.208333333333333,0.897959183673469,0.448979591836735,0,0,0,0,0,1,0,0,0,1,0,0,0,0.902793296089386,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.660377358490566,1,0,0,1
"8",0,0,0,1,0,0,0,0,0,0.75,0.666666666666667,0.25,0.63265306122449,0.316326530612245,0,0,0,0,1,0,0,0,0,1,0,0,0,0.405586592178771,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.358490566037736,0,0,1,1
"9",0,0,0,0,0,0,1,0,0,0.25,0.333333333333333,0.333333333333333,0.836734693877551,0.418367346938776,0,0,0,0,1,0,0,0,0,1,0,0,0,0.128491620111732,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0.660377358490566,1,0,0,1
"10",0,0,0,0,1,0,0,0,0,0.75,0,0.375,0.448979591836735,0.224489795918367,0,0,0,0,0,1,0,0,0,0,1,0,0,0.548603351955307,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.320754716981132,0,0,1,1
"11",0,0,0,0,1,0,0,0,0,0,1,0,0.673469387755102,0.663265306122449,0,0,0,0,1,0,0,0,0,0,1,0,0,0.284916201117318,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.528301886792453,0,0,1,0
"12",0,0,0,0,0,0,0,0,1,0.5,0.333333333333333,0.375,0.530612244897959,0.26530612244898,0,0,0,0,1,0,0,0,0,1,0,0,0,0.873743016759777,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1
"13",0,0,0,0,0,0,0,1,0,0,0,0.375,0.73469387755102,0.63265306122449,0,0,0,0,1,0,0,0,0,0,1,0,0,0.623463687150838,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0.660377358490566,0,0,1,0
