"","gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormation","receiverAlignment","gameClock_mod","timeCategory","estadio","nflId_38696","nflId_42348","nflId_44835","nflId_44846","nflId_44849","nflId_46116","nflId_47818","nflId_52524","nflId_52733","nflId_53430","nflId_54530","nflId_42302","nflId_52708","nflId_53454","nflId_45785","nflId_44978","nflId_53643","nflId_53574","nflId_53707","nflId_53474","nflId_41665","nflId_44916","nflId_54619","diferencia","yardlineSide_mod","isDropback"
"1",2022091109,3,2,3,3,13,"SINGLEBACK","2x1",8.9,"6-9 min","visitante",1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,-11,"rival",TRUE
"2",2022092509,3,1,5,44,54,"SINGLEBACK","3x1",8.35,"6-9 min","visitante",0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,13,"rival",FALSE
"3",2022100209,2,3,1,34,44,"SINGLEBACK","3x1",3.16666666666667,"9-12 min","visitante",1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"JAX",FALSE
"4",2022100903,1,1,10,19,91,"SHOTGUN","2x2",3.35,"9-12 min","local",1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"rival",TRUE
"5",2022100903,2,4,4,37,47,"SHOTGUN","3x1",8.16666666666667,"6-9 min","local",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"rival",TRUE
"6",2022091109,2,2,3,32,78,"SHOTGUN","2x2",0.766666666666667,"12-15 min","visitante",1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,-11,"rival",TRUE
"7",2022092509,4,3,11,11,99,"SHOTGUN","3x1",4.98333333333333,"9-12 min","visitante",1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,21,"rival",TRUE
"8",2022100903,2,3,7,40,50,"SHOTGUN","3x1",8.83333333333333,"6-9 min","local",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"rival",FALSE
"9",2022102304,3,1,20,27,83,"SHOTGUN","3x1",0.1,"12-15 min","local",1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,4,"JAX",TRUE
"10",2022110604,1,3,5,26,84,"EMPTY","3x2",10.35,"3-6 min","local",1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,"rival",FALSE
"11",2022100209,1,3,5,28,82,"SHOTGUN","3x1",14.25,"0-3 min","visitante",1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,"JAX",TRUE
"13",2022100903,3,1,10,25,35,"SHOTGUN","3x1",15,"0-3 min","local",1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,"JAX",FALSE
"14",2022091803,2,2,11,15,95,"SHOTGUN","2x2",14.4,"0-3 min","local",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,"JAX",FALSE
"15",2022091803,4,2,11,35,75,"SINGLEBACK","2x2",2,"12-15 min","local",1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,24,"rival",FALSE
"16",2022110604,4,2,11,8,18,"SHOTGUN","3x1",9.33333333333333,"3-6 min","local",1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,4,"JAX",TRUE
"17",2022100903,2,2,5,16,26,"SHOTGUN","2x2",0.433333333333333,"12-15 min","local",1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,-3,"rival",TRUE
"18",2022102304,2,2,10,14,24,"SHOTGUN","3x1",14.1333333333333,"0-3 min","local",0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,"rival",TRUE
"19",2022100209,3,2,8,45,65,"SINGLEBACK","3x1",7.85,"6-9 min","visitante",1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-6,"JAX",TRUE
"20",2022102304,4,1,10,29,81,"SHOTGUN","2x1",13.85,"0-3 min","local",0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,4,"rival",FALSE
"21",2022091109,2,1,9,9,101,"SHOTGUN","3x1",5.83333333333333,"9-12 min","visitante",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-11,"rival",TRUE
"22",2022102304,2,1,15,27,83,"SHOTGUN","2x2",6.16666666666667,"6-9 min","local",1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,"JAX",TRUE
"23",2022103000,3,3,28,41,51,"SHOTGUN","2x2",10.2333333333333,"3-6 min","local",1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,3,"JAX",FALSE
"24",2022100903,1,2,10,20,30,"SHOTGUN","3x1",13.3666666666667,"0-3 min","local",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"JAX",TRUE
"25",2022101603,2,1,10,30,40,"EMPTY","3x2",12.8333333333333,"0-3 min","visitante",0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,4,"JAX",TRUE
"26",2022100209,4,1,8,8,102,"SHOTGUN","2x2",7.43333333333333,"6-9 min","visitante",1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,-15,"rival",TRUE
"27",2022091109,2,1,10,50,60,"EMPTY","3x2",7.9,"6-9 min","visitante",1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,-11,"centro",TRUE
"28",2022102304,3,1,10,11,21,"WILDCAT","2x1",13.8333333333333,"0-3 min","local",0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,-2,"rival",FALSE
"29",2022091109,2,1,10,24,86,"SHOTGUN","2x2",0.7,"12-15 min","visitante",1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,-11,"rival",TRUE
"30",2022102304,1,1,10,36,74,"SHOTGUN","2x2",2.96666666666667,"12-15 min","local",1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,"rival",FALSE
"32",2022100903,4,1,10,47,57,"SINGLEBACK","2x2",13.9,"0-3 min","local",0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,"rival",TRUE
"33",2022101603,4,1,10,15,25,"SINGLEBACK","2x2",4.2,"9-12 min","visitante",0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,-5,"rival",FALSE
"34",2022100903,4,1,10,47,63,"SHOTGUN","3x1",0.05,"12-15 min","local",1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,-7,"JAX",TRUE
"35",2022102304,2,3,10,14,24,"SHOTGUN","2x2",14.05,"0-3 min","local",1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,"rival",TRUE
"36",2022101603,3,3,1,32,78,"SHOTGUN","2x2",1.31666666666667,"12-15 min","visitante",0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,2,"rival",TRUE
"37",2022110604,3,2,6,23,33,"SHOTGUN","2x2",2.75,"12-15 min","local",0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,-3,"rival",FALSE
"38",2022103000,4,3,21,28,82,"EMPTY","3x2",15,"0-3 min","local",1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,-4,"JAX",TRUE
"39",2022103000,3,2,9,25,35,"SHOTGUN","2x2",14.3333333333333,"0-3 min","local",1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,3,"JAX",TRUE
"40",2022103000,4,1,10,44,54,"SINGLEBACK","3x1",9.55,"3-6 min","local",0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,-4,"rival",FALSE
"41",2022103000,2,1,10,33,43,"EMPTY","3x2",2.65,"12-15 min","local",1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,3,"JAX",TRUE
"42",2022103000,1,1,10,26,36,"SHOTGUN","2x2",9.13333333333333,"3-6 min","local",0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,"rival",FALSE
"43",2022101603,4,1,10,40,50,"SINGLEBACK","2x2",5.15,"9-12 min","visitante",0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,-5,"rival",FALSE
"44",2022100903,4,1,10,13,97,"SHOTGUN","3x1",0.683333333333333,"12-15 min","local",1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,-7,"JAX",TRUE
"45",2022100903,1,2,8,8,102,"SHOTGUN","3x1",1.61666666666667,"12-15 min","local",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"rival",TRUE
"46",2022102304,2,3,3,50,60,"SHOTGUN","2x2",0.2,"12-15 min","local",1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,-2,"centro",TRUE
"47",2022110604,1,2,10,30,40,"SHOTGUN","2x2",13.4333333333333,"0-3 min","local",1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,"JAX",FALSE
"48",2022091803,3,3,6,29,81,"SHOTGUN","3x1",13.85,"0-3 min","local",1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,17,"JAX",TRUE
"49",2022110604,3,1,11,11,21,"SHOTGUN","3x1",11,"3-6 min","local",1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,-10,"rival",TRUE
"50",2022103000,3,1,15,34,44,"EMPTY","3x2",0.466666666666667,"12-15 min","local",1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,-4,"JAX",TRUE
"51",2022100903,2,3,15,26,36,"SHOTGUN","3x1",0.266666666666667,"12-15 min","local",0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,-3,"rival",TRUE
"52",2022110604,4,3,3,30,40,"SHOTGUN","3x1",7.73333333333333,"6-9 min","local",1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,4,"JAX",TRUE
"53",2022100209,4,2,10,31,41,"SHOTGUN","2x2",12.2166666666667,"0-3 min","visitante",1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,-9,"JAX",TRUE
"54",2022102304,4,3,8,39,49,"SHOTGUN","3x1",15,"0-3 min","local",1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,4,"JAX",TRUE
"55",2022092509,3,1,10,25,85,"EMPTY","3x2",11.85,"3-6 min","visitante",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,"JAX",TRUE
"56",2022092509,2,2,8,26,84,"SHOTGUN","2x2",11.7166666666667,"3-6 min","visitante",1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,6,"rival",TRUE
"57",2022103000,3,3,1,48,62,"SHOTGUN","2x2",12.4333333333333,"0-3 min","local",0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,3,"rival",FALSE
"58",2022103000,2,1,10,39,71,"SHOTGUN","3x1",1.45,"12-15 min","local",1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,3,"rival",TRUE
"59",2022110604,3,2,8,46,56,"SHOTGUN","2x2",3.85,"9-12 min","local",1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,-3,"rival",TRUE
"60",2022100903,4,1,10,20,90,"EMPTY","3x2",10.35,"3-6 min","local",1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"JAX",TRUE
"61",2022091803,1,3,1,30,80,"PISTOL","2x2",5.71666666666667,"9-12 min","local",1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,"rival",FALSE
"62",2022100903,4,3,10,24,86,"SHOTGUN","2x2",0.216666666666667,"12-15 min","local",1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,-7,"JAX",TRUE
"63",2022100903,4,3,5,36,74,"SHOTGUN","2x2",14.35,"0-3 min","local",1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"JAX",TRUE
"64",2022101603,4,1,10,25,85,"SHOTGUN","3x1",0.183333333333333,"12-15 min","visitante",0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,-7,"JAX",TRUE
"65",2022100209,4,3,10,47,57,"EMPTY","3x2",8.11666666666667,"6-9 min","visitante",1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,-15,"JAX",TRUE
"67",2022092509,4,2,4,38,48,"SHOTGUN","3x1",13.5,"0-3 min","visitante",0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,21,"JAX",FALSE
"68",2022103000,4,2,8,42,52,"SHOTGUN","2x2",8.93333333333333,"6-9 min","local",1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,-4,"rival",TRUE
"69",2022091803,3,1,10,40,70,"SINGLEBACK","2x2",13.1833333333333,"0-3 min","local",1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,17,"JAX",FALSE
"70",2022101603,1,3,1,1,11,"SINGLEBACK","2x2",3.85,"9-12 min","visitante",0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,"rival",FALSE
"71",2022100903,4,2,10,24,86,"SHOTGUN","3x1",0.3,"12-15 min","local",1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,-7,"JAX",TRUE
"72",2022092509,3,1,10,41,69,"SHOTGUN","2x1",11.2666666666667,"3-6 min","visitante",1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,6,"JAX",TRUE
"73",2022110604,4,1,10,18,28,"SINGLEBACK","2x2",6.31666666666667,"6-9 min","local",0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,4,"JAX",FALSE
"74",2022101603,3,1,10,41,69,"SHOTGUN","3x1",2.56666666666667,"12-15 min","visitante",0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,2,"rival",TRUE
"75",2022100903,3,3,4,23,87,"SHOTGUN","3x1",11.4,"3-6 min","local",1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,"rival",TRUE
"76",2022103000,4,1,1,1,11,"SHOTGUN","2x2",4.58333333333333,"9-12 min","local",0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,-4,"rival",FALSE
"77",2022091109,2,2,4,44,66,"SINGLEBACK","3x1",7.26666666666667,"6-9 min","visitante",1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-11,"rival",FALSE
"78",2022103000,2,1,10,17,93,"SHOTGUN","3x1",14.4,"0-3 min","local",0,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,7,"rival",FALSE
"79",2022101603,1,2,3,3,13,"SHOTGUN","3x1",4.43333333333333,"9-12 min","visitante",0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,"rival",FALSE
"80",2022110604,4,3,1,5,105,"JUMBO","3x1",15,"0-3 min","local",0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,-3,"rival",FALSE
"81",2022100209,3,1,10,29,39,"SINGLEBACK","2x2",6.26666666666667,"6-9 min","visitante",1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,-6,"rival",FALSE
"82",2022092509,4,1,10,46,64,"SHOTGUN","3x1",10.1,"3-6 min","visitante",0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,21,"rival",FALSE
"83",2022092509,2,3,8,26,84,"SHOTGUN","3x1",11.65,"3-6 min","visitante",1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,6,"rival",TRUE
"84",2022101603,1,1,1,1,11,"WILDCAT","4x2",5.03333333333333,"9-12 min","visitante",0,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,"rival",FALSE
"85",2022101603,2,3,1,39,49,"SINGLEBACK","3x0",11.6,"3-6 min","visitante",0,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,4,"JAX",FALSE
"86",2022091803,2,1,10,21,89,"SINGLEBACK","3x1",11.5333333333333,"3-6 min","local",1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,7,"JAX",TRUE
"87",2022101603,1,1,10,15,95,"SHOTGUN","2x2",12.1833333333333,"0-3 min","visitante",0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,"JAX",TRUE
"88",2022092509,1,1,15,46,56,"SHOTGUN","3x1",3.11666666666667,"9-12 min","visitante",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"rival",TRUE
"89",2022092509,3,4,1,50,60,"SINGLEBACK","3x1",10.7833333333333,"3-6 min","visitante",0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,6,"centro",FALSE
"91",2022092509,2,2,5,30,40,"SHOTGUN","2x2",5.58333333333333,"9-12 min","visitante",1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,6,"JAX",FALSE
