"","gameId2022091106","gameId2022091806","gameId2022092505","gameId2022100211","gameId2022100905","gameId2022101601","gameId2022102400","gameId2022103007","gameId2022110605","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormationEMPTY","offenseFormationI_FORM","offenseFormationJUMBO","offenseFormationPISTOL","offenseFormationSHOTGUN","offenseFormationSINGLEBACK","offenseFormationWILDCAT","receiverAlignment1x1","receiverAlignment2x0","receiverAlignment2x1","receiverAlignment2x2","receiverAlignment3x1","receiverAlignment3x2","receiverAlignment4x1","gameClock_mod","timeCategory0.3.min","timeCategory12.15.min","timeCategory3.6.min","timeCategory6.9.min","timeCategory9.12.min","estadiolocal","estadiovisitante","nflId_42357","nflId_42587","nflId_42883","nflId_43324","nflId_44912","nflId_46092","nflId_47870","nflId_48097","nflId_52590","nflId_53444","nflId_54494","nflId_42363","nflId_53549","nflId_42437","nflId_41069","nflId_48541","nflId_47884","nflId_45185","nflId_33234","nflId_54592","nflId_34843","nflId_37213","nflId_54602","nflId_54515","nflId_48580","nflId_54648","nflId_53000","nflId_52488","diferencia","yardlineSide_modcentro","yardlineSide_modNE","yardlineSide_modrival","isDropback"
"1",0,0,1,0,0,0,0,0,0,0.75,0.666666666666667,0.2,0.653061224489796,0.673469387755102,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.379194630872483,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.291666666666667,0,1,0,1
"2",0,1,0,0,0,0,0,0,0,0,0,0.36,0.612244897959184,0.693877551020408,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.631991051454139,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.395833333333333,0,0,1,0
"3",0,0,0,0,0,0,0,1,0,0.5,0.333333333333333,0.12,0.816326530612245,0.408163265306122,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.602908277404922,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0.458333333333333,0,1,0,0
"4",0,0,0,1,0,0,0,0,0,0.5,0.333333333333333,0.16,0.897959183673469,0.551020408163265,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.496644295302013,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0.3125,0,0,1,0
"5",0,0,0,0,0,1,0,0,0,0.5,0.333333333333333,0.32,0.510204081632653,0.255102040816327,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.956375838926175,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.479166666666667,0,1,0,1
"6",0,1,0,0,0,0,0,0,0,0,0,0.36,0.326530612244898,0.836734693877551,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.54586129753915,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395833333333333,0,0,1,1
"7",0,0,0,0,0,0,0,1,0,0.5,0,0.36,0.530612244897959,0.73469387755102,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.950782997762864,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0.3125,0,0,1,1
"8",0,0,1,0,0,0,0,0,0,0.5,0.333333333333333,0.2,0.489795918367347,0.244897959183673,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.533557046979866,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,1,0,1
"9",0,0,0,0,1,0,0,0,0,0.5,0.333333333333333,0.2,0.714285714285714,0.357142857142857,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.865771812080537,1,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0.729166666666667,0,0,1,1
"10",0,0,0,0,0,1,0,0,0,0.75,0,0.36,0.224489795918367,0.112244897959184,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.658836689038031,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0.708333333333333,0,0,1,0
"11",0,0,0,0,0,0,1,0,0,0.25,0,0.36,0.775510204081633,0.612244897959184,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.105145413870246,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0.333333333333333,0,1,0,0
"12",0,0,1,0,0,0,0,0,0,0.5,0.333333333333333,0.24,0.551020408163265,0.275510204081633,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.271812080536913,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.229166666666667,0,1,0,1
"13",1,0,0,0,0,0,0,0,0,0.25,0.333333333333333,0.36,0.510204081632653,0.744897959183674,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.48993288590604,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1875,0,1,0,0
"14",0,0,0,0,0,0,0,1,0,0.25,0.666666666666667,0.04,0.428571428571429,0.214285714285714,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.156599552572707,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.25,0,0,1,0
"15",0,0,1,0,0,0,0,0,0,0.75,0.666666666666667,0.36,0.183673469387755,0.0918367346938776,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.610738255033557,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.291666666666667,0,0,1,1
