"gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormation","receiverAlignment","gameClock_mod","timeCategory","estadio","nflId_42471","nflId_42477","nflId_44908","nflId_46071","nflId_47789","nflId_48475","nflId_48489","nflId_52412","nflId_52551","nflId_54472","nflId_54577","nflId_43329","nflId_45186","nflId_54508","nflId_53449","nflId_46797","nflId_46309","nflId_54532","nflId_53727","nflId_47954","nflId_53625","nflId_53080","nflId_37255","nflId_44003","nflId_52514","nflId_53665","nflId_53047","nflId_46629","diferencia","yardlineSide_mod","truth","estimate","probabilidades"
2022100208,2,2,6,8,18,"SINGLEBACK","3x1",5.4,"9-12 min","local",1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,"rival",1,0,0.19954656410239
2022092600,2,1,10,20,90,"SINGLEBACK","2x2",2.5,"12-15 min","local",1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-3,"NYG",1,0,0.298594376537699
2022092600,1,3,10,29,81,"SHOTGUN","3x1",7.91666666666667,"6-9 min","local",1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"rival",1,1,0.960345107290246
2022101606,3,3,4,44,66,"SHOTGUN","3x1",7,"6-9 min","local",1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,-6,"NYG",1,1,0.887837431584411
2022102304,1,3,14,45,65,"EMPTY","3x2",4.43333333333333,"9-12 min","visitante",1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,-1,"NYG",1,1,0.998422788039239
2022102304,3,2,2,3,107,"SINGLEBACK","2x1",7.18333333333333,"6-9 min","visitante",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,-4,"rival",0,0,0.110539538197349
2022091108,1,3,20,30,40,"SHOTGUN","3x1",3.03333333333333,"9-12 min","visitante",1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-7,"NYG",1,1,0.993406195914171
2022100208,2,1,10,48,62,"SINGLEBACK","2x2",15,"0-3 min","local",1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"NYG",1,0,0.275790223263412
2022091805,4,1,10,35,45,"SINGLEBACK","2x2",10.1166666666667,"3-6 min","local",1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NYG",0,0,0.381401924557344
2022101606,4,3,4,31,41,"SHOTGUN","2x2",11.8666666666667,"3-6 min","local",1,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-10,"NYG",1,1,0.824744932553666
2022091805,3,1,10,15,95,"SINGLEBACK","2x2",6.65,"6-9 min","local",1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"NYG",1,0,0.107053318653538
2022103011,4,3,9,49,59,"SHOTGUN","2x1",15,"0-3 min","visitante",1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,-3,"NYG",1,1,0.6025165649861
