"gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormation","receiverAlignment","gameClock_mod","timeCategory","estadio","nflId_44814","nflId_46108","nflId_46161","nflId_46166","nflId_47849","nflId_52457","nflId_52543","nflId_53453","nflId_53484","nflId_53557","nflId_54517","nflId_47924","nflId_47876","nflId_48988","nflId_43487","nflId_46755","nflId_54905","nflId_46404","nflId_54673","nflId_54485","nflId_48051","diferencia","yardlineSide_mod","truth","estimate","probabilidades"
2022100901,2,1,10,27,83,"SHOTGUN","3x1",0.933333333333333,"12-15 min","visitante",0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,-28,"PIT",1,1,0.960069304533801
2022091103,1,1,10,34,76,"PISTOL","3x1",4.36666666666667,"9-12 min","visitante",1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,4,"rival",1,0,0.032056969764334
2022103008,4,2,10,45,55,"SHOTGUN","2x2",10.5833333333333,"3-6 min","visitante",0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,-22,"rival",0,1,0.61033502632684
2022102311,4,3,10,40,50,"SHOTGUN","3x1",6.16666666666667,"6-9 min","visitante",0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,-6,"PIT",1,1,0.996634385952491
2022101607,2,2,20,46,56,"SHOTGUN","2x2",5.56666666666667,"9-12 min","local",0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,"rival",1,1,0.957684196411872
2022091806,1,1,10,47,63,"SHOTGUN","2x2",3.83333333333333,"9-12 min","local",1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,-3,"PIT",0,1,0.941839392061957
2022091806,1,2,8,27,83,"SHOTGUN","3x1",14.35,"0-3 min","local",1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,"PIT",1,0,0.556564853897036
2022100901,3,3,15,29,81,"SHOTGUN","3x1",0.783333333333333,"12-15 min","visitante",0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,-28,"rival",1,1,0.929202898051623
2022100901,4,2,10,20,90,"SHOTGUN","2x2",6.35,"6-9 min","visitante",0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,-35,"PIT",1,1,0.856232406015379
2022102311,2,1,10,10,100,"SINGLEBACK","3x1",2.01666666666667,"12-15 min","visitante",0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,-10,"rival",0,0,0.184582250481457
