"gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","gameClock_mod","timeCategory","estadio","nflId_43290","nflId_43305","nflId_44930","nflId_46089","nflId_46130","nflId_47791","nflId_52443","nflId_52483","nflId_52529","nflId_53436","nflId_53541","nflId_44947","nflId_53959","nflId_48455","nflId_53739","nflId_43584","nflId_52574","nflId_45721","nflId_46679","nflId_48707","nflId_48680","nflId_46320","nflId_54642","nflId_54428","nflId_53941","nflId_55169","diferencia","yardlineSide_mod","truth","estimate","probabilidades"
2022091104,4,2,5,25,35,4.36666666666667,"9-12 min","local",1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,"rival",1,0,0.458411098380169
2022091802,2,1,3,3,13,6.78333333333333,"6-9 min","local",1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,15,"rival",1,0,0.470961962187714
2022100905,4,4,1,31,41,9.41666666666667,"3-6 min","visitante",1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,-26,"rival",0,1,0.817742968999846
2022091802,4,2,2,38,72,9.93333333333333,"3-6 min","local",1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,8,"DET",1,0,0.432597774583248
2022102303,4,2,5,48,62,0.966666666666667,"12-15 min","visitante",1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,-18,"DET",1,1,0.861256769117347
2022091802,2,3,10,20,90,0.366666666666667,"12-15 min","local",1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,22,"DET",1,1,0.912336727288607
2022110603,3,1,10,13,23,11.8666666666667,"3-6 min","local",1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,8,"DET",1,0,0.485483229069116
2022100205,2,2,10,48,62,15,"0-3 min","local",1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,-8,"rival",0,1,0.621847102485839
2022103003,2,2,6,29,81,10.95,"3-6 min","local",1,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,7,"DET",1,1,0.620230833856598
2022091104,4,2,5,33,77,7.75,"6-9 min","local",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,"DET",0,1,0.662925096819336
2022100205,4,1,10,25,85,2.23333333333333,"12-15 min","local",1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,-10,"DET",1,1,0.828234798271384
2022091802,4,1,10,40,50,1.91666666666667,"12-15 min","local",1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,9,"rival",0,0,0.528074332542111
2022091802,3,3,15,22,88,1.63333333333333,"12-15 min","local",1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7,"rival",1,1,0.90425454673528
