"gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","gameClock_mod","timeCategory","estadio","nflId_41292","nflId_41532","nflId_42344","nflId_42356","nflId_43336","nflId_44844","nflId_44879","nflId_45244","nflId_47831","nflId_52432","nflId_52513","nflId_48415","nflId_52942","nflId_53098","nflId_54476","nflId_52762","nflId_53932","nflId_37101","nflId_43525","nflId_46160","nflId_43383","nflId_52666","nflId_37110","nflId_44009","nflId_40129","nflId_53635","nflId_55125","nflId_46542","nflId_53515","nflId_42350","nflId_55133","nflId_43439","diferencia","yardlineSide_mod","truth","estimate","probabilidades"
2022091100,1,1,10,23,87,7.76666666666667,"6-9 min","visitante",1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,"NO",0,1,0.629306410561148
2022100906,3,1,10,21,89,2.76666666666667,"12-15 min","local",0,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,"NO",0,0,0.317258764292977
2022101605,3,3,8,27,83,14.2666666666667,"0-3 min","local",0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,6,"NO",1,1,0.751229868825116
2022100200,3,1,10,20,90,14.9166666666667,"0-3 min","local",0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,-6,"NO",1,0,0.409521941322107
2022103006,2,1,15,16,94,7.38333333333333,"6-9 min","local",0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,10,"rival",1,1,0.758401933877426
2022092500,3,1,10,38,48,5.1,"9-12 min","visitante",0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-13,"NO",0,0,0.374394070015433
2022102000,2,1,10,25,35,1.83333333333333,"12-15 min","visitante",0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,-6,"NO",1,1,0.772431097614377
2022092500,3,3,11,19,91,7.96666666666667,"6-9 min","visitante",0,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-13,"rival",1,1,0.929547978256213
2022092500,4,1,10,25,85,12.1,"0-3 min","visitante",0,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-12,"NO",1,1,0.700293225330602
2022092500,4,1,10,34,44,13.2166666666667,"0-3 min","visitante",0,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-13,"rival",1,1,0.837964076848946
2022091100,2,3,6,29,39,11.0333333333333,"3-6 min","visitante",1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,"NO",1,1,0.934668584277587
2022102000,1,1,10,39,71,9.66666666666667,"3-6 min","visitante",0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,4,"NO",0,0,0.318786583992916
2022102000,4,1,10,37,73,5.78333333333333,"9-12 min","visitante",0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,-18,"NO",1,1,0.891692021931904
2022092500,3,2,3,42,52,12.45,"0-3 min","visitante",0,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-13,"NO",0,0,0.406466420511287
2022091804,2,3,4,39,71,1.28333333333333,"12-15 min","local",1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"rival",1,1,0.942037725174081
2022091804,1,3,3,44,66,1.41666666666667,"12-15 min","local",0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"NO",0,1,0.834592748651656
2022091804,1,2,3,46,56,12.4,"0-3 min","local",0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rival",1,1,0.582323784130062
2022102000,4,3,15,35,45,0.9,"12-15 min","visitante",0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,-11,"rival",1,1,0.94368144659394
2022101605,3,2,1,46,56,1.66666666666667,"12-15 min","local",0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,2,"rival",1,0,0.424055539422141
