"gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","gameClock_mod","timeCategory","estadio","nflId_38557","nflId_41245","nflId_41295","nflId_43362","nflId_45268","nflId_46101","nflId_46155","nflId_47906","nflId_52500","nflId_53456","nflId_54490","nflId_54604","nflId_47852","nflId_43415","nflId_52609","nflId_42469","nflId_47896","nflId_48220","nflId_53560","nflId_54575","nflId_52463","nflId_42514","nflId_43295","nflId_52894","nflId_46437","nflId_33130","nflId_52721","diferencia","yardlineSide_mod","truth","estimate","probabilidades"
2022102300,3,3,5,5,15,8.41666666666667,"6-9 min","local",1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,3,"rival",1,1,0.902728313649751
2022102700,4,2,6,17,93,3.21666666666667,"9-12 min","visitante",1,0,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,8,"rival",0,1,0.539376371788705
2022091107,4,1,14,3,107,4.18333333333333,"9-12 min","visitante",1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,21,"BAL",1,1,0.699330731573603
2022100913,2,1,10,14,24,14.3333333333333,"0-3 min","local",1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,3,"rival",0,1,0.624398829997356
2022100202,4,1,10,48,58,15,"0-3 min","local",1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"BAL",1,1,0.580767484349212
2022102700,1,2,10,10,100,11.9,"3-6 min","visitante",1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"rival",1,1,0.796277574166761
2022102700,2,3,36,28,82,6.48333333333333,"6-9 min","visitante",1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,-7,"BAL",0,1,0.958237674419952
2022102300,1,2,6,48,62,5.63333333333333,"9-12 min","local",1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-7,"BAL",1,0,0.345457884781755
2022101606,3,2,7,47,63,0.6,"12-15 min","visitante",1,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,3,"rival",0,0,0.515751861102438
2022100202,1,1,4,4,106,14.1333333333333,"0-3 min","local",1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"rival",0,0,0.422282747684946
2022102700,4,2,3,38,72,10.1666666666667,"3-6 min","visitante",1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,4,"rival",0,0,0.374670419978596
2022092505,2,1,10,25,85,5.96666666666667,"9-12 min","visitante",1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-3,"BAL",0,1,0.574405649609136
2022091107,1,1,10,28,38,13.7,"0-3 min","visitante",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BAL",1,1,0.580649593691264
2022101606,2,3,8,38,72,10.05,"3-6 min","visitante",1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"rival",1,1,0.6469821152849
2022102300,2,3,11,19,29,6.75,"6-9 min","local",1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,-4,"BAL",1,1,0.903115384719598
2022102700,2,1,10,13,97,0.766666666666667,"12-15 min","visitante",1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,-7,"BAL",1,1,0.830837716011786
2022110700,2,3,9,45,65,12.1,"0-3 min","visitante",1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,7,"BAL",1,1,0.693756783923079
2022100913,3,3,6,6,16,1.96666666666667,"12-15 min","local",1,0,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3,"BAL",1,1,0.899228485747764
2022101606,2,1,10,25,35,3.51666666666667,"9-12 min","visitante",1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"BAL",1,1,0.743481958876012
2022091107,3,3,10,17,93,7.33333333333333,"6-9 min","visitante",1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7,"rival",1,1,0.863681759474967
2022091800,4,2,10,40,70,0.133333333333333,"12-15 min","local",1,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,-4,"BAL",1,1,0.726747291428853
2022091107,1,2,8,29,39,0.416666666666667,"12-15 min","visitante",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"BAL",0,1,0.570267608540621
2022100913,1,2,20,44,54,4.2,"9-12 min","local",1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,3,"BAL",1,1,0.755847016063198
2022100913,1,2,10,21,89,8.81666666666667,"6-9 min","local",1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,"rival",1,1,0.810709274411006
2022091107,3,2,9,36,46,12.9666666666667,"0-3 min","visitante",1,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,7,"BAL",1,1,0.721475940734066
2022092505,3,3,4,4,14,4.78333333333333,"9-12 min","visitante",1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,"rival",1,1,0.844706164630757
2022100202,2,3,18,37,47,4.75,"9-12 min","local",1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,14,"rival",1,1,0.915434106066643
2022102300,4,2,3,32,42,8.61666666666667,"6-9 min","local",1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,"BAL",0,0,0.123374991374401
2022101606,1,2,15,37,47,1.21666666666667,"12-15 min","visitante",1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,"rival",0,1,0.761983044126085
2022091107,4,1,10,15,95,14.05,"0-3 min","visitante",1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21,"BAL",0,1,0.565298092945397
2022100202,1,1,10,16,94,3.21666666666667,"9-12 min","local",1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,"rival",1,1,0.629495053276825
2022091800,2,1,10,34,76,6.76666666666667,"6-9 min","local",1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,7,"BAL",0,0,0.530776390918148
2022101606,1,1,10,36,74,3.55,"9-12 min","visitante",1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,"BAL",0,0,0.394738946024152
2022102700,2,1,10,33,43,3.16666666666667,"9-12 min","visitante",1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-7,"rival",1,1,0.850249235249363
2022100913,1,2,3,37,47,12.1,"0-3 min","local",1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,"BAL",0,0,0.228312459322979
2022102300,3,4,1,1,11,7.71666666666667,"6-9 min","local",1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3,"rival",0,0,0.107598341918396
2022091800,4,4,1,40,50,9.26666666666667,"3-6 min","local",1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,14,"rival",0,0,0.139410561797597
