"gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormation","receiverAlignment","gameClock_mod","timeCategory","estadio","nflId_40023","nflId_43454","nflId_46119","nflId_46192","nflId_46203","nflId_48233","nflId_52413","nflId_52426","nflId_52447","nflId_53435","nflId_53471","nflId_46111","nflId_46277","nflId_46671","nflId_53510","nflId_42718","nflId_45217","nflId_45900","nflId_47820","nflId_53861","nflId_54931","nflId_41258","nflId_53660","nflId_54712","nflId_43447","nflId_48017","nflId_54938","nflId_52922","nflId_46377","diferencia","yardlineSide_mod","truth","estimate","probabilidades"
2022091106,4,2,3,43,67,"I_FORM","2x1",9.03333333333333,"3-6 min","local",1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,"rival",1,1,0.531839869517925
2022092900,4,1,10,49,59,"SHOTGUN","3x1",1.38333333333333,"12-15 min","visitante",1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,-12,"MIA",1,1,0.828772344796032
2022103003,1,1,10,37,73,"I_FORM","2x1",12.3666666666667,"0-3 min","visitante",1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-7,"MIA",1,0,0.464556951178871
2022091106,4,3,3,29,81,"SHOTGUN","3x1",6.91666666666667,"6-9 min","local",0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,13,"rival",1,1,0.886526828191663
2022091800,3,1,10,48,58,"SINGLEBACK","3x1",13.1166666666667,"0-3 min","visitante",1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,-21,"rival",0,1,0.641709269831111
2022091106,3,2,6,32,42,"SINGLEBACK","2x2",1.11666666666667,"12-15 min","local",1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,"rival",1,1,0.889865840679251
2022092900,3,3,15,19,91,"SHOTGUN","2x1",13.7,"0-3 min","visitante",1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,-2,"MIA",1,1,0.92092148972409
2022092503,2,1,10,45,55,"SHOTGUN","3x1",10.1666666666667,"3-6 min","local",1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-7,"MIA",1,0,0.498542902567716
2022100907,4,1,15,20,90,"SHOTGUN","3x1",9.36666666666667,"3-6 min","visitante",0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,-9,"MIA",1,1,0.863097088252629
2022110601,4,4,1,14,24,"SINGLEBACK","3x2",7.91666666666667,"6-9 min","visitante",1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,3,"rival",1,0,0.495280156398151
