"gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","gameClock_mod","timeCategory","estadio","nflId_42471","nflId_42477","nflId_44908","nflId_46071","nflId_47789","nflId_48475","nflId_48489","nflId_52412","nflId_52551","nflId_54472","nflId_54577","nflId_43329","nflId_45186","nflId_54508","nflId_53449","nflId_46797","nflId_46309","nflId_54532","nflId_53727","nflId_47954","nflId_53625","nflId_53080","nflId_37255","nflId_44003","nflId_52514","nflId_53665","nflId_53047","nflId_46629","diferencia","yardlineSide_mod","truth","estimate","probabilidades"
2022100208,2,2,6,8,18,5.4,"9-12 min","local",1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,"rival",1,0,0.480350485827511
2022092600,2,1,10,20,90,2.5,"12-15 min","local",1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-3,"NYG",1,0,0.507467840380968
2022092600,1,3,10,29,81,7.91666666666667,"6-9 min","local",1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"rival",1,1,0.654364017952656
2022101606,3,3,4,44,66,7,"6-9 min","local",1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,-6,"NYG",1,1,0.708292366434973
2022102304,1,3,14,45,65,4.43333333333333,"9-12 min","visitante",1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,-1,"NYG",1,1,0.818042632463786
2022102304,3,2,2,3,107,7.18333333333333,"6-9 min","visitante",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,-4,"rival",0,0,0.348971754343409
2022091108,1,3,20,30,40,3.03333333333333,"9-12 min","visitante",1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-7,"NYG",1,1,0.782282448855415
2022100208,2,1,10,48,62,15,"0-3 min","local",1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"NYG",1,1,0.604930906055385
2022091805,4,1,10,35,45,10.1166666666667,"3-6 min","local",1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NYG",0,0,0.42188396400783
2022101606,4,3,4,31,41,11.8666666666667,"3-6 min","local",1,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-10,"NYG",1,1,0.685818781906018
2022091805,3,1,10,15,95,6.65,"6-9 min","local",1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"NYG",1,0,0.454319264394216
2022103011,4,3,9,49,59,15,"0-3 min","visitante",1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,-3,"NYG",1,1,0.55609587704905
2022101606,3,2,5,30,80,14.35,"0-3 min","local",1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-3,"NYG",1,1,0.569234987865694
2022100900,1,1,10,34,76,1.41666666666667,"12-15 min","visitante",1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-10,"rival",0,0,0.453897608905694
2022102304,3,2,5,40,70,9.6,"3-6 min","visitante",1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,-4,"rival",0,0,0.476386706964825
2022091108,1,1,10,40,50,4.5,"9-12 min","visitante",1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-7,"NYG",1,1,0.576837552312292
2022100208,4,1,10,21,89,12.0833333333333,"0-3 min","local",1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,5,"NYG",0,0,0.330283907819471
2022102304,4,2,3,43,67,3.61666666666667,"9-12 min","visitante",1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,3,"NYG",0,0,0.350400871354747
2022100208,4,3,2,22,88,14.3666666666667,"0-3 min","local",1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,5,"NYG",0,1,0.617804945012207
2022091805,4,2,10,35,45,14.8333333333333,"0-3 min","local",1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"NYG",1,1,0.605300178146755
2022102304,4,2,10,36,74,9.15,"3-6 min","visitante",1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,-4,"NYG",1,0,0.498623923097642
2022102304,1,1,10,32,78,6.63333333333333,"6-9 min","visitante",1,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-1,"NYG",0,1,0.599634057293135
2022103011,4,2,7,28,38,5.06666666666667,"9-12 min","visitante",1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,-14,"NYG",1,1,0.646363085228598
2022103011,4,2,8,39,71,13.6,"0-3 min","visitante",1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,-3,"rival",0,0,0.470953349882215
2022091108,4,2,5,10,100,1.38333333333333,"12-15 min","visitante",1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-7,"rival",0,0,0.455802301876044
2022101606,4,1,1,1,109,1.76666666666667,"12-15 min","local",1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,-3,"rival",0,0,0.484256570701398
2022092600,2,4,2,47,57,0.166666666666667,"12-15 min","local",1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-3,"rival",1,1,0.770088218829086
2022100208,1,3,9,26,36,13.9666666666667,"0-3 min","local",1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"NYG",1,1,0.771659200898978
2022102304,4,3,1,30,80,9.96666666666667,"3-6 min","visitante",1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,-4,"NYG",0,0,0.505596765252913
2022091805,1,2,8,20,90,14.2166666666667,"0-3 min","local",1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rival",1,0,0.449327822089499
2022101606,4,1,10,36,74,10.1666666666667,"3-6 min","local",1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-10,"rival",0,1,0.568987207083453
2022092600,4,1,10,32,42,4.56666666666667,"9-12 min","local",1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-10,"rival",1,1,0.660859245984658
2022092600,2,1,10,41,51,13.7833333333333,"0-3 min","local",1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-3,"rival",0,1,0.598138285762768
2022092600,4,2,15,16,94,1.28333333333333,"12-15 min","local",1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-7,"NYG",1,1,0.718018452236997
2022100208,2,1,10,25,85,9.53333333333333,"3-6 min","local",1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,"NYG",0,0,0.503103208421412
2022100208,4,1,10,43,53,8.4,"6-9 min","local",1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,5,"rival",0,0,0.388278399069953
2022092600,3,2,6,29,39,14.3666666666667,"0-3 min","local",1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-3,"NYG",1,1,0.566936379484217
2022102304,2,2,8,45,65,1.15,"12-15 min","visitante",1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,-1,"rival",1,1,0.596046391732695
2022091108,4,4,1,17,93,2,"12-15 min","visitante",1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,-7,"rival",1,0,0.389084731937444
2022100208,4,1,10,36,74,10.3333333333333,"3-6 min","local",1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,5,"NYG",0,1,0.599907205301031
2022100208,4,1,10,3,107,3.06666666666667,"9-12 min","local",1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,8,"NYG",0,0,0.33105777634558
2022101606,3,2,8,47,57,5.78333333333333,"9-12 min","local",1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-6,"rival",0,1,0.599740419418257
2022103011,1,1,10,28,38,12.6833333333333,"0-3 min","visitante",1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,"NYG",1,1,0.555942546487857
2022102304,3,2,7,49,61,2.91666666666667,"12-15 min","visitante",1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,-4,"rival",1,0,0.457249944251353
2022101606,2,1,10,49,61,0.133333333333333,"12-15 min","local",1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,-3,"NYG",1,1,0.61036364362105
2022091805,3,2,8,31,79,5.11666666666667,"9-12 min","local",1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"NYG",1,1,0.599699016303337
2022100208,2,1,10,18,92,1.66666666666667,"12-15 min","local",1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,"NYG",0,1,0.606334103600743
2022091805,4,2,6,40,50,1.9,"12-15 min","local",1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,"NYG",0,0,0.360728755442463
2022091108,2,1,10,9,101,0.983333333333333,"12-15 min","visitante",1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-13,"NYG",0,1,0.605579213792249
2022091805,1,2,2,2,108,4.03333333333333,"9-12 min","local",1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"rival",0,0,0.453900935176627
2022092600,2,2,9,21,89,2,"12-15 min","local",1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-3,"NYG",0,0,0.501926857000014
2022091108,2,2,6,29,81,12.1333333333333,"0-3 min","visitante",1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-10,"NYG",0,0,0.497969231677792
2022092600,1,2,2,49,61,8.58333333333333,"6-9 min","local",1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"rival",1,1,0.619043413788554
2022103011,3,3,7,13,23,6.21666666666667,"6-9 min","visitante",1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,-3,"rival",1,1,0.725628880086518
2022091805,2,3,6,15,95,5.58333333333333,"9-12 min","local",1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,"NYG",1,1,0.760514715872111
