"gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormation","receiverAlignment","gameClock_mod","timeCategory","estadio","nflId_43290","nflId_43305","nflId_44930","nflId_46089","nflId_46130","nflId_47791","nflId_52443","nflId_52483","nflId_52529","nflId_53436","nflId_53541","nflId_44947","nflId_53959","nflId_48455","nflId_53739","nflId_43584","nflId_52574","nflId_45721","nflId_46679","nflId_48707","nflId_48680","nflId_46320","nflId_54642","nflId_54428","nflId_53941","nflId_55169","diferencia","yardlineSide_mod","truth","estimate","probabilidades"
2022091104,4,2,5,25,35,"EMPTY","3x2",4.36666666666667,"9-12 min","local",1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,"rival",1,0,0.524176723781161
2022091802,2,1,3,3,13,"SINGLEBACK","2x2",6.78333333333333,"6-9 min","local",1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,15,"rival",1,0,0.517136493580703
2022100905,4,4,1,31,41,"SINGLEBACK","3x1",9.41666666666667,"3-6 min","visitante",1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,-26,"rival",0,1,0.681559326699764
2022091802,4,2,2,38,72,"I_FORM","1x1",9.93333333333333,"3-6 min","local",1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,8,"DET",1,0,0.432060175635496
2022102303,4,2,5,48,62,"SHOTGUN","2x2",0.966666666666667,"12-15 min","visitante",1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,-18,"DET",1,1,0.73832881872355
2022091802,2,3,10,20,90,"SHOTGUN","3x1",0.366666666666667,"12-15 min","local",1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,22,"DET",1,1,0.792528303010401
2022110603,3,1,10,13,23,"SINGLEBACK","2x2",11.8666666666667,"3-6 min","local",1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,8,"DET",1,0,0.568925746369131
2022100205,2,2,10,48,62,"SINGLEBACK","2x2",15,"0-3 min","local",1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,-8,"rival",0,1,0.614778880360721
2022103003,2,2,6,29,81,"SHOTGUN","2x2",10.95,"3-6 min","local",1,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,7,"DET",1,1,0.569046604659131
2022091104,4,2,5,33,77,"SINGLEBACK","2x2",7.75,"6-9 min","local",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,"DET",0,1,0.65752330629786
