"gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","gameClock_mod","timeCategory","estadio","nflId_35443","nflId_42428","nflId_43821","nflId_46078","nflId_47819","nflId_52433","nflId_52625","nflId_53432","nflId_53477","nflId_53623","nflId_54599","nflId_52598","nflId_40078","nflId_46256","nflId_46331","nflId_46377","nflId_46998","nflId_54558","nflId_54570","nflId_41291","nflId_52561","nflId_44959","nflId_55113","nflId_53584","nflId_42416","nflId_45069","nflId_48485","nflId_54652","nflId_54727","nflId_41500","nflId_44820","nflId_55112","diferencia","yardlineSide_mod","truth","estimate","probabilidades"
2022101600,2,2,9,14,24,7.21666666666667,"6-9 min","visitante",0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,-7,"rival",1,1,0.424283111896319
2022103010,2,1,5,38,72,5.28333333333333,"9-12 min","visitante",1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,-7,"rival",1,1,0.57908525486128
2022091808,1,2,6,34,44,12.6666666666667,"0-3 min","local",1,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rival",1,0,0.0806692295251315
2022100910,2,1,10,21,89,15,"0-3 min","visitante",0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,7,"rival",0,1,0.856334203021124
2022103010,2,3,12,12,98,1.11666666666667,"12-15 min","visitante",1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,-7,"rival",1,1,0.918872381478968
2022101600,2,1,10,32,42,9.26666666666667,"3-6 min","visitante",0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,-7,"rival",1,1,0.840801629019317
2022091808,2,1,10,38,48,13.5,"0-3 min","local",1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,"SF",0,1,0.586155534410861
2022091808,4,2,6,32,42,4.95,"9-12 min","local",1,0,1,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,"rival",0,0,0.0113875544302576
2022100300,1,3,9,41,69,5.58333333333333,"9-12 min","local",0,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,-3,"SF",1,1,0.990817777335643
2022091102,4,3,2,30,40,5.4,"9-12 min","visitante",1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,"SF",1,1,0.773530583295898
2022100910,1,2,9,50,60,12.5333333333333,"0-3 min","visitante",0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,"centro",0,0,0.196729300724144
2022100300,3,1,10,27,83,4.28333333333333,"9-12 min","local",0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,5,"SF",1,0,0.335334755613015
2022102310,2,3,3,5,105,1.56666666666667,"12-15 min","local",1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-1,"rival",1,1,0.86997331956516
2022092513,2,3,9,4,14,1.76666666666667,"12-15 min","visitante",1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,"SF",1,1,0.931034188950555
2022091102,3,2,2,2,12,9.93333333333333,"3-6 min","visitante",1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,"rival",0,0,0.0917398523346687
2022091808,3,1,10,38,72,11.75,"3-6 min","local",1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,"rival",0,1,0.677887531911714
2022100300,2,1,10,36,46,4.41666666666667,"9-12 min","local",0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,"SF",0,0,0.163211586720244
2022103010,1,2,9,43,53,9.85,"3-6 min","visitante",1,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"rival",1,1,0.911191677819137
2022100300,2,3,10,22,32,11.7,"3-6 min","local",0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,4,"SF",1,1,0.977056866535209
2022103010,3,1,10,25,85,15,"0-3 min","visitante",1,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-4,"SF",0,1,0.592336530945967
2022091102,3,3,9,33,77,2.51666666666667,"12-15 min","visitante",1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"SF",1,1,0.982904452029865
2022100300,1,2,9,41,69,5.61666666666667,"9-12 min","local",0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,-3,"SF",1,0,0.401996398807134
2022091808,3,2,11,24,34,4.7,"9-12 min","local",1,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,"SF",1,0,0.39796323818492
2022101600,2,2,1,34,76,0.7,"12-15 min","visitante",0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,-7,"SF",1,0,0.303327577254701
2022100300,4,2,11,15,25,1.73333333333333,"12-15 min","local",0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,15,"SF",0,0,0.19847683192425
2022091808,4,1,10,45,65,14,"0-3 min","local",1,0,1,1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13,"SF",0,0,0.0614915509009516
