"gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","gameClock_mod","timeCategory","estadio","nflId_39987","nflId_41310","nflId_42412","nflId_43537","nflId_46096","nflId_46189","nflId_47803","nflId_47847","nflId_47907","nflId_54474","nflId_54537","nflId_40026","nflId_47987","nflId_52541","nflId_53485","nflId_54698","nflId_52552","nflId_52477","nflId_54506","nflId_48119","nflId_54006","nflId_45056","nflId_54023","nflId_53637","diferencia","yardlineSide_mod","truth","estimate","probabilidades"
2022101609,2,2,7,23,87,14.4,"0-3 min","local",1,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,"SEA",1,1,0.597290365176905
2022103011,2,2,7,28,38,5.23333333333333,"9-12 min","local",1,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,"SEA",1,1,0.739785666996268
2022103011,3,1,10,38,48,5.06666666666667,"9-12 min","local",1,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,"SEA",1,1,0.791499792107256
2022101609,1,2,6,15,95,7.51666666666667,"6-9 min","local",1,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,-3,"rival",1,1,0.62802595481986
2022100205,3,1,10,45,55,3.58333333333333,"9-12 min","visitante",1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,8,"rival",1,1,0.71386241189838
2022102309,4,1,10,50,60,11.4666666666667,"3-6 min","visitante",1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,11,"centro",0,0,0.0608059155229797
2022102309,4,2,8,32,78,10.1166666666667,"3-6 min","visitante",1,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,11,"rival",1,1,0.796010576829995
2022100906,2,2,10,15,25,1.91666666666667,"12-15 min","visitante",1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,-7,"rival",0,1,0.749251526028142
2022101609,2,1,10,46,56,0.516666666666667,"12-15 min","local",1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,3,"rival",1,1,0.7829995138734
2022102309,1,1,10,46,56,10.6166666666667,"3-6 min","visitante",1,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,"rival",0,0,0.33372055330228
2022103011,2,4,2,6,104,12.7,"0-3 min","local",1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,"rival",1,1,0.780729003504438
2022110608,1,3,6,31,41,11,"3-6 min","visitante",1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,"rival",1,1,0.937164619500897
2022110608,4,3,2,13,23,8.11666666666667,"6-9 min","visitante",1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,3,"rival",0,1,0.660796681309849
2022092511,3,3,1,34,76,9.28333333333333,"3-6 min","local",1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"SEA",0,0,0.478597912710471
2022100906,4,1,10,50,60,14.9166666666667,"0-3 min","visitante",1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,-12,"centro",1,1,0.681247599413311
2022103011,4,1,10,20,90,7.55,"6-9 min","local",1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,7,"SEA",0,0,0.48314015792899
2022100205,2,2,14,44,66,5.71666666666667,"9-12 min","visitante",1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,8,"SEA",1,1,0.88031377620507
2022100205,2,1,10,40,70,13.1166666666667,"0-3 min","visitante",1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,5,"SEA",0,0,0.497230134128262
2022102309,2,1,10,36,46,8.28333333333333,"6-9 min","visitante",1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,3,"SEA",0,1,0.612220541683722
2022092511,1,3,1,49,59,5.5,"9-12 min","local",1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,-4,"SEA",1,0,0.236317902637208
2022103011,2,1,10,25,35,5.85,"9-12 min","local",1,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,"SEA",0,0,0.45686699600944
2022092511,3,1,15,20,30,4.46666666666667,"9-12 min","local",1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"rival",1,1,0.871682654177032
2022092511,2,1,10,20,30,0.75,"12-15 min","local",1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,"rival",1,1,0.796356617491291
2022092511,2,1,10,33,77,15,"0-3 min","local",1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,"SEA",1,0,0.506816319177895
2022091200,1,3,2,38,72,11.6166666666667,"3-6 min","local",1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"rival",1,1,0.664124159984629
2022103011,4,3,7,33,77,2,"12-15 min","local",1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,14,"SEA",0,1,0.806980592728603
2022102309,1,1,10,16,26,8.4,"6-9 min","visitante",1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,"rival",0,1,0.623599458061563
2022101609,3,3,13,22,32,14.3,"0-3 min","local",1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,6,"SEA",1,1,0.965867924186374
2022103011,3,2,5,36,74,3.6,"9-12 min","local",1,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,"rival",0,1,0.819290133327863
2022100205,3,2,11,27,37,9.1,"3-6 min","visitante",1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,16,"rival",0,1,0.637892152809908
2022103011,4,2,4,42,68,10.2,"3-6 min","local",1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,"SEA",1,1,0.655334238971762
2022102309,1,2,1,34,44,5,"9-12 min","visitante",1,0,0,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,7,"rival",0,0,0.177003005544718
2022103011,1,2,9,27,83,9.73333333333333,"3-6 min","local",1,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,"SEA",1,1,0.778584816720325
2022100906,2,1,10,15,25,2,"12-15 min","visitante",1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,-7,"rival",1,1,0.62393831982577
2022100205,3,3,16,36,46,0.666666666666667,"12-15 min","visitante",1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,8,"rival",0,1,0.967672003956349
2022102309,1,2,20,33,77,11.4166666666667,"3-6 min","visitante",1,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,"SEA",1,1,0.79043158119541
2022091200,1,2,8,28,82,5.55,"9-12 min","local",1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,4,"rival",0,0,0.275924993562795
2022102309,2,1,10,25,35,9.61666666666667,"3-6 min","visitante",1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,3,"SEA",0,0,0.381123245320587
2022102309,3,1,10,36,46,5.66666666666667,"9-12 min","visitante",1,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,10,"rival",0,0,0.495238659121442
