"gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormation","receiverAlignment","gameClock_mod","timeCategory","estadio","nflId_38632","nflId_40488","nflId_44853","nflId_45094","nflId_46131","nflId_47801","nflId_52430","nflId_52466","nflId_52584","nflId_53452","nflId_54524","nflId_47833","nflId_52725","nflId_43971","nflId_47885","nflId_52611","nflId_52429","nflId_54656","nflId_47976","nflId_45281","nflId_47791","nflId_46370","diferencia","yardlineSide_mod","truth","estimate","probabilidades"
2022101604,2,1,10,39,49,"I_FORM","2x1",5.71666666666667,"9-12 min","visitante",1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,-3,"MIN",1,0,0.498261872795605
2022110607,4,1,10,40,70,"SHOTGUN","2x2",5.11666666666667,"9-12 min","visitante",1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,"rival",1,1,0.581064734334237
2022100200,3,3,9,16,26,"SHOTGUN","3x1",12.25,"0-3 min","visitante",1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,6,"MIN",1,1,0.927269385384434
2022092504,4,1,10,28,82,"SHOTGUN","3x1",0.833333333333333,"12-15 min","local",1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,-3,"rival",1,1,0.834000697883795
2022091112,4,3,7,41,51,"EMPTY","3x2",10.7,"3-6 min","local",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,13,"MIN",1,1,0.564144222749661
2022110607,3,2,10,42,68,"SHOTGUN","3x1",12.4833333333333,"0-3 min","visitante",1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,-3,"MIN",0,1,0.74602358701724
2022100200,3,2,9,16,26,"SHOTGUN","3x1",12.3333333333333,"0-3 min","visitante",1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,6,"MIN",1,1,0.738228869927266
2022091112,1,1,10,27,37,"I_FORM","2x1",0.5,"12-15 min","local",1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,7,"MIN",0,1,0.81445506299788
2022103005,1,1,10,37,47,"SINGLEBACK","3x1",13.2833333333333,"0-3 min","local",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"MIN",0,0,0.361708092350615
2022092504,4,1,9,9,101,"SINGLEBACK","2x2",8.55,"6-9 min","local",1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,-10,"rival",1,0,0.472762260928884
2022110607,2,3,7,47,63,"SHOTGUN","3x1",8.5,"6-9 min","visitante",1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,7,"MIN",1,1,0.881773612539459
2022092504,3,2,4,41,69,"SINGLEBACK","3x1",7.3,"6-9 min","local",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-3,"MIN",0,0,0.464626537787976
2022091901,2,2,11,39,71,"SHOTGUN","2x2",11.85,"3-6 min","visitante",1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,-14,"rival",0,1,0.816221401523585
2022110607,1,2,11,21,31,"EMPTY","3x2",14.3666666666667,"0-3 min","visitante",1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,"MIN",1,1,0.723749892898987
2022091112,2,1,10,1,109,"I_FORM","2x1",7.96666666666667,"6-9 min","local",1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,7,"MIN",0,0,0.278681279704444
2022091901,3,1,10,30,80,"SHOTGUN","2x2",11.35,"3-6 min","visitante",1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,-17,"rival",1,1,0.635281872930172
2022100200,1,3,9,40,70,"SHOTGUN","3x1",3.25,"9-12 min","visitante",1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,7,"rival",1,1,0.927466455580744
2022103005,3,3,5,41,69,"EMPTY","3x2",8.08333333333333,"6-9 min","local",1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-3,"MIN",1,1,0.930620813894219
2022100200,2,1,10,44,66,"I_FORM","2x1",3.7,"9-12 min","visitante",1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,"MIN",1,1,0.581504463773868
2022091112,3,1,10,33,43,"I_FORM","2x1",12.1,"0-3 min","local",1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,17,"rival",0,0,0.43830293394594
2022110607,4,3,13,15,95,"SHOTGUN","2x2",11.35,"3-6 min","visitante",1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,-10,"rival",1,1,0.882633842636514
2022101604,1,2,10,20,90,"SINGLEBACK","2x2",0.266666666666667,"12-15 min","visitante",1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"MIN",1,1,0.634764574467772
2022092504,1,1,10,19,91,"SINGLEBACK","3x1",6.66666666666667,"6-9 min","local",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-7,"MIN",0,0,0.501214043754445
2022091112,2,1,10,13,23,"SHOTGUN","2x2",5.45,"9-12 min","local",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,7,"rival",1,0,0.364846265277198
2022100904,1,1,10,37,73,"SINGLEBACK","2x2",4.9,"9-12 min","local",1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,4,"MIN",1,0,0.456323151261896
2022092504,4,1,10,43,53,"SINGLEBACK","2x2",10.65,"3-6 min","local",1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,-10,"MIN",1,1,0.596835416298631
2022110607,2,1,10,25,85,"SHOTGUN","2x2",0.616666666666667,"12-15 min","visitante",1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,4,"MIN",1,1,0.73999852714599
2022103005,3,1,10,25,85,"SINGLEBACK","2x2",12.15,"0-3 min","local",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4,"MIN",0,1,0.591037568198292
2022091901,2,1,10,37,47,"SHOTGUN","3x1",1.73333333333333,"12-15 min","visitante",1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-14,"MIN",1,1,0.67882140512805
2022110607,3,2,10,25,85,"SINGLEBACK","2x2",13.9166666666667,"0-3 min","visitante",1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,-3,"MIN",0,1,0.726093788508833
2022103005,4,3,2,5,105,"SHOTGUN","3x1",8.68333333333333,"6-9 min","local",1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,2,"rival",1,1,0.866830974257153
2022103005,1,2,10,49,59,"SHOTGUN","2x2",11.85,"3-6 min","local",1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,"MIN",1,1,0.795851955653331
2022092504,2,1,10,40,50,"SINGLEBACK","3x1",12.5333333333333,"0-3 min","local",1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,-14,"MIN",0,1,0.603040146557776
2022110607,4,2,10,12,98,"SHOTGUN","3x1",7.86666666666667,"6-9 min","visitante",1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,-7,"rival",1,1,0.695834678606857
2022091901,3,1,10,44,66,"SINGLEBACK","3x1",11.8833333333333,"3-6 min","visitante",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-17,"rival",1,1,0.732872825110729
2022092504,4,1,10,30,40,"SINGLEBACK","2x2",3.5,"9-12 min","local",1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,-3,"MIN",1,0,0.29322325250341
2022100200,1,1,10,42,68,"I_FORM","2x1",12.5666666666667,"0-3 min","visitante",1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,"rival",0,1,0.619865940050997
2022101604,3,3,10,49,59,"SHOTGUN","3x1",6.46666666666667,"6-9 min","visitante",1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,7,"rival",1,1,0.910583818097334
2022092504,4,1,10,45,55,"SINGLEBACK","3x1",3.38333333333333,"9-12 min","local",1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,-3,"MIN",1,0,0.406730971790582
2022100904,4,3,1,44,54,"SINGLEBACK","3x1",7.6,"6-9 min","local",1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,-1,"MIN",0,0,0.380862051699359
2022101604,2,1,10,25,35,"SINGLEBACK","2x2",6.08333333333333,"6-9 min","visitante",1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,-3,"MIN",1,1,0.573302933009884
2022101604,3,1,10,27,83,"SHOTGUN","2x1",3.36666666666667,"9-12 min","visitante",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,7,"MIN",1,0,0.276883615924478
2022101604,1,3,9,7,103,"SHOTGUN","3x1",6.63333333333333,"6-9 min","visitante",1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"MIN",1,1,0.870347890295334
2022103005,1,1,10,46,64,"SHOTGUN","3x1",4.6,"9-12 min","local",1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,4,"rival",1,0,0.462347479039414
2022103005,1,1,10,23,87,"I_FORM","2x1",11.1166666666667,"3-6 min","local",1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,"rival",0,1,0.608241796542745
2022110607,4,3,4,4,106,"SHOTGUN","3x1",2,"12-15 min","visitante",1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,"rival",1,1,0.795847208582652
2022092504,2,1,10,49,61,"SHOTGUN","2x2",4.96666666666667,"9-12 min","local",1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,-7,"rival",1,1,0.571581615492046
2022092504,2,4,6,45,65,"SHOTGUN","3x1",3.56666666666667,"9-12 min","local",1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-7,"rival",1,1,0.92143057207168
2022101604,3,1,10,33,43,"SHOTGUN","2x2",13.3833333333333,"0-3 min","visitante",1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,7,"rival",1,0,0.396935432591894
2022103005,2,3,3,23,87,"SHOTGUN","3x1",3.91666666666667,"9-12 min","local",1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,11,"MIN",1,1,0.912754905695045
