"gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormation","receiverAlignment","gameClock_mod","timeCategory","estadio","nflId_41292","nflId_41532","nflId_42344","nflId_42356","nflId_43336","nflId_44844","nflId_44879","nflId_45244","nflId_47831","nflId_52432","nflId_52513","nflId_48415","nflId_52942","nflId_53098","nflId_54476","nflId_52762","nflId_53932","nflId_37101","nflId_43525","nflId_46160","nflId_43383","nflId_52666","nflId_37110","nflId_44009","nflId_40129","nflId_53635","nflId_55125","nflId_46542","nflId_53515","nflId_42350","nflId_55133","nflId_43439","diferencia","yardlineSide_mod","truth","estimate","probabilidades"
2022091100,1,1,10,23,87,"SINGLEBACK","3x1",7.76666666666667,"6-9 min","visitante",1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,"NO",0,1,0.62964204368954
2022100906,3,1,10,21,89,"PISTOL","3x1",2.76666666666667,"12-15 min","local",0,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,"NO",0,0,0.319961992455856
2022101605,3,3,8,27,83,"SHOTGUN","2x2",14.2666666666667,"0-3 min","local",0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,6,"NO",1,1,0.740655146842799
2022100200,3,1,10,20,90,"SINGLEBACK","2x2",14.9166666666667,"0-3 min","local",0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,-6,"NO",1,0,0.41916964945771
2022103006,2,1,15,16,94,"SHOTGUN","3x1",7.38333333333333,"6-9 min","local",0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,10,"rival",1,1,0.767665582271629
2022092500,3,1,10,38,48,"I_FORM","2x1",5.1,"9-12 min","visitante",0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-13,"NO",0,0,0.375265821897518
2022102000,2,1,10,25,35,"SHOTGUN","2x2",1.83333333333333,"12-15 min","visitante",0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,-6,"NO",1,1,0.773857643504404
2022092500,3,3,11,19,91,"SHOTGUN","3x1",7.96666666666667,"6-9 min","visitante",0,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-13,"rival",1,1,0.924306423211737
2022092500,4,1,10,25,85,"SHOTGUN","3x1",12.1,"0-3 min","visitante",0,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-12,"NO",1,1,0.699015532642586
2022092500,4,1,10,34,44,"SHOTGUN","3x1",13.2166666666667,"0-3 min","visitante",0,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-13,"rival",1,1,0.83908572751664
2022091100,2,3,6,29,39,"SHOTGUN","3x1",11.0333333333333,"3-6 min","visitante",1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,"NO",1,1,0.934805208807068
2022102000,1,1,10,39,71,"SINGLEBACK","2x2",9.66666666666667,"3-6 min","visitante",0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,4,"NO",0,0,0.324376985415965
