"gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormation","receiverAlignment","gameClock_mod","timeCategory","estadio","nflId_38696","nflId_42348","nflId_44835","nflId_44846","nflId_44849","nflId_46116","nflId_47818","nflId_52524","nflId_52733","nflId_53430","nflId_54530","nflId_42302","nflId_52708","nflId_53454","nflId_45785","nflId_44978","nflId_53643","nflId_53574","nflId_53707","nflId_53474","nflId_41665","nflId_44916","nflId_54619","diferencia","yardlineSide_mod","truth","estimate","probabilidades"
2022110604,1,3,5,26,84,"EMPTY","3x2",10.35,"3-6 min","local",1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,"rival",0,1,0.830233905195869
2022091803,2,2,11,15,95,"SHOTGUN","2x2",14.4,"0-3 min","local",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,"JAX",0,1,0.966402135407338
2022091109,2,1,9,9,101,"SHOTGUN","3x1",5.83333333333333,"9-12 min","visitante",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-11,"rival",1,1,0.852258442870787
2022091109,2,1,10,50,60,"EMPTY","3x2",7.9,"6-9 min","visitante",1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,-11,"centro",1,1,0.821511570972179
2022102304,1,1,10,36,74,"SHOTGUN","2x2",2.96666666666667,"12-15 min","local",1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,"rival",0,1,0.912849250043163
2022110604,3,2,6,23,33,"SHOTGUN","2x2",2.75,"12-15 min","local",0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,-3,"rival",0,0,0.230223660357672
2022100903,4,1,10,13,97,"SHOTGUN","3x1",0.683333333333333,"12-15 min","local",1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,-7,"JAX",1,1,0.986033151904864
2022100903,1,2,8,8,102,"SHOTGUN","3x1",1.61666666666667,"12-15 min","local",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"rival",1,1,0.934876408685992
2022091803,3,3,6,29,81,"SHOTGUN","3x1",13.85,"0-3 min","local",1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,17,"JAX",1,1,0.955467759221641
2022103000,3,1,15,34,44,"EMPTY","3x2",0.466666666666667,"12-15 min","local",1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,-4,"JAX",1,1,0.990425653650852
2022100209,4,2,10,31,41,"SHOTGUN","2x2",12.2166666666667,"0-3 min","visitante",1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,-9,"JAX",1,1,0.914085280970598
2022100903,4,1,10,20,90,"EMPTY","3x2",10.35,"3-6 min","local",1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"JAX",1,1,0.655602628840202
2022100209,4,3,10,47,57,"EMPTY","3x2",8.11666666666667,"6-9 min","visitante",1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,-15,"JAX",1,1,0.931789727401961
2022101603,1,3,1,1,11,"SINGLEBACK","2x2",3.85,"9-12 min","visitante",0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,"rival",0,0,0.202793072000964
2022100903,4,2,10,24,86,"SHOTGUN","3x1",0.3,"12-15 min","local",1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,-7,"JAX",1,1,0.993590082125885
2022092509,3,1,10,41,69,"SHOTGUN","2x1",11.2666666666667,"3-6 min","visitante",1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,6,"JAX",1,1,0.834641502716776
2022100209,3,1,10,29,39,"SINGLEBACK","2x2",6.26666666666667,"6-9 min","visitante",1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,-6,"rival",0,1,0.659470081514303
2022092509,2,3,8,26,84,"SHOTGUN","3x1",11.65,"3-6 min","visitante",1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,6,"rival",1,1,0.90155642537715
2022101603,1,1,1,1,11,"WILDCAT","4x2",5.03333333333333,"9-12 min","visitante",0,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,"rival",0,0,0.0248892756347925
2022101603,1,1,10,15,95,"SHOTGUN","2x2",12.1833333333333,"0-3 min","visitante",0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,"JAX",1,0,0.180493295386049
2022091109,1,3,12,15,25,"SHOTGUN","2x1",12.0666666666667,"0-3 min","visitante",1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"rival",1,1,0.962073976796199
2022092509,1,3,2,45,55,"SHOTGUN","3x1",4.18333333333333,"9-12 min","visitante",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"rival",1,0,0.539095079181368
2022102304,1,2,3,29,81,"SHOTGUN","2x2",2.58333333333333,"12-15 min","local",1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,"rival",0,0,0.357672639453679
2022091803,4,2,9,10,20,"SINGLEBACK","3x1",5.53333333333333,"9-12 min","local",1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,24,"JAX",0,0,0.304901870252073
2022110604,2,1,10,44,54,"SHOTGUN","2x2",0.433333333333333,"12-15 min","local",1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,-13,"rival",1,1,0.954200915748083
2022100903,4,2,10,20,90,"EMPTY","3x2",10.2833333333333,"3-6 min","local",1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"JAX",1,1,0.767064548686732
2022103000,4,1,10,47,57,"SHOTGUN","2x2",7.1,"6-9 min","local",1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,-4,"rival",1,1,0.667491365254449
2022091803,3,1,10,25,85,"SINGLEBACK","2x2",15,"0-3 min","local",0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,17,"JAX",0,0,0.270901512705568
2022100209,4,1,10,20,30,"SHOTGUN","3x1",13.6,"0-3 min","visitante",1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,-9,"JAX",0,1,0.712109891394952
2022091109,4,1,10,45,65,"I_FORM","2x1",14.3166666666667,"0-3 min","visitante",1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,-2,"rival",0,0,0.347702983602849
2022101603,1,1,10,20,30,"PISTOL","2x1",5.96666666666667,"9-12 min","visitante",0,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,"rival",0,0,0.316715443152222
2022091109,4,2,8,43,67,"SHOTGUN","2x2",13.6666666666667,"0-3 min","visitante",1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-2,"rival",1,1,0.664830527542547
2022101603,2,1,10,25,35,"SINGLEBACK","3x1",13.9333333333333,"0-3 min","visitante",0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,4,"JAX",1,1,0.674298428555075
2022100903,1,2,8,45,65,"SINGLEBACK","2x2",7.93333333333333,"6-9 min","local",1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,"rival",1,0,0.617494192559216
2022100209,3,1,10,19,29,"SINGLEBACK","2x2",5.03333333333333,"9-12 min","visitante",0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,-6,"rival",0,0,0.195301865589748
2022110604,2,3,1,14,24,"SHOTGUN","3x1",5.6,"9-12 min","local",0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,-17,"rival",0,0,0.0666485786322675
2022100209,2,3,10,25,35,"SHOTGUN","3x1",9.13333333333333,"3-6 min","visitante",1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,7,"JAX",0,1,0.782531247895245
2022100903,1,1,10,20,30,"SINGLEBACK","2x2",13.9666666666667,"0-3 min","local",0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"JAX",0,1,0.745578863121231
2022100209,1,3,5,25,85,"SHOTGUN","3x1",7.11666666666667,"6-9 min","visitante",1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,7,"JAX",1,1,0.898052147438152
2022091803,1,1,10,16,94,"SHOTGUN","2x2",3.81666666666667,"9-12 min","local",1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,"rival",0,0,0.288170646651274
2022092509,3,3,1,6,16,"I_FORM","2x1",3.3,"9-12 min","visitante",1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,13,"rival",0,0,0.0519015824872726
2022110604,2,2,16,47,57,"SHOTGUN","2x2",8.26666666666667,"6-9 min","local",1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,-17,"rival",1,1,0.924754497402653
2022100209,1,2,5,45,65,"SHOTGUN","2x2",0.6,"12-15 min","visitante",1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,14,"JAX",1,1,0.981202351588893
2022103000,4,2,3,4,14,"SHOTGUN","2x2",5.16666666666667,"9-12 min","local",0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,-4,"rival",0,0,0.121561332884381
2022102304,2,1,25,34,76,"SINGLEBACK","3x1",4.26666666666667,"9-12 min","local",0,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,"JAX",1,1,0.669969181984045
2022103000,1,3,6,22,32,"SHOTGUN","3x1",7.76666666666667,"6-9 min","local",1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,"rival",1,1,0.906022806709009
2022110604,3,1,10,28,38,"EMPTY","3x2",13.95,"0-3 min","local",1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,-10,"rival",1,1,0.755877299649704
2022110604,2,2,4,38,48,"SHOTGUN","2x2",0.35,"12-15 min","local",1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,-13,"rival",1,1,0.95784624936264
2022092509,3,2,8,42,68,"PISTOL","2x2",9.13333333333333,"3-6 min","visitante",1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,13,"JAX",1,1,0.871592976230925
2022100903,4,2,2,22,88,"SHOTGUN","3x1",2.73333333333333,"12-15 min","local",1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,-7,"JAX",1,1,0.652255928957394
2022091803,1,1,10,46,56,"SHOTGUN","3x1",10.0666666666667,"3-6 min","local",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"JAX",1,1,0.783407008010848
2022100209,3,2,11,27,83,"SHOTGUN","2x2",9.1,"3-6 min","visitante",1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,-6,"JAX",1,1,0.983218700975924
2022091109,2,2,14,14,96,"SHOTGUN","3x1",0.533333333333333,"12-15 min","visitante",1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,-11,"rival",1,1,0.998572895616289
2022091109,4,3,4,42,68,"SHOTGUN","3x1",7.45,"6-9 min","visitante",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,"rival",1,1,0.906750124263439
2022103000,1,2,14,41,51,"SINGLEBACK","2x2",9.8,"3-6 min","local",1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,"rival",0,1,0.71583583986309
2022091109,3,1,3,3,13,"SHOTGUN","2x2",9.65,"3-6 min","visitante",1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-11,"rival",0,0,0.256779845151749
2022091109,4,1,10,25,35,"SHOTGUN","3x1",1.76666666666667,"12-15 min","visitante",1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,-6,"JAX",1,1,0.794858633993872
2022100903,2,1,10,40,70,"SINGLEBACK","2x2",2,"12-15 min","local",1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,-3,"JAX",0,0,0.335719367894709
2022091803,1,2,12,18,92,"SINGLEBACK","3x1",3.15,"9-12 min","local",0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,"rival",1,1,0.857922700420548
2022110604,4,2,9,35,45,"SHOTGUN","3x1",5.08333333333333,"9-12 min","local",1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,4,"JAX",1,1,0.829062133540942
2022103000,3,1,10,24,34,"SHOTGUN","2x2",14.9,"0-3 min","local",0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,3,"JAX",0,0,0.137615335382474
2022091803,2,1,10,25,85,"SINGLEBACK","3x1",5.71666666666667,"9-12 min","local",1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,14,"JAX",1,0,0.552207922487089
2022100209,1,1,10,20,90,"SINGLEBACK","2x2",8.36666666666667,"6-9 min","visitante",1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,7,"JAX",0,0,0.55291959828564
2022103000,2,2,5,38,48,"EMPTY","3x2",2.21666666666667,"12-15 min","local",1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,3,"JAX",1,1,0.784615028142792
2022100903,3,1,10,45,65,"SHOTGUN","3x1",14.05,"0-3 min","local",1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,"rival",0,1,0.961454903637247
2022103000,1,1,10,37,47,"SHOTGUN","2x2",10.6,"3-6 min","local",0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,"rival",1,0,0.0972647849468147
2022101603,4,1,10,16,94,"SHOTGUN","3x1",12.7,"0-3 min","visitante",0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,-5,"JAX",0,0,0.29666117137892
2022102304,2,2,15,27,83,"SHOTGUN","3x1",6.11666666666667,"6-9 min","local",1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,"JAX",1,1,0.967010505021977
2022101603,1,2,1,24,86,"SINGLEBACK","3x1",11.8,"3-6 min","visitante",0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,"JAX",0,0,0.00447138049005797
2022092509,2,1,10,25,35,"SHOTGUN","2x1",6.16666666666667,"6-9 min","visitante",1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,6,"JAX",0,0,0.6016889602809
2022091109,2,3,1,43,53,"SHOTGUN","2x2",1.23333333333333,"12-15 min","visitante",1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,-11,"JAX",1,1,0.944835192617647
2022100903,2,1,10,8,102,"SHOTGUN","2x2",12.3,"0-3 min","local",1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"JAX",0,0,0.620010011374037
2022100903,1,3,8,45,65,"EMPTY","3x2",7.85,"6-9 min","local",1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"rival",1,1,0.97705171237296
2022102304,4,4,1,20,90,"I_FORM","1x1",11.5,"3-6 min","local",0,0,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,4,"rival",0,0,0.0133565922868501
2022091109,1,1,10,13,23,"SHOTGUN","3x1",12.9,"0-3 min","visitante",1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"rival",0,0,0.202173527207579
2022100903,1,1,10,48,62,"SHOTGUN","3x1",5.03333333333333,"9-12 min","local",1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,"rival",0,0,0.474251048588131
2022091109,2,1,15,24,34,"SINGLEBACK","3x1",8.63333333333333,"6-9 min","visitante",0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,-11,"JAX",1,1,0.943085228862469
2022101603,3,4,1,32,78,"PISTOL","2x1",1.23333333333333,"12-15 min","visitante",0,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,2,"rival",0,0,0.309820255164877
2022092509,1,1,10,44,54,"SINGLEBACK","2x2",13.4333333333333,"0-3 min","visitante",0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"rival",1,0,0.53624215913667
2022091109,4,3,5,26,84,"SHOTGUN","3x1",12.2166666666667,"0-3 min","visitante",1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,-2,"rival",1,1,0.860004763030793
2022091803,3,2,5,9,19,"SHOTGUN","3x1",1.81666666666667,"12-15 min","local",1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,17,"rival",0,0,0.393253840577476
2022100903,4,1,10,14,96,"SHOTGUN","3x1",3.11666666666667,"9-12 min","local",1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,-7,"JAX",1,1,0.875052468444438
