"gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormation","receiverAlignment","gameClock_mod","timeCategory","estadio","diferencia","yardlineSide_mod","truth","estimate","probabilidades"
2022092508,2,2,9,16,26,"EMPTY","3x2",8.25,"6-9 min","visitante",10,"rival",0,1,0.985648185563575
2022100209,3,1,10,22,32,"SHOTGUN","2x2",11.3666666666667,"3-6 min","local",6,"PHI",1,0,0.19182090020835
2022091104,1,2,8,25,85,"SHOTGUN","2x2",0.766666666666667,"12-15 min","visitante",-7,"rival",1,1,0.780885558437634
2022100209,1,1,15,28,38,"EMPTY","4x1",11.85,"3-6 min","local",0,"PHI",1,1,0.534948365940008
2022100209,2,2,21,21,31,"SHOTGUN","2x2",10.8,"3-6 min","local",-14,"rival",1,0,0.325035155923872
2022092508,2,2,7,15,95,"SHOTGUN","3x1",1.43333333333333,"12-15 min","visitante",17,"PHI",1,1,0.742769849892901
2022100209,3,2,4,44,66,"SHOTGUN","2x2",2.28333333333333,"12-15 min","local",6,"rival",0,1,0.632572662200432
2022103008,2,1,10,29,39,"SHOTGUN","3x1",13.5,"0-3 min","local",0,"rival",0,1,0.69736724325542
2022100911,1,2,8,48,58,"SHOTGUN","3x1",11.0833333333333,"3-6 min","visitante",0,"rival",1,1,0.970592606673096
2022100209,2,4,1,12,22,"I_FORM","2x1",1.16666666666667,"12-15 min","local",0,"rival",0,0,0.193474279842191
2022100911,3,1,10,33,43,"SHOTGUN","2x2",12.8833333333333,"0-3 min","visitante",4,"rival",1,1,0.806874467378905
2022100209,1,4,1,30,40,"JUMBO","3x1",12.85,"0-3 min","local",0,"PHI",0,0,0.279744769335168
2022101611,1,3,1,18,92,"JUMBO","1x1",2.26666666666667,"12-15 min","local",0,"rival",0,0,0.487680215523913
2022091901,2,1,10,34,76,"EMPTY","3x2",4.45,"9-12 min","local",7,"PHI",1,0,0.371765970949413
2022103008,4,3,14,6,16,"SHOTGUN","2x2",8.11666666666667,"6-9 min","local",22,"PHI",0,1,0.71215650340354
2022100911,2,1,10,40,50,"SHOTGUN","2x2",4.4,"9-12 min","visitante",7,"PHI",1,1,0.514744395310016
2022100911,1,2,10,36,74,"SHOTGUN","2x2",12.15,"0-3 min","visitante",0,"PHI",1,1,0.952623316707324
2022091104,4,2,12,35,45,"SHOTGUN","2x2",12.95,"0-3 min","visitante",10,"PHI",1,1,0.690514395248382
2022100209,2,2,6,10,20,"SHOTGUN","3x1",3.98333333333333,"9-12 min","local",-7,"rival",0,0,0.21442530707475
2022091104,4,2,8,19,29,"SHOTGUN","2x2",10.0333333333333,"3-6 min","visitante",10,"PHI",1,1,0.882864442883446
2022100911,2,3,1,2,108,"JUMBO","1x1",11.3833333333333,"3-6 min","visitante",7,"rival",0,0,0.154082558228005
2022091104,2,1,10,29,81,"SHOTGUN","2x2",11.6166666666667,"3-6 min","visitante",0,"PHI",1,0,0.333151515887633
2022110300,1,3,6,21,89,"SHOTGUN","2x2",8.85,"6-9 min","visitante",-7,"PHI",1,1,0.894443842258632
2022091104,3,3,2,40,70,"PISTOL","3x1",11.9166666666667,"3-6 min","visitante",10,"PHI",1,0,0.470549758541947
2022092508,3,3,19,44,54,"SHOTGUN","3x1",13.25,"0-3 min","visitante",24,"rival",1,1,0.976389541662478
2022101611,1,4,3,38,72,"SHOTGUN","3x1",3.46666666666667,"9-12 min","local",0,"rival",1,0,0.33058262612751
2022100911,4,2,10,34,76,"SHOTGUN","2x2",5.25,"9-12 min","visitante",0,"rival",1,0,0.406016852270187
2022110300,1,1,10,9,101,"EMPTY","3x2",9.55,"3-6 min","visitante",-7,"PHI",1,0,0.331132326226849
2022103008,1,3,1,41,51,"JUMBO","2x1",12.6166666666667,"0-3 min","local",0,"PHI",0,1,0.623064147240068
2022101611,2,2,1,35,45,"SHOTGUN","2x2",14.1,"0-3 min","local",7,"rival",0,0,0.171910358943249
2022110300,3,3,3,24,34,"EMPTY","3x2",13.6,"0-3 min","visitante",0,"PHI",1,0,0.447777273983811
2022110300,2,3,4,4,106,"PISTOL","2x2",4.61666666666667,"9-12 min","visitante",0,"rival",0,0,0.320114315694147
2022091104,3,3,4,43,53,"EMPTY","3x2",2.75,"12-15 min","visitante",10,"rival",1,1,0.852709889566127
2022091104,4,3,1,40,70,"SHOTGUN","2x2",1.83333333333333,"12-15 min","visitante",3,"rival",0,0,0.113696537272174
2022100911,2,1,10,11,99,"SHOTGUN","2x2",12.25,"0-3 min","visitante",7,"rival",1,0,0.430018869283788
2022091901,4,3,7,47,57,"SHOTGUN","2x2",4.15,"9-12 min","local",17,"PHI",1,1,0.558939846281096
2022100209,4,2,5,19,29,"SHOTGUN","3x1",11.5166666666667,"3-6 min","local",9,"rival",0,0,0.446690880365353
2022100209,3,1,10,24,86,"SHOTGUN","2x2",1.93333333333333,"12-15 min","local",6,"rival",0,0,0.307160453054192
2022103008,1,2,2,29,39,"SHOTGUN","2x2",1.48333333333333,"12-15 min","local",0,"PHI",1,0,0.224270727622387
2022091901,1,1,10,45,55,"PISTOL","3x1",0.233333333333333,"12-15 min","local",7,"PHI",0,1,0.894920556832234
2022100911,3,1,10,46,56,"SHOTGUN","2x2",13.65,"0-3 min","visitante",4,"rival",1,1,0.678706614428469
2022100911,2,3,3,32,78,"SHOTGUN","2x1",13.7333333333333,"0-3 min","visitante",7,"rival",0,0,0.408306348269805
2022101611,2,1,10,20,30,"SHOTGUN","2x2",3.08333333333333,"9-12 min","local",17,"rival",1,0,0.0948502896233842
2022091104,2,2,5,5,15,"SHOTGUN","3x1",0.233333333333333,"12-15 min","visitante",7,"rival",1,1,0.590414724616932
2022091901,1,2,8,45,65,"SHOTGUN","2x2",13.05,"0-3 min","local",0,"rival",1,1,0.937329497928747
2022101611,4,3,4,45,65,"SHOTGUN","2x2",10.5,"3-6 min","local",3,"rival",0,1,0.813650836683754
2022092508,2,4,1,8,18,"SINGLEBACK","2x2",7.18333333333333,"6-9 min","visitante",10,"rival",0,1,0.513341106142592
2022100911,3,2,8,16,94,"SHOTGUN","2x2",4.05,"9-12 min","visitante",7,"PHI",1,1,0.773077577989629
2022091104,4,3,2,27,37,"SHOTGUN","2x2",2.35,"12-15 min","visitante",3,"PHI",0,0,0.0725031164956798
2022092508,3,2,10,35,45,"SHOTGUN","2x2",13.95,"0-3 min","visitante",24,"rival",1,1,0.646184367588826
2022092508,1,1,10,35,45,"SHOTGUN","2x2",12.4666666666667,"0-3 min","visitante",0,"PHI",0,1,0.780151258476093
2022100209,1,1,10,47,63,"SHOTGUN","2x2",3.26666666666667,"9-12 min","local",-14,"rival",0,1,0.534451960709198
2022100209,4,2,7,9,19,"SHOTGUN","2x2",9.6,"3-6 min","local",9,"rival",0,1,0.605558863321897
2022103008,4,1,10,11,99,"SHOTGUN","3x1",12.6833333333333,"0-3 min","local",15,"rival",0,0,0.196670713688508
2022100209,2,1,10,43,67,"SHOTGUN","2x2",13.4333333333333,"0-3 min","local",-14,"PHI",1,1,0.649212983340037
2022091104,2,3,6,44,66,"EMPTY","4x1",10.2833333333333,"3-6 min","visitante",0,"PHI",1,1,0.940794529520913
2022091901,2,1,10,34,44,"SHOTGUN","2x2",3.45,"9-12 min","local",7,"rival",0,0,0.178301190240248
2022110300,1,3,8,46,64,"SHOTGUN","2x2",7.16666666666667,"6-9 min","visitante",-7,"PHI",1,1,0.970426777920351
2022110300,1,1,10,35,45,"SHOTGUN","2x2",5.65,"9-12 min","visitante",-7,"rival",1,1,0.777532841402586
2022110300,4,2,10,30,40,"SHOTGUN","3x1",13.0833333333333,"0-3 min","visitante",4,"rival",1,1,0.87774323780671
2022100911,2,1,10,25,35,"SHOTGUN","3x1",5.4,"9-12 min","visitante",7,"PHI",1,1,0.66607339712234
2022110300,4,4,1,34,76,"I_FORM","2x1",1.6,"12-15 min","visitante",12,"PHI",0,0,0.0950689642867732
2022101611,1,1,10,20,30,"SINGLEBACK","3x1",7.51666666666667,"6-9 min","local",0,"PHI",0,1,0.582332444156554
2022100209,2,1,10,21,31,"SHOTGUN","2x2",2,"12-15 min","local",0,"rival",0,0,0.0861388950112739
2022092508,4,2,8,43,67,"SINGLEBACK","2x2",1.83333333333333,"12-15 min","visitante",16,"rival",0,0,0.348242876776497
2022092508,4,1,10,45,55,"SINGLEBACK","3x1",6.93333333333333,"6-9 min","visitante",22,"PHI",0,0,0.27338266069714
2022103008,4,3,3,19,29,"SHOTGUN","2x2",3.48333333333333,"9-12 min","local",22,"PHI",1,0,0.0820189957771722
2022091104,2,4,1,1,11,"SHOTGUN","3x1",13,"0-3 min","visitante",-7,"rival",1,0,0.355088327934873
2022101611,2,1,10,35,45,"SHOTGUN","2x2",4.81666666666667,"9-12 min","local",17,"rival",1,0,0.172445289099578
2022100209,4,1,10,24,34,"SHOTGUN","3x1",12.1,"0-3 min","local",9,"rival",0,0,0.188229587101705
2022092508,2,1,10,45,55,"SHOTGUN","2x2",0.616666666666667,"12-15 min","visitante",17,"rival",1,1,0.964162575259542
2022091104,3,2,2,6,16,"SHOTGUN","2x2",10.75,"3-6 min","visitante",10,"rival",0,0,0.309480909160464
