"gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","gameClock_mod","timeCategory","estadio","diferencia","yardlineSide_mod","truth","estimate","probabilidades"
2022102300,3,3,5,5,15,8.41666666666667,"6-9 min","local",3,"rival",1,1,0.988418704514881
2022102700,4,2,6,17,93,3.21666666666667,"9-12 min","visitante",8,"rival",0,0,0.506606845906519
2022091107,4,1,14,3,107,4.18333333333333,"9-12 min","visitante",21,"BAL",1,1,0.844258907374023
2022100913,2,1,10,14,24,14.3333333333333,"0-3 min","local",3,"rival",0,1,0.699947175970923
2022100202,4,1,10,48,58,15,"0-3 min","local",0,"BAL",1,1,0.791703903202151
2022102700,1,2,10,10,100,11.9,"3-6 min","visitante",0,"rival",1,0,0.360610864013944
2022102700,2,3,36,28,82,6.48333333333333,"6-9 min","visitante",-7,"BAL",0,1,0.982825287868738
2022102300,1,2,6,48,62,5.63333333333333,"9-12 min","local",-7,"BAL",1,0,0.221261955547627
2022101606,3,2,7,47,63,0.6,"12-15 min","visitante",3,"rival",0,0,0.432523651682498
2022100202,1,1,4,4,106,14.1333333333333,"0-3 min","local",0,"rival",0,1,0.615357087769511
2022102700,4,2,3,38,72,10.1666666666667,"3-6 min","visitante",4,"rival",0,0,0.0472675660802835
2022092505,2,1,10,25,85,5.96666666666667,"9-12 min","visitante",-3,"BAL",0,0,0.271079952832349
2022091107,1,1,10,28,38,13.7,"0-3 min","visitante",0,"BAL",1,1,0.721129076781548
2022101606,2,3,8,38,72,10.05,"3-6 min","visitante",0,"rival",1,1,0.957507438635843
2022102300,2,3,11,19,29,6.75,"6-9 min","local",-4,"BAL",1,1,0.961362195310444
2022102700,2,1,10,13,97,0.766666666666667,"12-15 min","visitante",-7,"BAL",1,1,0.929222174352882
2022110700,2,3,9,45,65,12.1,"0-3 min","visitante",7,"BAL",1,1,0.957346022467629
2022100913,3,3,6,6,16,1.96666666666667,"12-15 min","local",3,"BAL",1,1,0.931485479531003
2022101606,2,1,10,25,35,3.51666666666667,"9-12 min","visitante",0,"BAL",1,0,0.367357104137142
2022091107,3,3,10,17,93,7.33333333333333,"6-9 min","visitante",7,"rival",1,1,0.972514504144266
2022091800,4,2,10,40,70,0.133333333333333,"12-15 min","local",-4,"BAL",1,1,0.79647764015799
2022091107,1,2,8,29,39,0.416666666666667,"12-15 min","visitante",3,"BAL",0,1,0.841364650684022
2022100913,1,2,20,44,54,4.2,"9-12 min","local",3,"BAL",1,1,0.958747942221643
2022100913,1,2,10,21,89,8.81666666666667,"6-9 min","local",0,"rival",1,1,0.660718775184337
2022091107,3,2,9,36,46,12.9666666666667,"0-3 min","visitante",7,"BAL",1,0,0.518721725387005
2022092505,3,3,4,4,14,4.78333333333333,"9-12 min","visitante",1,"rival",1,1,0.938666023423885
2022100202,2,3,18,37,47,4.75,"9-12 min","local",14,"rival",1,1,0.984996547220357
2022102300,4,2,3,32,42,8.61666666666667,"6-9 min","local",3,"BAL",0,0,0.143340340493511
2022101606,1,2,15,37,47,1.21666666666667,"12-15 min","visitante",0,"rival",0,1,0.874391081838685
2022091107,4,1,10,15,95,14.05,"0-3 min","visitante",21,"BAL",0,0,0.352331126973208
2022100202,1,1,10,16,94,3.21666666666667,"9-12 min","local",4,"rival",1,0,0.398904422352548
2022091800,2,1,10,34,76,6.76666666666667,"6-9 min","local",7,"BAL",0,0,0.162724271660705
2022101606,1,1,10,36,74,3.55,"9-12 min","visitante",0,"BAL",0,0,0.411253991604936
2022102700,2,1,10,33,43,3.16666666666667,"9-12 min","visitante",-7,"rival",1,1,0.789913038888741
2022100913,1,2,3,37,47,12.1,"0-3 min","local",0,"BAL",0,0,0.216490156676274
2022102300,3,4,1,1,11,7.71666666666667,"6-9 min","local",3,"rival",0,0,0.139167055786033
2022091800,4,4,1,40,50,9.26666666666667,"3-6 min","local",14,"rival",0,0,0.0987161162123884
2022101606,3,2,10,25,35,1.93333333333333,"12-15 min","visitante",3,"BAL",0,1,0.644334753592098
2022100202,3,2,4,31,79,2.81666666666667,"12-15 min","local",0,"BAL",0,1,0.744368291079599
2022091800,1,1,10,46,64,7.25,"6-9 min","local",7,"rival",1,0,0.231174510645848
2022102700,4,3,1,15,95,7,"6-9 min","visitante",4,"rival",0,0,0.0586992198597862
2022101606,1,1,10,32,42,1.36666666666667,"12-15 min","visitante",0,"rival",1,0,0.395444874349131
2022101606,1,2,8,36,46,10.3833333333333,"3-6 min","visitante",0,"rival",1,1,0.854522720538236
2022092505,2,1,10,48,58,3.23333333333333,"9-12 min","visitante",-3,"rival",0,1,0.527221429544993
2022100913,3,2,11,49,61,13.45,"0-3 min","local",0,"rival",1,1,0.78323310379108
2022091800,1,2,1,37,73,6.66666666666667,"6-9 min","local",7,"rival",0,0,0.0764488353476358
2022091800,3,2,10,25,35,7.8,"6-9 min","local",14,"BAL",1,1,0.937785911008723
2022091800,2,1,10,25,85,10.9,"3-6 min","local",0,"BAL",1,1,0.581834864763663
2022102300,2,2,5,16,94,10.9666666666667,"3-6 min","local",-7,"rival",0,0,0.435816932229445
2022110700,4,3,1,44,66,3.23333333333333,"9-12 min","visitante",14,"BAL",0,0,0.00822533743069515
2022100202,2,2,19,40,70,8.9,"6-9 min","local",14,"BAL",1,1,0.934825435270937
2022100202,4,1,10,43,53,9.73333333333333,"3-6 min","local",0,"BAL",0,0,0.241580292787112
2022101606,2,2,17,5,15,0.466666666666667,"12-15 min","visitante",3,"BAL",1,1,0.938982847848268
2022102700,1,1,10,43,53,14.3,"0-3 min","visitante",0,"BAL",1,0,0.396403055906043
2022100202,3,3,6,29,81,2.1,"12-15 min","local",0,"BAL",1,1,0.968630226093484
2022100202,1,1,10,44,54,8.06666666666667,"6-9 min","local",4,"BAL",1,0,0.0766497510992464
2022101606,2,1,10,16,94,2,"12-15 min","visitante",0,"rival",1,1,0.887473685467081
2022100913,4,1,10,33,43,12.3833333333333,"0-3 min","local",3,"rival",1,0,0.223808372007415
2022102700,3,2,11,41,51,3.66666666666667,"9-12 min","visitante",0,"rival",0,0,0.379911691536339
2022100913,2,2,7,11,21,13.6,"0-3 min","local",3,"rival",1,1,0.910422693140123
2022102300,4,3,1,45,65,5.51666666666667,"9-12 min","local",3,"rival",0,0,0.00790042009108361
2022092505,3,2,1,1,11,8.73333333333333,"6-9 min","visitante",-6,"rival",1,1,0.603993589879154
2022100202,3,1,10,41,69,8.5,"6-9 min","local",7,"BAL",0,0,0.0772706334640292
2022101606,3,1,10,50,60,1.18333333333333,"12-15 min","visitante",3,"centro",0,0,0.214944215297218
2022091107,1,1,10,27,37,1.2,"12-15 min","visitante",3,"BAL",1,0,0.391280939754201
2022100202,4,1,10,5,15,13.6333333333333,"0-3 min","local",0,"BAL",0,1,0.638849842681127
2022092505,4,1,10,27,37,5.58333333333333,"9-12 min","visitante",5,"BAL",1,1,0.885011759858061
2022100202,4,2,1,1,109,5.68333333333333,"9-12 min","local",0,"rival",0,1,0.7496063354443
2022092505,4,1,10,20,30,9.1,"3-6 min","visitante",5,"BAL",0,1,0.756693618662261
2022101606,2,2,10,16,94,1.95,"12-15 min","visitante",0,"rival",1,1,0.934541937872493
2022102700,3,2,9,31,41,11.1,"3-6 min","visitante",-7,"rival",1,0,0.122267264300567
2022102300,4,2,6,50,60,6.21666666666667,"6-9 min","local",3,"centro",0,0,0.0594665974276145
2022102700,2,1,10,47,57,3.66666666666667,"9-12 min","visitante",-7,"rival",1,1,0.84054387709134
2022100202,4,2,8,24,86,7.73333333333333,"6-9 min","local",0,"rival",1,1,0.851578480397345
2022110700,2,3,4,39,71,13.5,"0-3 min","visitante",7,"BAL",1,0,0.0640655993040203
2022100202,2,1,10,49,61,10.0166666666667,"3-6 min","local",14,"BAL",0,0,0.48620901358408
2022102700,1,1,10,21,31,14.9,"0-3 min","visitante",0,"BAL",1,0,0.276349295791756
2022101606,3,1,10,25,35,2,"12-15 min","visitante",3,"BAL",1,1,0.537533151953858
2022091800,4,1,10,40,70,0.15,"12-15 min","local",-4,"BAL",1,1,0.698772186502438
2022091800,4,3,3,42,52,10.0666666666667,"3-6 min","local",14,"rival",0,0,0.440852046658718
2022102300,3,1,10,25,85,2.66666666666667,"12-15 min","local",7,"BAL",0,1,0.534818127960286
2022091107,1,2,11,14,96,4.13333333333333,"9-12 min","visitante",0,"rival",1,1,0.669583866386201
2022110700,4,2,10,35,75,3.31666666666667,"9-12 min","visitante",14,"BAL",0,0,0.151788760743496
2022102300,4,3,1,34,44,8.08333333333333,"6-9 min","local",3,"BAL",0,0,0.0264252235787209
2022110700,1,2,13,40,70,2.98333333333333,"12-15 min","visitante",0,"rival",1,1,0.901286370794849
2022102300,1,1,10,44,66,6.38333333333333,"6-9 min","local",-7,"BAL",0,0,0.104016019098511
2022100913,3,2,3,33,43,0.466666666666667,"12-15 min","local",3,"BAL",0,0,0.0610557711914215
2022110700,1,1,10,24,34,8.41666666666667,"6-9 min","visitante",0,"BAL",0,0,0.484933695437474
2022101606,2,2,6,43,53,11.5,"3-6 min","visitante",0,"BAL",1,1,0.793855865235723
2022092505,3,1,6,6,16,9.5,"3-6 min","visitante",-6,"rival",0,1,0.544925551551468
2022100202,2,2,10,16,26,14.9,"0-3 min","local",11,"rival",0,1,0.778867896590191
2022101606,2,1,10,12,22,1.08333333333333,"12-15 min","visitante",3,"BAL",1,1,0.791464123100371
2022100202,3,2,12,39,71,7.78333333333333,"6-9 min","local",7,"BAL",1,1,0.798075617390224
2022110700,3,1,10,42,68,12.5666666666667,"0-3 min","visitante",11,"rival",0,0,0.131531707129889
2022102700,1,1,10,25,35,6.93333333333333,"6-9 min","visitante",-4,"BAL",1,0,0.355857586867368
2022102300,1,1,10,25,85,0.3,"12-15 min","local",-7,"BAL",1,1,0.920382706261375
2022102700,3,3,5,43,67,4.93333333333333,"9-12 min","visitante",0,"BAL",1,1,0.868916354905042
2022102700,4,1,10,24,86,8.8,"6-9 min","visitante",4,"rival",0,0,0.50533917118663
2022100202,1,1,10,27,83,4.48333333333333,"9-12 min","local",4,"rival",0,1,0.615241847187781
2022110700,4,3,10,25,85,15,"0-3 min","visitante",11,"BAL",1,1,0.960103590977613
2022110700,2,3,8,21,89,7.85,"6-9 min","visitante",7,"BAL",1,1,0.985223443829461
