"gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","gameClock_mod","timeCategory","estadio","nflId_43808","nflId_44820","nflId_44876","nflId_44882","nflId_46070","nflId_46093","nflId_46102","nflId_46170","nflId_53499","nflId_53633","nflId_54471","nflId_53512","nflId_53555","nflId_44901","nflId_52858","nflId_52659","nflId_53488","nflId_52450","nflId_43461","nflId_45159","nflId_52530","nflId_46284","nflId_55014","nflId_53746","nflId_42362","diferencia","yardlineSide_mod","truth","estimate","probabilidades"
2022103001,4,1,10,38,48,0.383333333333333,"12-15 min","visitante",0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,-6,"CAR",1,1,0.713202720928846
2022091101,1,1,10,22,32,14.9333333333333,"0-3 min","local",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CAR",1,0,0.433055507849949
2022102301,2,2,6,31,79,1.05,"12-15 min","local",0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,"rival",1,1,0.901355238851399
2022100910,1,3,6,39,71,4.66666666666667,"9-12 min","local",1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,-7,"rival",0,0,0.184759010953153
2022101608,1,2,10,22,88,10.4166666666667,"3-6 min","visitante",0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,"rival",1,0,0.203530384354279
2022100910,3,3,5,46,64,14.2833333333333,"0-3 min","local",1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-14,"rival",1,1,0.928901597466801
2022100910,3,1,10,49,59,14.8666666666667,"0-3 min","local",1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-14,"CAR",0,1,0.798246981777556
2022092500,3,1,10,38,72,7.26666666666667,"6-9 min","local",0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,"CAR",0,0,0.595122819945243
2022091101,2,1,10,25,85,0.35,"12-15 min","local",1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,"CAR",1,1,0.978567640554714
2022103001,2,3,4,31,79,8.85,"6-9 min","visitante",0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,-4,"CAR",1,1,0.759988249344308
2022103001,2,1,5,5,15,5.31666666666667,"9-12 min","visitante",0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,-4,"rival",0,0,0.349426104624521
2022091101,1,2,10,22,32,14.8833333333333,"0-3 min","local",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CAR",1,1,0.666874421271054
2022103001,4,1,10,25,35,0.6,"12-15 min","visitante",0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,-6,"CAR",1,1,0.91652333907357
2022103001,4,2,10,25,35,0.483333333333333,"12-15 min","visitante",0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,-6,"CAR",1,1,0.961388739458225
2022110602,3,1,10,37,47,14.7833333333333,"0-3 min","visitante",0,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,-35,"rival",1,1,0.828683085190469
2022103001,2,1,10,10,100,1.68333333333333,"12-15 min","visitante",0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,3,"CAR",0,1,0.764403550393118
2022091101,1,2,16,30,40,8.25,"6-9 min","local",1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"CAR",0,1,0.649153708980195
2022102301,3,3,10,25,85,6.18333333333333,"6-9 min","local",0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,7,"CAR",1,1,0.899178684468715
2022103001,4,1,10,40,50,7.55,"6-9 min","visitante",0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,-3,"CAR",0,0,0.382850943288936
2022092500,4,2,10,20,90,9.11666666666667,"3-6 min","local",1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,12,"rival",0,1,0.76776585164709
2022101608,3,1,10,20,30,0.1,"12-15 min","visitante",1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-7,"CAR",1,1,0.612797379710333
