"gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","gameClock_mod","timeCategory","estadio","nflId_29851","nflId_30842","nflId_41230","nflId_44995","nflId_45635","nflId_48181","nflId_52600","nflId_52616","nflId_53491","nflId_53571","nflId_54499","nflId_37139","nflId_54597","nflId_52614","nflId_52470","nflId_52502","nflId_54605","nflId_47970","nflId_52434","nflId_46705","nflId_47827","nflId_53514","nflId_40057","nflId_52875","nflId_54723","nflId_53685","diferencia","yardlineSide_mod","truth","estimate","probabilidades"
2022100211,4,1,10,42,68,2.93333333333333,"12-15 min","local",1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,"rival",0,0,0.399784284098041
2022101602,1,1,10,25,35,15,"0-3 min","local",1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,"GB",0,0,0.44332685256805
2022110603,1,2,1,50,60,8.53333333333333,"6-9 min","visitante",1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,"centro",1,0,0.389094449659579
2022110603,1,2,3,26,84,5.91666666666667,"9-12 min","visitante",1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,"rival",1,1,0.521194000086292
2022091112,1,2,8,40,50,2.78333333333333,"12-15 min","visitante",1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-7,"rival",1,1,0.774488069994559
2022101602,2,2,4,30,80,9.4,"3-6 min","local",1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,"GB",0,0,0.477070210769942
2022091112,3,2,6,29,39,9.1,"3-6 min","visitante",1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-20,"GB",0,1,0.512197209692004
2022103012,4,1,10,47,57,12.5666666666667,"0-3 min","visitante",1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,-17,"GB",1,1,0.617164929732847
2022101602,2,1,10,25,85,5.76666666666667,"9-12 min","local",1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,-3,"GB",1,0,0.338536026723516
2022100211,4,2,10,43,53,3.73333333333333,"9-12 min","local",1,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,"GB",1,1,0.759885287840247
2022102306,4,1,10,44,66,4.08333333333333,"9-12 min","visitante",1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,-9,"rival",1,1,0.841543032759853
