"gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormation","receiverAlignment","gameClock_mod","timeCategory","estadio","nflId_42654","nflId_43510","nflId_44860","nflId_46094","nflId_46163","nflId_47794","nflId_47835","nflId_52409","nflId_52441","nflId_53434","nflId_54601","nflId_43344","nflId_44927","nflId_44990","nflId_43495","nflId_52588","nflId_52673","nflId_48530","nflId_53631","nflId_53568","nflId_52499","nflId_48471","nflId_43490","nflId_47838","nflId_53619","diferencia","yardlineSide_mod","truth","estimate","probabilidades"
2022091103,5,1,10,44,54,"SHOTGUN","2x2",1.75,"12-15 min","local",1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"rival",1,1,0.789246090030308
2022102302,4,1,10,41,51,"SHOTGUN","2x2",4.2,"9-12 min","local",1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,18,"rival",1,0,0.337051749372601
2022091103,4,2,3,3,107,"SHOTGUN","3x1",2.1,"12-15 min","local",1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-6,"rival",1,1,0.732637242221242
2022110602,2,1,10,23,87,"SHOTGUN","2x2",1.15,"12-15 min","local",1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,28,"rival",0,1,0.802087249480165
2022110602,1,1,10,10,100,"SHOTGUN","2x2",14.9,"0-3 min","local",1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"CIN",1,1,0.713791521873721
2022101605,2,3,8,19,29,"SHOTGUN","3x1",5.88333333333333,"9-12 min","visitante",1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-10,"rival",1,1,0.92997889846942
2022102302,1,1,10,40,70,"SHOTGUN","3x1",13.1166666666667,"0-3 min","local",1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CIN",1,1,0.732521944757826
2022103100,1,2,5,30,40,"SHOTGUN","2x2",12.7,"0-3 min","visitante",1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,"CIN",1,1,0.728524771109909
2022103100,1,1,10,27,83,"SHOTGUN","2x2",10.85,"3-6 min","visitante",1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"rival",1,1,0.609460549532397
2022101605,2,1,10,25,85,"SHOTGUN","2x2",13.65,"0-3 min","visitante",1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,-7,"CIN",1,1,0.612598926589796
